days_since_infection,median,lower_95,upper_95
0,1.8754E-13,6.97886E-21,3.66504E-08
0.1,8.36712E-13,8.2547E-20,8.46942E-08
0.2,3.60111E-12,9.05603E-19,1.9084E-07
0.3,1.50072E-11,9.14589E-18,4.2968E-07
0.4,6.05958E-11,8.64278E-17,9.37528E-07
0.5,2.33945E-10,7.555E-16,2.00641E-06
0.6,8.69059E-10,6.45671E-15,4.23116E-06
0.7,3.12979E-09,5.00092E-14,8.76315E-06
0.8,1.09093E-08,3.72288E-13,1.78491E-05
0.9,3.65525E-08,2.59971E-12,3.52255E-05
1,1.18685E-07,1.68577E-11,6.92294E-05
1.1,3.70563E-07,9.91018E-11,0.00013483
1.2,1.11377E-06,5.81641E-10,0.000256463
1.3,3.22276E-06,3.14469E-09,0.000482104
1.4,9.05672E-06,1.58355E-08,0.000887046
1.5,2.45304E-05,7.50622E-08,0.001581473
1.6,6.41153E-05,3.34933E-07,0.002773354
1.7,0.000161674,1.39446E-06,0.004788179
1.8,0.000392947,5.46725E-06,0.00814721
1.9,0.000918291,2.01551E-05,0.013505949
2,0.00207039,6.86774E-05,0.022223347
2.1,0.004485684,0.000221561,0.035798044
2.2,0.009371833,0.000672717,0.055987414
2.3,0.018760369,0.001892156,0.086132435
2.4,0.035860694,0.004967951,0.128056687
2.5,0.065608753,0.012210296,0.183443189
2.6,0.112756469,0.028183196,0.254862087
2.7,0.181218131,0.058890465,0.340136855
2.8,0.270925901,0.113328789,0.438090407
2.9,0.375346311,0.195147688,0.541751316
3,0.483326528,0.30124766,0.639376646
3.1,0.584323406,0.416607601,0.722397758
3.2,0.671379656,0.52717936,0.787651767
3.3,0.742104346,0.619601957,0.83661118
3.4,0.79655882,0.693333769,0.871283925
3.5,0.837240655,0.74986786,0.894913702
3.6,0.866981773,0.793322593,0.911014375
3.7,0.888361486,0.826144911,0.921486964
3.8,0.903577843,0.852205617,0.927990967
3.9,0.913745131,0.871968853,0.932423611
4,0.919883553,0.887253519,0.935222482
4.1,0.923249396,0.898850292,0.937012935
4.2,0.92514113,0.906917705,0.938194284
4.3,0.926194534,0.910935554,0.93876635
4.4,0.92674269,0.912613925,0.939150009
4.5,0.927020518,0.913238286,0.939348089
4.6,0.927131044,0.913442318,0.939493379
4.7,0.927168765,0.913510727,0.939543141
4.8,0.927171873,0.913511085,0.939553722
4.9,0.92714482,0.913494583,0.939553021
5,0.927110579,0.913443906,0.939530047
5.1,0.927065485,0.913390362,0.939495996
5.2,0.927012618,0.913325265,0.939457429
5.3,0.926952489,0.913262859,0.939416611
5.4,0.926892163,0.913186354,0.939372271
5.5,0.926822153,0.913109152,0.939317333
5.6,0.926746512,0.913031709,0.939271225
5.7,0.926664894,0.912942152,0.939207557
5.8,0.926575943,0.912836516,0.939127344
5.9,0.926481338,0.912727648,0.939039463
6,0.926383204,0.912614996,0.938956946
6.1,0.92627843,0.912497747,0.938868971
6.2,0.926167058,0.912375118,0.938781485
6.3,0.926050348,0.912243009,0.938682577
6.4,0.925924979,0.912108615,0.938577204
6.5,0.925795625,0.911969587,0.938465649
6.6,0.925664241,0.911824336,0.938349118
6.7,0.925519463,0.911668457,0.9382264
6.8,0.925372951,0.911504187,0.938082396
6.9,0.92521858,0.911331343,0.937953765
7,0.925058998,0.911159947,0.937825031
7.1,0.924895131,0.91098665,0.937682252
7.2,0.924717656,0.910791536,0.937518919
7.3,0.924538144,0.910593185,0.937367479
7.4,0.924357046,0.91041213,0.937202088
7.5,0.924162183,0.910207688,0.937025957
