"round","date","nSamples","nPos","phat","ssw"
1,2020-05-01,90,0,0,0.0164070085893294
1,2020-05-02,34,0,0,0.0482297402190775
1,2020-05-03,23,0,0,0.0810219732921886
1,2020-05-04,83,0,0,0.019033624278356
1,2020-05-05,534,2,0.00340158592003044,0.00280755576707142
1,2020-05-06,271,1,0.00797175499396253,0.00574725095319324
1,2020-05-07,365,2,0.00597024916084653,0.00402398193152777
1,2020-05-08,118,0,0,0.0134753026945399
1,2020-05-09,1083,1,0.000651921457543517,0.00156765175361095
1,2020-05-10,116,0,0,0.0125794777938234
1,2020-05-11,1307,6,0.00600860259742559,0.00116855482319115
1,2020-05-12,1013,0,0,0.00145639057767136
1,2020-05-13,1234,1,0.002154554394915,0.00134708674753156
1,2020-05-14,2150,11,0.00570627911324762,0.000741276382198829
1,2020-05-15,4389,9,0.00238635265640583,0.000362123837199913
1,2020-05-16,6589,15,0.00182863210977001,0.000258415833026758
1,2020-05-17,7533,22,0.00314036328907854,0.000213952307699715
1,2020-05-18,5948,6,0.00183920099705304,0.000283531825481846
1,2020-05-19,9070,9,0.00107305800512767,0.000187541354805598
1,2020-05-20,10128,12,0.00106633419578438,0.000158086458406188
1,2020-05-21,10746,15,0.00164972820591533,0.000158105182819927
1,2020-05-22,12549,8,0.000666133129748939,0.0001303058304204
1,2020-05-23,10256,5,0.000708696930671157,0.000156834746799307
1,2020-05-24,4892,4,0.000778741897109021,0.000338859942488688
1,2020-05-25,2386,8,0.00485310537108106,0.000782354078665153
1,2020-05-26,4572,5,0.00141768385701968,0.000366420094686885
1,2020-05-27,4976,2,0.000402321447821261,0.000352236010317979
1,2020-05-28,3840,3,0.00045043855989868,0.000450395829644304
1,2020-05-29,1559,1,0.000396523075182727,0.00113536878607199
1,2020-05-30,1106,0,0,0.00148775793027245
1,2020-05-31,1572,1,0.00470579075000054,0.00108634921070164
1,2020-06-01,460,2,0.00284667226510382,0.00354680362579072
2,2020-06-19,489,0,0,0.00305618099739708
2,2020-06-20,4528,4,0.000832960155706146,0.000345314073291293
2,2020-06-21,4686,11,0.00114841122011579,0.000348403429386913
2,2020-06-22,11368,12,0.00120664092148314,0.000138960935897584
2,2020-06-23,11518,19,0.00179250029089203,0.00014268792103729
2,2020-06-24,12337,12,0.00149522640311691,0.000129121873690893
2,2020-06-25,15257,8,0.000837349504873351,0.000107659578256791
2,2020-06-26,16129,9,0.000551079237736913,0.000103452615036013
2,2020-06-27,13355,3,0.000264446456605978,0.000118899056644772
2,2020-06-28,10316,6,0.00128615946901115,0.000166948691766053
2,2020-06-29,13287,13,0.000896168639653274,0.000121623113439348
2,2020-06-30,13287,10,0.00100226792848892,0.000126842013259306
2,2020-07-01,10304,6,0.000527848451829515,0.000159751725625541
2,2020-07-02,7043,2,0.000334719159681739,0.000235087002521956
2,2020-07-03,5562,2,0.000422152794723417,0.000305739661893535
2,2020-07-04,3971,5,0.00111677389256326,0.000422831022999709
2,2020-07-05,1571,0,0,0.00100257255995794
2,2020-07-06,2408,1,0.000517825653252322,0.000710092058134325
2,2020-07-07,12,0,0,0.0915784821234349
3,2020-07-24,891,0,0,0.00183948889899405
3,2020-07-25,7814,1,0.000124682710377162,0.000224323388373373
3,2020-07-26,9790,5,0.000803596341560453,0.000178547284257997
3,2020-07-27,14956,1,7.32494447686961e-05,0.000116324235212012
3,2020-07-28,14332,1,0.000176425001964004,0.000116353960283338
3,2020-07-29,13270,9,0.000973066092655676,0.00012524301032949
3,2020-07-30,13151,4,0.00038529185993983,0.000128296245591925
3,2020-07-31,12907,4,0.000228836080558512,0.000129025955262039
3,2020-08-01,10130,1,1.87378825733253e-05,0.000160319293122365
3,2020-08-02,8357,0,0,0.000207120283907567
3,2020-08-03,12665,5,0.000664299366724318,0.000136116586948974
3,2020-08-04,11080,12,0.00105753845081636,0.00016156618263657
3,2020-08-05,9328,0,0,0.000199672324530175
3,2020-08-06,7046,4,0.000756683535206352,0.000236116926869139
3,2020-08-07,5739,4,0.000621068791515794,0.000285674791176598
3,2020-08-08,4017,2,0.000357433820462316,0.000435594876002955
3,2020-08-09,2605,1,0.000211497629650115,0.000643646929698602
3,2020-08-10,4520,0,0,0.000383213681850792
3,2020-08-11,21,0,0,0.0594101825969553
4,2020-08-20,327,0,0,0.00622491622848922
4,2020-08-21,917,2,0.010277292156919,0.00206742329143914
4,2020-08-22,11756,5,0.000334616788477893,0.00015120627460608
4,2020-08-23,10309,2,0.000496799708547661,0.000163751666710125
4,2020-08-24,14793,3,0.00027611268696976,0.000111424584038733
4,2020-08-25,13687,8,0.000722045087688245,0.000123809978112902
