"round","date","n","nPos","nSeq","nWT","nAL","nDE","nOM","nBA2","nBA3","nOther"
8,2020-12-30,22,0,0,0,0,0,0,0,0,0
8,2020-12-31,23,0,0,0,0,0,0,0,0,0
8,2021-01-01,92,0,0,0,0,0,0,0,0,0
8,2021-01-02,196,4,3,0,3,0,0,0,0,0
8,2021-01-03,124,1,0,0,0,0,0,0,0,0
8,2021-01-04,418,8,4,1,3,0,0,0,0,0
8,2021-01-05,1354,28,17,3,14,0,0,0,0,0
8,2021-01-06,22614,315,165,38,127,0,0,0,0,0
8,2021-01-07,21972,278,143,29,113,0,0,0,0,1
8,2021-01-08,20907,286,148,15,133,0,0,0,0,0
8,2021-01-09,18648,250,105,13,89,0,0,0,0,3
8,2021-01-10,12871,185,82,12,69,0,0,0,0,1
8,2021-01-11,13574,180,93,31,61,0,0,0,0,1
8,2021-01-12,10322,129,61,8,53,0,0,0,0,0
8,2021-01-13,7401,97,41,4,37,0,0,0,0,0
8,2021-01-14,6763,101,44,5,39,0,0,0,0,0
8,2021-01-15,5961,108,53,6,47,0,0,0,0,0
8,2021-01-16,5348,73,21,3,18,0,0,0,0,0
8,2021-01-17,3183,45,20,1,18,0,0,0,0,1
8,2021-01-18,4399,53,32,5,27,0,0,0,0,0
8,2021-01-19,3641,59,20,4,16,0,0,0,0,0
8,2021-01-20,2829,22,4,0,4,0,0,0,0,0
8,2021-01-21,2393,23,13,1,12,0,0,0,0,0
8,2021-01-22,567,7,5,0,5,0,0,0,0,0
9,2021-02-04,209,4,1,0,1,0,0,0,0,0
9,2021-02-05,865,5,0,0,0,0,0,0,0,0
9,2021-02-06,8698,49,23,1,22,0,0,0,0,0
9,2021-02-07,8302,46,19,0,19,0,0,0,0,0
9,2021-02-08,11110,20,7,0,7,0,0,0,0,0
9,2021-02-09,13975,68,26,2,24,0,0,0,0,0
9,2021-02-10,15666,69,19,1,18,0,0,0,0,0
9,2021-02-11,14640,73,26,1,25,0,0,0,0,0
