param,m,l,u,rhat,ess,model,params,runtime,iter,confignum
sigma,0.008031970604842857,0.005296414063052867,0.012207149561037337,1.0115464635888178,115.9310375567385,binomial,estimated,119.03676986694336,1,13
sigma,0.008171740757684953,0.004568154990304401,0.01250782127656165,1.0234051852586328,67.55991162576268,betabinom,estimated,245.20791006088257,1,13
rho,1.4364161859862346e-6,1.7967023268889546e-7,4.407154494170108e-6,1.0382116130165628,58.08152048984985,betabinom,estimated,245.20791006088257,1,13
sigma,0.0079782552880462,0.0053045572520851215,0.01162222541080436,1.0243403261450674,155.15098886405713,weighted,estimated,99.88081216812134,1,13
c,0.9197335482664348,0.6548885959054485,1.2668873300943215,1.0042186428315851,108.41256473824853,weighted,estimated,99.88081216812134,1,13
sigma,0.010901404729284886,0.006901500105150221,0.017253682193257583,1.0346743297273524,102.68449810954986,binomial,estimated,90.66058301925659,2,13
sigma,0.009945957465762352,0.006325447682890796,0.01589490925767874,1.1190316136423066,64.19558616686406,betabinom,estimated,244.38880515098572,2,13
rho,3.291831429782442e-6,5.159218906880976e-7,8.810681087707482e-6,1.0985827411862752,57.41654494946041,betabinom,estimated,244.38880515098572,2,13
sigma,0.010061787351291483,0.005769504946425678,0.016049738702767696,1.0085993882106121,164.44623440005364,weighted,estimated,105.9969961643219,2,13
c,1.413519087467471,0.9997684281098648,2.028284592273568,1.0363832430708888,144.15514781550291,weighted,estimated,105.9969961643219,2,13
sigma,0.004555549683935862,0.002192844010082198,0.008352796292920121,1.0385415980041346,115.29048877812782,binomial,estimated,101.58138704299927,3,13
sigma,0.0053201033336929635,0.0020329989311631044,0.009372119554082767,1.2188386835387244,36.64803687617804,betabinom,estimated,254.98117089271545,3,13
rho,1.990020455719019e-6,1.0462275227606855e-8,5.990056989307465e-6,1.2913400121091223,33.95013473570635,betabinom,estimated,254.98117089271545,3,13
sigma,0.004456874707320557,0.002184814401409427,0.00866663671490977,1.008559952976732,145.43303308356107,weighted,estimated,98.485769033432,3,13
c,1.0591908230811824,0.7601388840070438,1.4275166800084453,1.0251262964516819,120.20744327832104,weighted,estimated,98.485769033432,3,13
sigma,0.00695032487921959,0.005216375271857103,0.009663118499762636,1.0056948101204384,115.01323625752173,binomial,estimated,91.20837306976318,4,13
sigma,0.0070985536821672225,0.005091651340009131,0.009204740560274292,1.0626038795869852,48.00917938750062,betabinom,estimated,246.6211540699005,4,13
rho,1.2465498846377114e-6,2.6027005451931322e-8,4.930827264872926e-6,1.4049559603099386,29.12993804981694,betabinom,estimated,246.6211540699005,4,13
sigma,0.007381670794913959,0.00517620943071441,0.01069169878177758,1.025641244872728,157.45335054525862,weighted,estimated,107.18724393844604,4,13
c,0.8137443555025626,0.5717334149813678,1.158753550073167,1.0321172456488164,180.44003986557814,weighted,estimated,107.18724393844604,4,13
sigma,0.0076869994576718404,0.005234406306395582,0.01071201976590614,1.042521012707404,111.98146935735528,binomial,estimated,97.5154139995575,5,13
sigma,0.006674276083443558,0.0044859458228715945,0.009516980995441005,1.0312306004366376,102.13522065715276,betabinom,estimated,212.01357102394104,5,13
rho,3.872605517437301e-6,3.791528627021217e-7,9.22653776671372e-6,1.0153447780999967,149.8928397479706,betabinom,estimated,212.01357102394104,5,13
sigma,0.006858612600578808,0.0048391141293068155,0.009705890339313766,1.0379843637861856,138.89149820421352,weighted,estimated,96.59501099586487,5,13
c,1.286543238468102,0.9260254995201267,1.9116493875574785,1.0137255232397107,109.33603140723311,weighted,estimated,96.59501099586487,5,13
sigma,0.009467928710592505,0.006854576564477697,0.013021112057780278,1.0102484191589594,117.6941317151698,binomial,estimated,88.98829507827759,6,13
sigma,0.010230652145763932,0.007542551858295691,0.016362592662204616,1.073577485893008,50.73296371105158,betabinom,estimated,249.0479278564453,6,13
rho,1.621915237027923e-6,7.588806710225594e-8,6.2262147348866886e-6,1.0765362347655079,52.885847732640386,betabinom,estimated,249.0479278564453,6,13
sigma,0.00991231552969558,0.006702107993795378,0.015779107923470176,1.0170406196430057,109.3380899309802,weighted,estimated,110.0859260559082,6,13
c,0.9930623384474964,0.7109999006742808,1.3484366334055404,1.0114052212011497,160.893629108459,weighted,estimated,110.0859260559082,6,13
sigma,0.00710789413028579,0.004886917788135468,0.010960261322330349,1.0012403103813479,108.16017145409353,binomial,estimated,102.8189070224762,7,13
sigma,0.007183020753832095,0.004784628589741211,0.010658278400326963,1.1290488527341977,65.53259033506693,betabinom,estimated,251.12012314796448,7,13
rho,2.900018536993837e-6,1.0275561915449557e-7,8.363700136907171e-6,1.0642315422869666,53.58523004110366,betabinom,estimated,251.12012314796448,7,13
sigma,0.007096522533654263,0.004476866538278389,0.01002067829631692,1.0130618149248203,179.62330405159238,weighted,estimated,104.0126781463623,7,13
c,1.1838632488114074,0.8713909091307668,1.6343538033903027,1.0489215968478083,147.27395678528313,weighted,estimated,104.0126781463623,7,13
sigma,0.0066163104622764595,0.004421122078519903,0.009777476156573123,1.0061397698757069,110.65696278522886,binomial,estimated,91.93627214431763,8,13
sigma,0.006408398240616533,0.004023107750460028,0.01139074498518167,1.0326920348685051,63.465128516119826,betabinom,estimated,248.51825404167175,8,13
rho,2.070304108417808e-6,7.779751273974246e-8,5.757608101310673e-6,1.0620509524024553,77.96291534929621,betabinom,estimated,248.51825404167175,8,13
