"t","mean","lower","upper","variable","model","params","iter","confignum"
1,0.0326290313206019,-0.0939038439897507,0.152116399716528,"rt","binomial","estimated",1,22
2,0.0322670058050655,-0.07825089438107,0.141255294605671,"rt","binomial","estimated",1,22
3,0.0331528475928228,-0.063068940415464,0.126874162670575,"rt","binomial","estimated",1,22
4,0.0366927173939615,-0.0451163238756041,0.11908857057319,"rt","binomial","estimated",1,22
5,0.0407025143266557,-0.0323034018198487,0.115450513338094,"rt","binomial","estimated",1,22
6,0.0455047425550732,-0.0207058048087183,0.113315288634631,"rt","binomial","estimated",1,22
7,0.0495972822342754,-0.01217615127238,0.11322453097212,"rt","binomial","estimated",1,22
8,0.0531081161754653,-0.00738421497271487,0.114531046188514,"rt","binomial","estimated",1,22
9,0.0565776430894848,-0.00174020321999483,0.115706493128118,"rt","binomial","estimated",1,22
10,0.0551947435140284,-0.00305060420856492,0.115548112962584,"rt","binomial","estimated",1,22
11,0.053643134067196,-0.00427924089638804,0.112008898725944,"rt","binomial","estimated",1,22
12,0.0547657294917134,-0.00526264303018536,0.111846944816096,"rt","binomial","estimated",1,22
13,0.0572085462509826,-0.00254062283336585,0.112938220064171,"rt","binomial","estimated",1,22
14,0.0577632695510758,-0.000886405030096779,0.111420065263291,"rt","binomial","estimated",1,22
15,0.0628640712387048,0.00688074276374756,0.120100463882425,"rt","binomial","estimated",1,22
16,0.0661803439903966,0.0111005018558208,0.12153106539648,"rt","binomial","estimated",1,22
17,0.0664098234765293,0.012037588079784,0.122812672845863,"rt","binomial","estimated",1,22
18,0.06841627150184,0.0143710362979533,0.125192467430261,"rt","binomial","estimated",1,22
19,0.0697377392167793,0.0164453003086552,0.126854774518111,"rt","binomial","estimated",1,22
20,0.067672193658346,0.0159233054744243,0.124620475955639,"rt","binomial","estimated",1,22
21,0.06023813856957,0.00814776442175061,0.113914788891918,"rt","binomial","estimated",1,22
22,0.0487586116967818,-0.0063787223998493,0.100701203174289,"rt","binomial","estimated",1,22
23,0.0378674804545554,-0.0199095017254332,0.0884191287301054,"rt","binomial","estimated",1,22
24,0.0373621219371674,-0.0190036930887772,0.0878916753104933,"rt","binomial","estimated",1,22
25,0.0425174699342045,-0.0100489627973055,0.093851518619277,"rt","binomial","estimated",1,22
26,0.0447998854331406,-0.00626414842956447,0.0996563279444407,"rt","binomial","estimated",1,22
27,0.0427905588778828,-0.00775362649338022,0.0961768971012351,"rt","binomial","estimated",1,22
28,0.0405700078588523,-0.00831017401858927,0.0955479623884519,"rt","binomial","estimated",1,22
29,0.0321708345738437,-0.0182492136139202,0.0858132521567291,"rt","binomial","estimated",1,22
30,0.0248603263795108,-0.0243964546935064,0.0774086727097026,"rt","binomial","estimated",1,22
31,0.0104628352242507,-0.0392428479623061,0.0612663398387796,"rt","binomial","estimated",1,22
32,-0.00192222195503375,-0.0525324437786554,0.0486939216411535,"rt","binomial","estimated",1,22
33,-0.0117865456868155,-0.0622026644814988,0.0380862881829784,"rt","binomial","estimated",1,22
34,-0.0261411694928501,-0.0795466618731216,0.0227336289194142,"rt","binomial","estimated",1,22
35,-0.0373315770942677,-0.0922613155148047,0.012477485438395,"rt","binomial","estimated",1,22
36,-0.0422848490468687,-0.0985412788871872,0.00723335436590943,"rt","binomial","estimated",1,22
37,-0.0410301327448792,-0.0964151393089473,0.0079841640993115,"rt","binomial","estimated",1,22
38,-0.0349474722709483,-0.0900345754717592,0.0157968709894414,"rt","binomial","estimated",1,22
39,-0.0254071046646999,-0.0766019998805121,0.0251779673681323,"rt","binomial","estimated",1,22
40,-0.0194731936773242,-0.0715581992575284,0.0324853115883158,"rt","binomial","estimated",1,22
41,-0.00686926062654102,-0.0577777141486606,0.0477185861671236,"rt","binomial","estimated",1,22
42,0.005370093324615,-0.0465573996160342,0.0632110930613723,"rt","binomial","estimated",1,22
43,0.00872373961298692,-0.0422710953952623,0.0661179956869965,"rt","binomial","estimated",1,22
44,0.00774842879941218,-0.0423474556812336,0.0629284160461342,"rt","binomial","estimated",1,22
45,0.00696904014691689,-0.0442179438704664,0.0606600284961574,"rt","binomial","estimated",1,22
46,0.00345547055585817,-0.0473232238941393,0.0583992081572645,"rt","binomial","estimated",1,22
47,-0.00422153478040625,-0.0563839406793482,0.0481870117300973,"rt","binomial","estimated",1,22
48,-0.013990829593851,-0.0651311584742034,0.0394225468413697,"rt","binomial","estimated",1,22
49,-0.018658114502467,-0.071943840478294,0.0297700586703304,"rt","binomial","estimated",1,22
