obsmethod,t,rt,Pt,nSamples,nPos,phat,ssw,iter,confignum
betabinom,1,0.02552861993569288,0.010258572658192862,100000,868,0.00868,1.0e-5,1,30
betabinom,2,0.023898308013228297,0.01050668814884412,100000,842,0.00842,1.0e-5,1,30
betabinom,3,0.014337751341620887,0.010658415546574448,100000,865,0.00865,1.0e-5,1,30
betabinom,4,-0.01160132890783266,0.01053547825898602,100000,1415,0.01415,1.0e-5,1,30
betabinom,5,-0.010830528449232392,0.010421989144872542,100000,802,0.00802,1.0e-5,1,30
betabinom,6,-0.007202709067437419,0.010347192282542661,100000,833,0.00833,1.0e-5,1,30
betabinom,7,0.002957343785244618,0.010377837779634197,100000,835,0.00835,1.0e-5,1,30
betabinom,8,0.003091950570620972,0.010409975199131795,100000,1014,0.01014,1.0e-5,1,30
betabinom,9,0.01899052940934237,0.010609555206287256,100000,1122,0.01122,1.0e-5,1,30
betabinom,10,0.007123268294074248,0.010685399724225744,100000,1264,0.01264,1.0e-5,1,30
betabinom,11,-0.013057862650981007,0.01054677826192774,100000,980,0.0098,1.0e-5,1,30
betabinom,12,-0.013191486406033048,0.010408564208535639,100000,1039,0.01039,1.0e-5,1,30
betabinom,13,-0.021985499831323935,0.010182223940797729,100000,929,0.00929,1.0e-5,1,30
betabinom,14,-0.00391409094473924,0.010142447684996433,100000,943,0.00943,1.0e-5,1,30
betabinom,15,0.00010697541082603079,0.010143532735540146,100000,993,0.00993,1.0e-5,1,30
betabinom,16,-0.011702601747085185,0.010025518892966375,100000,1154,0.01154,1.0e-5,1,30
betabinom,17,-0.004536374873341019,0.00998014238121775,100000,952,0.00952,1.0e-5,1,30
betabinom,18,0.009049060774125647,0.01007086314595786,100000,1013,0.01013,1.0e-5,1,30
betabinom,19,0.0054733884227976485,0.010126136018670755,100000,880,0.0088,1.0e-5,1,30
betabinom,20,0.006037273797011726,0.010187455188379426,100000,921,0.00921,1.0e-5,1,30
betabinom,21,0.03447954445459349,0.010544839826826283,100000,1079,0.01079,1.0e-5,1,30
betabinom,22,0.021483817215548345,0.010773834267875553,100000,917,0.00917,1.0e-5,1,30
betabinom,23,0.039183901485849215,0.011204375179266082,100000,1281,0.01281,1.0e-5,1,30
betabinom,24,0.0497687908003753,0.011776112718532848,100000,1252,0.01252,1.0e-5,1,30
betabinom,25,0.012195843532606075,0.011920611699105691,100000,1256,0.01256,1.0e-5,1,30
betabinom,26,0.011412786493232702,0.012057438397085734,100000,1236,0.01236,1.0e-5,1,30
betabinom,27,0.018312335388032404,0.012280272330708183,100000,1230,0.0123,1.0e-5,1,30
betabinom,28,0.04212719889638297,0.012808657354716176,100000,1350,0.0135,1.0e-5,1,30
betabinom,29,0.053228085005458496,0.01350890885718052,100000,1293,0.01293,1.0e-5,1,30
betabinom,30,0.06524457897105503,0.01441968031584898,100000,1437,0.01437,1.0e-5,1,30
betabinom,31,0.038643202860771705,0.014987809414449575,100000,1174,0.01174,1.0e-5,1,30
betabinom,32,0.04881513179340058,0.015737592810566293,100000,1576,0.01576,1.0e-5,1,30
betabinom,33,0.04997380443236802,0.01654404306200815,100000,1625,0.01625,1.0e-5,1,30
betabinom,34,0.05203426845619291,0.017427690854443716,100000,1480,0.0148,1.0e-5,1,30
betabinom,35,0.035449283225709435,0.018056570819976688,100000,1844,0.01844,1.0e-5,1,30
betabinom,36,0.049025818405212945,0.018963867750219545,100000,2278,0.02278,1.0e-5,1,30
betabinom,37,0.05044207402754597,0.019944981250862966,100000,2212,0.02212,1.0e-5,1,30
betabinom,38,0.0464727615967574,0.02089375492518913,100000,2213,0.02213,1.0e-5,1,30
betabinom,39,0.04531832787475808,0.021862408056176227,100000,2046,0.02046,1.0e-5,1,30
betabinom,40,0.03103016281432383,0.022551437194552052,100000,2289,0.02289,1.0e-5,1,30
betabinom,41,0.020926994353247075,0.023028343698699938,100000,2512,0.02512,1.0e-5,1,30
betabinom,42,0.008110760535899835,0.023215880585284954,100000,2413,0.02413,1.0e-5,1,30
betabinom,43,-0.009571520399901797,0.022994729375694623,100000,2640,0.0264,1.0e-5,1,30
betabinom,44,-0.04772672531301174,0.021923043687058046,100000,2585,0.02585,1.0e-5,1,30
betabinom,45,-0.0943370281346071,0.019949444107110675,100000,1967,0.01967,1.0e-5,1,30
betabinom,46,-0.08152851302776765,0.01838753088527254,100000,1879,0.01879,1.0e-5,1,30
betabinom,47,-0.07929374192712288,0.016985822468856344,100000,1838,0.01838,1.0e-5,1,30
betabinom,48,-0.10270260773535922,0.015327926344901408,100000,1956,0.01956,1.0e-5,1,30
betabinom,49,-0.10357190686260183,0.013819829887212686,100000,1704,0.01704,1.0e-5,1,30
betabinom,50,-0.1142425112287282,0.012327863158024381,100000,1121,0.01121,1.0e-5,1,30
betabinom,51,-0.10861676345432363,0.01105900728028918,100000,1069,0.01069,1.0e-5,1,30
betabinom,52,-0.0824842663525218,0.01018342061612161,100000,922,0.00922,1.0e-5,1,30
betabinom,53,-0.06813958722611657,0.009512639431823131,100000,846,0.00846,1.0e-5,1,30
betabinom,54,-0.0824430602525272,0.008759845962247353,100000,816,0.00816,1.0e-5,1,30
betabinom,55,-0.05834405884256895,0.008263384602135935,100000,775,0.00775,1.0e-5,1,30
betabinom,56,-0.06554079017715829,0.007739162453122738,100000,864,0.00864,1.0e-5,1,30
betabinom,57,-0.06448458839647053,0.007255856117459501,100000,663,0.00663,1.0e-5,1,30
betabinom,58,-0.06458885066078832,0.006802022758940799,100000,515,0.00515,1.0e-5,1,30
