"variable","value","t","iter"
"eta",-0.0631339,1,1
"eta",0.794363,2,1
"eta",-0.776544,3,1
"gp",-1.4614,1,1
"gp",-1.31872,2,1
"gp",-1.16158,3,1
"gp",-0.998028,4,1
"gp",-0.8376,5,1
"gp",-0.69006,6,1
"gp",-0.563998,7,1
"gp",-0.465565,8,1
"gp",-0.397558,9,1
"gp",-0.359014,10,1
"gp",-0.345408,11,1
"gp",-0.349428,12,1
"gp",-0.36219,13,1
"gp",-0.374703,14,1
"gp",-0.379313,15,1
"gp",-0.370888,16,1
"gp",-0.347523,17,1
"gp",-0.310663,18,1
"gp",-0.264608,19,1
"gp",-0.215511,20,1
"gp",-0.170056,21,1
"gp",-0.134045,22,1
"gp",-0.111169,23,1
"gp",-0.102181,24,1
"gp",-0.104615,25,1
"gp",-0.113109,26,1
"gp",-0.120267,27,1
"gp",-0.117907,28,1
"gp",-0.0984748,29,1
"gp",-0.0563761,30,1
"gp",0.0110082,31,1
"gp",0.102786,32,1
"gp",0.21459,33,1
"gp",0.339166,34,1
"gp",0.46741,35,1
"gp",0.589676,36,1
"gp",0.69714,37,1
"gp",0.782996,38,1
"gp",0.843326,39,1
"gp",0.877501,40,1
"gp",0.88811,41,1
"gp",0.880437,42,1
"gp",0.861606,43,1
"gp",0.839549,44,1
"gp",0.821966,45,1
"gp",0.815413,46,1
"gp",0.824658,47,1
"gp",0.852341,48,1
"gp",0.898964,49,1
"gp",0.963158,50,1
"gp",1.04214,51,1
"gp",1.13229,52,1
"gp",1.22971,53,1
"gp",1.33073,54,1
"gp",1.43223,55,1
"gp",1.53186,56,1
"gp",1.62806,57,1
"gp",1.71994,58,1
"gp",1.80705,59,1
"gp",1.88916,60,1
"gp",1.96589,61,1
"gp",2.03654,62,1
"gp",2.09982,63,1
"gp",2.15378,64,1
"gp",2.19581,65,1
"gp",2.2227,66,1
"gp",2.23094,67,1
"gp",2.21702,68,1
"gp",2.1778,69,1
"gp",2.11101,70,1
"gp",2.01567,71,1
"gp",1.89242,72,1
"gp",1.74376,73,1
"gp",1.5741,74,1
"gp",1.38956,75,1
"gp",1.19762,76,1
"gp",1.00647,77,1
"gp",0.824379,78,1
"gp",0.658866,79,1
"gp",0.516042,80,1
"gp",0.400029,81,1
"gp",0.312634,82,1
"gp",0.253283,83,1
"gp",0.219238,84,1
"gp",0.20605,85,1
"gp",0.208185,86,1
"gp",0.219719,87,1
"gp",0.235007,88,1
"gp",0.249218,89,1
"gp",0.258687,90,1
"gp",0.261035,91,1
"gp",0.255081,92,1
"gp",0.240579,93,1
"gp",0.217856,94,1
"gp",0.18744,95,1
"gp",0.149725,96,1
"gp",0.104769,97,1
"gp",0.0522066,98,1
"gp",-0.00869597,99,1
"gp",-0.0788912,100,1
"It",0.000232088,1,1
"It",0.000267673,2,1
"It",0.000313206,3,1
"It",0.000368839,4,1
"It",0.000432993,5,1
"It",0.000501796,6,1
"It",0.000569175,7,1
"It",0.000628014,8,1
"It",0.000672179,9,1
"It",0.000698576,10,1
"It",0.000708138,11,1
"It",0.000705299,12,1
"It",0.000696362,13,1
"It",0.000687708,14,1
"It",0.000684547,15,1
"It",0.000690335,16,1
"It",0.000706643,17,1
"It",0.000733156,18,1
"It",0.000767686,19,1
"It",0.000806286,20,1
"It",0.000843749,21,1
"It",0.00087466,22,1
"It",0.000894881,23,1
"It",0.000902954,24,1
"It",0.00090076,25,1
"It",0.000893149,26,1
"It",0.000886784,27,1
"It",0.000888878,28,1
"It",0.000906304,29,1
"It",0.000945235,30,1
"It",0.00101106,31,1
"It",0.00110813,32,1
"It",0.00123906,33,1
"It",0.00140321,34,1
"It",0.00159491,35,1
"It",0.00180196,36,1
"It",0.00200598,37,1
"It",0.00218542,38,1
"It",0.00232101,39,1
"It",0.00240151,40,1
"It",0.00242706,41,1
"It",0.00240855,42,1
"It",0.00236373,43,1
"It",0.00231228,44,1
"It",0.00227207,45,1
"It",0.00225726,46,1
"It",0.00227818,47,1
"It",0.00234198,48,1
"It",0.00245348,49,1
"It",0.00261572,50,1
"It",0.00283009,51,1
"It",0.00309625,52,1
"It",0.003412,53,1
"It",0.0037733,54,1
"It",0.00417472,55,1
"It",0.00461006,56,1
"It",0.00507321,57,1
"It",0.00555869,58,1
"It",0.00606159,59,1
"It",0.00657687,60,1
"It",0.0070977,61,1
"It",0.00761332,62,1
"It",0.00810663,63,1
"It",0.00855226,64,1
"It",0.00891602,65,1
"It",0.00915683,66,1
"It",0.00923195,67,1
"It",0.00910543,68,1
"It",0.0087583,69,1
"It",0.00819713,70,1
"It",0.00745727,71,1
"It",0.00659823,72,1
"It",0.00569196,73,1
"It",0.004808,74,1
"It",0.00400105,75,1
"It",0.00330458,76,1
"It",0.00273119,77,1
"It",0.00227755,78,1
"It",0.0019308,79,1
"It",0.00167425,80,1
"It",0.00149113,81,1
"It",0.00136652,82,1
"It",0.00128788,83,1
"It",0.00124482,84,1
"It",0.00122853,85,1
"It",0.00123116,86,1
"It",0.00124542,87,1
"It",0.00126458,88,1
"It",0.00128266,89,1
"It",0.00129485,90,1
"It",0.00129789,91,1
"It",0.00129019,92,1
"It",0.00127164,93,1
"It",0.00124311,94,1
"It",0.00120591,95,1
"It",0.00116133,96,1
"It",0.00111033,97,1
"It",0.00105354,98,1
"It",0.00099135,99,1
"It",0.000924211,100,1
"Pt",0.00128005,1,1
"Pt",0.00132125,2,1
"Pt",0.00137831,3,1
"Pt",0.0014566,4,1
"Pt",0.00156228,5,1
"Pt",0.00170182,6,1
"Pt",0.00188092,7,1
"Pt",0.00210305,8,1
"Pt",0.00236779,9,1
"Pt",0.00266956,10,1
"Pt",0.00299748,11,1
"Pt",0.00333673,12,1
"Pt",0.00367119,13,1
"Pt",0.00398661,14,1
"Pt",0.00427302,15,1
"Pt",0.00452605,16,1
"Pt",0.00474681,17,1
"Pt",0.00494086,18,1
"Pt",0.00511666,19,1
"Pt",0.00528386,20,1
"Pt",0.00545151,21,1
"Pt",0.00562646,22,1
"Pt",0.00581198,23,1
"Pt",0.00600698,24,1
"Pt",0.00620622,25,1
"Pt",0.00640172,26,1
"Pt",0.00658493,27,1
"Pt",0.00674938,28,1
"Pt",0.00689278,29,1
"Pt",0.0070183,30,1
"Pt",0.00713485,31,1
"Pt",0.00725673,32,1
"Pt",0.00740282,33,1
"Pt",0.00759558,34,1
"Pt",0.00785961,35,1
"Pt",0.00821947,36,1
"Pt",0.00869645,37,1
"Pt",0.00930414,38,1
"Pt",0.0100436,39,1
"Pt",0.0109,40,1
"Pt",0.0118417,41,1
"Pt",0.0128238,42,1
"Pt",0.0137961,43,1
"Pt",0.0147114,44,1
"Pt",0.0155342,45,1
"Pt",0.016245,46,1
"Pt",0.0168421,47,1
"Pt",0.0173392,48,1
"Pt",0.0177627,49,1
"Pt",0.0181481,50,1
"Pt",0.0185364,51,1
"Pt",0.0189718,52,1
"Pt",0.0194991,53,1
"Pt",0.0201618,54,1
"Pt",0.0209999,55,1
"Pt",0.0220482,56,1
"Pt",0.0233345,57,1
"Pt",0.0248788,58,1
"Pt",0.026693,59,1
"Pt",0.0287814,60,1
"Pt",0.0311413,61,1
"Pt",0.0337639,62,1
"Pt",0.0366343,63,1
"Pt",0.0397302,64,1
"Pt",0.0430187,65,1
"Pt",0.0464519,66,1
"Pt",0.0499614,67,1
"Pt",0.053453,68,1
"Pt",0.0568045,69,1
"Pt",0.0598681,70,1
"Pt",0.06248,71,1
"Pt",0.0644767,72,1
"Pt",0.0657167,73,1
"Pt",0.066102,74,1
"Pt",0.0655937,75,1
"Pt",0.0642179,76,1
"Pt",0.0620597,77,1
"Pt",0.0592483,78,1
"Pt",0.0559381,79,1
"Pt",0.0522901,80,1
"Pt",0.0484572,81,1
"Pt",0.0445753,82,1
"Pt",0.0407579,83,1
"Pt",0.0370955,84,1
"Pt",0.0336564,85,1
"Pt",0.0304884,86,1
"Pt",0.0276212,87,1
"Pt",0.0250688,88,1
"Pt",0.0228316,89,1
"Pt",0.0208986,90,1
"Pt",0.0192493,91,1
"Pt",0.0178563,92,1
"Pt",0.0166876,93,1
"Pt",0.0157092,94,1
"Pt",0.0148871,95,1
"Pt",0.0141892,96,1
"Pt",0.0135865,97,1
"Pt",0.0130539,98,1
"Pt",0.0125697,99,1
"Pt",0.012116,100,1
"al",6.39897,1,1
"al",6.6049,2,1
"al",6.89019,3,1
"al",7.28153,4,1
"al",7.80983,5,1
"al",8.50738,6,1
"al",9.4027,7,1
"al",10.5131,8,1
"al",11.8366,9,1
"al",13.3451,10,1
"al",14.9844,11,1
"al",16.6803,12,1
"al",18.3523,13,1
"al",19.929,14,1
"al",21.3608,15,1
"al",22.6257,16,1
"al",23.7293,17,1
"al",24.6993,18,1
"al",25.5782,19,1
"al",26.414,20,1
"al",27.2521,21,1
"al",28.1267,22,1
"al",29.0541,23,1
"al",30.0289,24,1
"al",31.0249,25,1
"al",32.0022,26,1
"al",32.9181,27,1
"al",33.7402,28,1
"al",34.457,29,1
"al",35.0845,30,1
"al",35.6671,31,1
"al",36.2764,32,1
"al",37.0067,33,1
"al",37.9703,34,1
"al",39.2902,35,1
"al",41.0891,36,1
"al",43.4736,37,1
"al",46.5114,38,1
"al",50.2082,39,1
"al",54.4893,40,1
"al",59.1966,41,1
"al",64.1064,42,1
"al",68.9668,43,1
"al",73.5425,44,1
"al",77.6555,45,1
"al",81.2089,46,1
"al",84.1935,47,1
"al",86.6785,48,1
"al",88.7959,49,1
"al",90.7225,50,1
"al",92.6637,51,1
"al",94.8401,52,1
"al",97.476,53,1
"al",100.789,54,1
"al",104.978,55,1
"al",110.219,56,1
"al",116.649,57,1
"al",124.369,58,1
"al",133.438,59,1
"al",143.878,60,1
"al",155.675,61,1
"al",168.786,62,1
"al",183.135,63,1
"al",198.611,64,1
"al",215.05,65,1
"al",232.213,66,1
"al",249.757,67,1
"al",267.211,68,1
"al",283.966,69,1
"al",299.281,70,1
"al",312.338,71,1
"al",322.319,72,1
"al",328.518,73,1
"al",330.444,74,1
"al",327.903,75,1
"al",321.025,76,1
"al",310.236,77,1
"al",296.182,78,1
"al",279.634,79,1
"al",261.398,80,1
"al",242.238,81,1
"al",222.832,82,1
"al",203.749,83,1
"al",185.441,84,1
"al",168.248,85,1
"al",152.411,86,1
"al",138.078,87,1
"al",125.319,88,1
"al",114.135,89,1
"al",104.472,90,1
"al",96.227,91,1
"al",89.2635,92,1
"al",83.4215,93,1
"al",78.5305,94,1
"al",74.4207,95,1
"al",70.9318,96,1
"al",67.9191,97,1
"al",65.2564,98,1
"al",62.836,99,1
"al",60.568,100,1
"be",4992.6,1,1
"be",4992.4,2,1
"be",4992.11,3,1
"be",4991.72,4,1
"be",4991.19,5,1
"be",4990.49,6,1
"be",4989.6,7,1
"be",4988.49,8,1
"be",4987.16,9,1
"be",4985.65,10,1
"be",4984.02,11,1
"be",4982.32,12,1
"be",4980.65,13,1
"be",4979.07,14,1
"be",4977.64,15,1
"be",4976.37,16,1
"be",4975.27,17,1
"be",4974.3,18,1
"be",4973.42,19,1
"be",4972.59,20,1
"be",4971.75,21,1
"be",4970.87,22,1
"be",4969.95,23,1
"be",4968.97,24,1
"be",4967.98,25,1
"be",4967,26,1
"be",4966.08,27,1
"be",4965.26,28,1
"be",4964.54,29,1
"be",4963.92,30,1
"be",4963.33,31,1
"be",4962.72,32,1
"be",4961.99,33,1
"be",4961.03,34,1
"be",4959.71,35,1
"be",4957.91,36,1
"be",4955.53,37,1
"be",4952.49,38,1
"be",4948.79,39,1
"be",4944.51,40,1
"be",4939.8,41,1
"be",4934.89,42,1
"be",4930.03,43,1
"be",4925.46,44,1
"be",4921.34,45,1
"be",4917.79,46,1
"be",4914.81,47,1
"be",4912.32,48,1
"be",4910.2,49,1
"be",4908.28,50,1
"be",4906.34,51,1
"be",4904.16,52,1
"be",4901.52,53,1
"be",4898.21,54,1
"be",4894.02,55,1
"be",4888.78,56,1
"be",4882.35,57,1
"be",4874.63,58,1
"be",4865.56,59,1
"be",4855.12,60,1
"be",4843.32,61,1
"be",4830.21,62,1
"be",4815.87,63,1
"be",4800.39,64,1
"be",4783.95,65,1
"be",4766.79,66,1
"be",4749.24,67,1
"be",4731.79,68,1
"be",4715.03,69,1
"be",4699.72,70,1
"be",4686.66,71,1
"be",4676.68,72,1
"be",4670.48,73,1
"be",4668.56,74,1
"be",4671.1,75,1
"be",4677.97,76,1
"be",4688.76,77,1
"be",4702.82,78,1
"be",4719.37,79,1
"be",4737.6,80,1
"be",4756.76,81,1
"be",4776.17,82,1
"be",4795.25,83,1
"be",4813.56,84,1
"be",4830.75,85,1
"be",4846.59,86,1
"be",4860.92,87,1
"be",4873.68,88,1
"be",4884.86,89,1
"be",4894.53,90,1
"be",4902.77,91,1
"be",4909.74,92,1
"be",4915.58,93,1
"be",4920.47,94,1
"be",4924.58,95,1
"be",4928.07,96,1
"be",4931.08,97,1
"be",4933.74,98,1
"be",4936.16,99,1
"be",4938.43,100,1
"Rt",1.33634,1,1
"Rt",1.45153,2,1
"Rt",1.57175,3,1
"Rt",1.68007,4,1
"Rt",1.75665,5,1
"Rt",1.78465,6,1
"Rt",1.75654,7,1
"Rt",1.67715,8,1
"Rt",1.56171,9,1
"Rt",1.43012,10,1
"Rt",1.3011,11,1
"Rt",1.18852,12,1
"Rt",1.1006,13,1
"Rt",1.04086,14,1
"Rt",1.0095,15,1
"Rt",1.00444,16,1
"Rt",1.02164,17,1
"Rt",1.0549,18,1
"Rt",1.09567,19,1
"Rt",1.13377,20,1
"Rt",1.15924,21,1
"Rt",1.16517,22,1
"Rt",1.15006,23,1
"Rt",1.1182,24,1
"Rt",1.07806,25,1
"Rt",1.03961,26,1
"Rt",1.01203,27,1
"Rt",1.00258,28,1
"Rt",1.01636,29,1
"Rt",1.05632,30,1
"Rt",1.12292,31,1
"Rt",1.21313,32,1
"Rt",1.31896,33,1
"Rt",1.42672,34,1
"Rt",1.51835,35,1
"Rt",1.57577,36,1
"Rt",1.58692,37,1
"Rt",1.5501,38,1
"Rt",1.47415,39,1
"Rt",1.37443,40,1
"Rt",1.26758,41,1
"Rt",1.16754,42,1
"Rt",1.08383,43,1
"Rt",1.02188,44,1
"Rt",0.984023,45,1
"Rt",0.97068,46,1
"Rt",0.981054,47,1
"Rt",1.01338,48,1
"Rt",1.06478,49,1
"Rt",1.13093,50,1
"Rt",1.20595,51,1
"Rt",1.28273,52,1
"Rt",1.35392,53,1
"Rt",1.41326,54,1
"Rt",1.45673,55,1
"Rt",1.48311,56,1
"Rt",1.49366,57,1
"Rt",1.49126,58,1
"Rt",1.47927,59,1
"Rt",1.46071,60,1
"Rt",1.43757,61,1
"Rt",1.41065,62,1
"Rt",1.37951,63,1
"Rt",1.34282,64,1
"Rt",1.29873,65,1
"Rt",1.24547,66,1
"Rt",1.18189,67,1
"Rt",1.10804,68,1
"Rt",1.0254,69,1
"Rt",0.936834,70,1
"Rt",0.84622,71,1
"Rt",0.757812,72,1
"Rt",0.675594,73,1
"Rt",0.602779,74,1
"Rt",0.541574,75,1
"Rt",0.493233,76,1
"Rt",0.458294,77,1
"Rt",0.436909,78,1
"Rt",0.429156,79,1
"Rt",0.435248,80,1
"Rt",0.455583,81,1
"Rt",0.490585,82,1
"Rt",0.540273,83,1
"Rt",0.603585,84,1
"Rt",0.677606,85,1
"Rt",0.757093,86,1
"Rt",0.834803,87,1
"Rt",0.902866,88,1
"Rt",0.954801,89,1
"Rt",0.987204,90,1
"Rt",1.00026,91,1
"Rt",0.996986,92,1
"Rt",0.98181,93,1
"Rt",0.959183,94,1
"Rt",0.932678,95,1
"Rt",0.904632,96,1
"Rt",0.876195,97,1
"Rt",0.8476,98,1
"Rt",0.818543,99,1
"Rt",0.788543,100,1
"rtinc",0.122601,1,1
"rtinc",0.142646,2,1
"rtinc",0.157095,3,1
"rtinc",0.163499,4,1
"rtinc",0.160363,5,1
"rtinc",0.147471,6,1
"rtinc",0.125995,7,1
"rtinc",0.0983739,8,1
"rtinc",0.0679631,9,1
"rtinc",0.038518,10,1
"rtinc",0.0135959,11,1
"rtinc",-0.0040169,12,1
"rtinc",-0.0127532,13,1
"rtinc",-0.0125042,14,1
"rtinc",-0.00460724,15,1
"rtinc",0.0084195,16,1
"rtinc",0.0233481,17,1
"rtinc",0.0368337,18,1
"rtinc",0.0460212,19,1
"rtinc",0.0490578,20,1
"rtinc",0.0454174,21,1
"rtinc",0.0359803,22,1
"rtinc",0.0228555,23,1
"rtinc",0.00897995,24,1
"rtinc",-0.00243189,25,1
"rtinc",-0.00848641,26,1
"rtinc",-0.00715133,27,1
"rtinc",0.0023582,28,1
"rtinc",0.0194145,29,1
"rtinc",0.0420597,30,1
"rtinc",0.0673183,31,1
"rtinc",0.0916808,32,1
"rtinc",0.111673,33,1
"rtinc",0.124411,34,1
"rtinc",0.128052,35,1
"rtinc",0.122059,36,1
"rtinc",0.107259,37,1
"rtinc",0.0856767,38,1
"rtinc",0.0601933,39,1
"rtinc",0.0340944,40,1
"rtinc",0.0105839,41,1
"rtinc",-0.00765448,42,1
"rtinc",-0.0187864,43,1
"rtinc",-0.0220049,44,1
"rtinc",-0.0175432,45,1
"rtinc",-0.00653803,46,1
"rtinc",0.0092237,47,1
"rtinc",0.0276192,48,1
"rtinc",0.0465119,49,1
"rtinc",0.0640305,50,1
"rtinc",0.0787682,51,1
"rtinc",0.0898841,52,1
"rtinc",0.0971064,53,1
"rtinc",0.100653,54,1
"rtinc",0.101096,55,1
"rtinc",0.0991938,56,1
"rtinc",0.095734,57,1
"rtinc",0.0913877,58,1
"rtinc",0.0866107,59,1
"rtinc",0.0815861,60,1
"rtinc",0.0762117,61,1
"rtinc",0.0701287,62,1
"rtinc",0.0627832,63,1
"rtinc",0.0535133,64,1
"rtinc",0.041654,65,1
"rtinc",0.0266506,66,1
"rtinc",0.00817002,67,1
"rtinc",-0.0137987,68,1
"rtinc",-0.0388692,69,1
"rtinc",-0.0662182,70,1
"rtinc",-0.0945951,71,1
"rtinc",-0.122387,72,1
"rtinc",-0.147748,73,1
"rtinc",-0.168773,74,1
"rtinc",-0.183724,75,1
"rtinc",-0.191247,76,1
"rtinc",-0.19057,77,1
"rtinc",-0.18164,78,1
"rtinc",-0.165165,79,1
"rtinc",-0.142567,80,1
"rtinc",-0.11583,81,1
"rtinc",-0.0872706,82,1
"rtinc",-0.0592721,83,1
"rtinc",-0.034002,84,1
"rtinc",-0.0131716,85,1
"rtinc",0.00213236,86,1
"rtinc",0.0115204,87,1
"rtinc",0.0152687,88,1
"rtinc",0.0141931,89,1
"rtinc",0.00945657,90,1
"rtinc",0.00234519,91,1
"rtinc",-0.00594636,92,1
"rtinc",-0.0144841,93,1
"rtinc",-0.0226937,94,1
"rtinc",-0.0303796,95,1
"rtinc",-0.0376696,96,1
"rtinc",-0.0449051,97,1
"rtinc",-0.0525058,98,1
"rtinc",-0.0608403,99,1
"rtinc",-0.070128,100,1
"rt",0.0233968,1,1
"rt",0.0316748,2,1
"rt",0.0422859,3,1
"rt",0.0552428,4,1
"rt",0.0700427,5,1
"rt",0.0855505,6,1
"rt",0.100063,7,1
"rt",0.111629,8,1
"rt",0.118568,9,1
"rt",0.119957,10,1
"rt",0.115858,11,1
"rt",0.107221,12,1
"rt",0.0955231,13,1
"rt",0.0824252,14,1
"rt",0.0693817,15,1
"rt",0.0575289,16,1
"rt",0.0476223,17,1
"rt",0.040066,18,1
"rt",0.0349631,19,1
"rt",0.0321541,20,1
"rt",0.0312362,21,1
"rt",0.0315888,22,1
"rt",0.0324405,23,1
"rt",0.0329998,24,1
"rt",0.0326311,25,1
"rt",0.0310139,26,1
"rt",0.0282178,27,1
"rt",0.0246671,28,1
"rt",0.0210236,29,1
"rt",0.0180454,30,1
"rt",0.0164703,31,1
"rt",0.0169382,32,1
"rt",0.0199324,33,1
"rt",0.0257054,34,1
"rt",0.0341697,35,1
"rt",0.0447695,36,1
"rt",0.0564094,37,1
"rt",0.0675438,38,1
"rt",0.0764813,39,1
"rt",0.081826,40,1
"rt",0.082859,41,1
"rt",0.079681,42,1
"rt",0.0730806,43,1
"rt",0.0642387,44,1
"rt",0.0544184,45,1
"rt",0.0447432,46,1
"rt",0.0360923,47,1
"rt",0.0290883,48,1
"rt",0.0241348,49,1
"rt",0.0214646,50,1
"rt",0.0211712,51,1
"rt",0.0232159,52,1
"rt",0.0274144,53,1
"rt",0.0334205,54,1
"rt",0.0407284,55,1
"rt",0.0487118,56,1
"rt",0.0567017,57,1
"rt",0.0640841,58,1
"rt",0.0703872,59,1
"rt",0.0753273,60,1
"rt",0.0788048,61,1
"rt",0.0808573,62,1
"rt",0.0815933,63,1
"rt",0.0811258,64,1
"rt",0.079523,65,1
"rt",0.076783,66,1
"rt",0.0728331,67,1
"rt",0.0675525,68,1
"rt",0.0608132,69,1
"rt",0.0525288,70,1
"rt",0.0427019,71,1
"rt",0.0314571,72,1
"rt",0.0190494,73,1
"rt",0.00584579,74,1
"rt",-0.00771886,75,1
"rt",-0.0211976,76,1
"rt",-0.034186,77,1
"rt",-0.04636,78,1
"rt",-0.0574913,79,1
"rt",-0.0674388,80,1
"rt",-0.0761245,81,1
"rt",-0.0835022,82,1
"rt",-0.0895304,83,1
"rt",-0.094153,84,1
"rt",-0.097293,85,1
"rt",-0.0988583,86,1
"rt",-0.0987628,87,1
"rt",-0.0969588,88,1
"rt",-0.0934772,89,1
"rt",-0.0884653,90,1
"rt",-0.0822082,91,1
"rt",-0.0751177,92,1
"rt",-0.067687,93,1
"rt",-0.0604188,94,1
"rt",-0.053753,95,1
"rt",-0.0480151,96,1
"rt",-0.0434014,97,1
"rt",-0.0399941,98,1
"rt",-0.0377953,99,1
"rt",-0.0367612,100,1
"nPos",5,1,1
"nPos",2,2,1
"nPos",6,3,1
"nPos",3,4,1
"nPos",10,5,1
"nPos",3,6,1
"nPos",15,7,1
"nPos",9,8,1
"nPos",14,9,1
"nPos",17,10,1
"nPos",11,11,1
"nPos",9,12,1
"nPos",22,13,1
"nPos",27,14,1
"nPos",32,15,1
"nPos",34,16,1
"nPos",29,17,1
"nPos",25,18,1
"nPos",20,19,1
"nPos",25,20,1
"nPos",30,21,1
"nPos",23,22,1
"nPos",14,23,1
"nPos",24,24,1
"nPos",26,25,1
"nPos",31,26,1
"nPos",24,27,1
"nPos",43,28,1
"nPos",32,29,1
"nPos",35,30,1
"nPos",30,31,1
"nPos",30,32,1
"nPos",49,33,1
"nPos",44,34,1
