t,value,iter,variable
1,0.008294049565060023,1,rt
2,0.005107071069806822,1,rt
3,-0.011372081455224527,1,rt
4,0.009393747787227479,1,rt
5,-0.0015752792000323802,1,rt
6,-0.005330880283682821,1,rt
7,-0.0005089263120783968,1,rt
8,-0.002016545143625146,1,rt
9,0.012892312311310014,1,rt
10,0.010805741415811317,1,rt
11,0.021391798180306,1,rt
12,0.01868688166411664,1,rt
13,0.0023543552360451615,1,rt
14,0.026371732973887823,1,rt
15,0.024551376160700876,1,rt
16,0.028458100416069713,1,rt
17,0.022777823922353124,1,rt
18,0.021492849881759597,1,rt
19,0.03016638890923916,1,rt
20,0.025469259172983934,1,rt
21,0.03679485650660533,1,rt
22,0.04921996632280587,1,rt
23,0.05166586950283157,1,rt
24,0.06408610883149454,1,rt
25,0.05169389055192163,1,rt
26,0.05821245994252981,1,rt
27,0.060465584329774544,1,rt
28,0.06507639693188824,1,rt
29,0.0580879261326419,1,rt
30,0.040369902345445074,1,rt
31,0.05331172462346691,1,rt
32,0.05213042533885224,1,rt
33,0.036880482247733076,1,rt
34,0.017240003583272743,1,rt
35,0.004842337698330415,1,rt
36,0.00405903253912412,1,rt
37,0.012035023299577584,1,rt
38,-0.00475794839700271,1,rt
39,0.0010152776015439242,1,rt
40,-0.00697700143719404,1,rt
41,-0.019037012945261653,1,rt
42,-0.02076431625857204,1,rt
43,-0.02334977490530877,1,rt
44,-0.029513062036881213,1,rt
45,-0.02915877354899576,1,rt
46,-0.032262908391619126,1,rt
47,-0.021436173733185446,1,rt
48,-0.012727811933132037,1,rt
49,-0.01339439640104734,1,rt
50,-0.013780318234446323,1,rt
51,-0.01941624452475743,1,rt
52,-0.004460735548001969,1,rt
53,0.00029548525558875313,1,rt
54,-0.004982762184262202,1,rt
55,-0.001964887167672669,1,rt
56,-0.014547760244733782,1,rt
57,-0.010169578820213361,1,rt
58,-0.017118571764753267,1,rt
59,-0.02239032011186183,1,rt
60,-0.021621012200197964,1,rt
61,-0.015698358789961314,1,rt
62,-0.008482787824300628,1,rt
63,-0.014633876359785539,1,rt
64,-0.020374988277909803,1,rt
65,-0.019496800222911823,1,rt
66,-0.028638160150483163,1,rt
67,-0.024596789159299144,1,rt
68,-0.01743150670457387,1,rt
69,-0.012592256748154545,1,rt
70,-0.028146999419591416,1,rt
71,-0.024767340271663836,1,rt
72,-0.03769132160950778,1,rt
73,-0.04185903962529659,1,rt
74,-0.03967899890839432,1,rt
75,-0.04700764546664619,1,rt
76,-0.052783431511719006,1,rt
77,-0.051914679718548025,1,rt
78,-0.04037229955855263,1,rt
79,-0.04606321287425594,1,rt
80,-0.052243107768036416,1,rt
81,-0.06626571961735987,1,rt
82,-0.06245822475338933,1,rt
83,-0.06406522232641151,1,rt
84,-0.0750557878171081,1,rt
85,-0.06545750156777227,1,rt
86,-0.05486373630160415,1,rt
87,-0.05427138134492762,1,rt
88,-0.03636430870670394,1,rt
89,-0.02907654114527737,1,rt
90,-0.0305375115520797,1,rt
91,-0.02781823225127185,1,rt
92,-0.02767642257859804,1,rt
93,-0.025167426492662844,1,rt
94,-0.009642211857044341,1,rt
95,-0.017863653090502668,1,rt
96,-0.020383577776642053,1,rt
97,-0.02330299317822429,1,rt
98,-0.0204269835735164,1,rt
99,-0.0180971513818308,1,rt
100,-0.020310759646374743,1,rt
1,0.0002930430872055739,2,rt
2,0.0018614071449149286,2,rt
3,0.009010123336695285,2,rt
4,0.01468029950675034,2,rt
5,0.008346471080620328,2,rt
6,0.0004444168140316229,2,rt
7,0.006846958997266956,2,rt
8,0.0008090328387112978,2,rt
9,-0.0021341461915299117,2,rt
10,-0.007806148241629202,2,rt
11,0.007529285179205283,2,rt
12,0.01780888105390501,2,rt
13,0.01670319985755085,2,rt
14,0.01811394897714126,2,rt
15,0.03273857102611717,2,rt
16,0.03646132845815229,2,rt
17,0.022782403399916405,2,rt
18,0.0025344630742603555,2,rt
19,0.0032069420962106627,2,rt
20,0.006494467875588785,2,rt
21,-0.0005971641559447379,2,rt
22,0.019106944351998462,2,rt
23,0.009132425341148206,2,rt
24,0.0036300091953378726,2,rt
25,0.0018436001243775006,2,rt
26,0.010302061877034804,2,rt
27,0.022868418247413168,2,rt
28,0.017470955832120855,2,rt
29,-0.0022536122652764487,2,rt
30,-0.0054245310657884595,2,rt
31,-0.009796409160009612,2,rt
32,-0.013867307303031082,2,rt
33,-0.029276732495922914,2,rt
34,-0.02432837112363237,2,rt
35,-0.009634425676483835,2,rt
36,-0.031385453382924484,2,rt
37,-0.027337865603002408,2,rt
38,-0.020821290642904396,2,rt
39,-0.029190170327938327,2,rt
40,-0.03667106663060678,2,rt
41,-0.03403968533840514,2,rt
42,-0.035463184576737215,2,rt
43,-0.036053171639173695,2,rt
44,-0.020215844471845157,2,rt
45,-0.014311189467517645,2,rt
46,-0.0024715627043440658,2,rt
47,0.012143920197331794,2,rt
48,0.007343659770782477,2,rt
49,-0.012258796497195348,2,rt
50,-0.023403436314314848,2,rt
51,-0.034451046446640834,2,rt
52,-0.028028506605245376,2,rt
53,-0.017512347141334813,2,rt
54,-0.02130738648023777,2,rt
55,-0.02626203330362291,2,rt
56,-0.015372788690502305,2,rt
57,-0.01967514752746953,2,rt
58,-0.022622124207309094,2,rt
59,-0.03684279564392233,2,rt
60,-0.040875738398312975,2,rt
61,-0.04955485926131163,2,rt
62,-0.02320409898695378,2,rt
63,-0.01924232862037207,2,rt
64,-0.016759698649318804,2,rt
65,-0.014481065150053787,2,rt
66,-0.020070165954507335,2,rt
67,-0.00835938362673667,2,rt
68,-0.005816002011068277,2,rt
69,-0.002479617694555038,2,rt
70,0.003245226841424333,2,rt
71,0.006290079218378979,2,rt
72,0.02158960048388843,2,rt
73,0.011497121776667521,2,rt
74,0.01563425703959888,2,rt
75,0.011250379580550036,2,rt
76,0.010592080638555167,2,rt
77,-0.001240762282086836,2,rt
78,0.0004562516304540867,2,rt
79,-0.012831232925572582,2,rt
80,-0.010424347533475105,2,rt
81,0.005629164868050131,2,rt
82,0.007051382575559665,2,rt
83,-0.008215515169061032,2,rt
84,0.0007961680326972736,2,rt
85,0.015372070652955665,2,rt
86,0.01376849123397449,2,rt
87,0.010702193517263283,2,rt
88,0.0068899453360730094,2,rt
89,0.007505959057425504,2,rt
90,0.022994625583416126,2,rt
91,0.018792360356997242,2,rt
92,0.0035858495521388437,2,rt
93,0.008667088912748807,2,rt
94,-0.003431196043478312,2,rt
95,-0.01528574421656827,2,rt
96,-0.016178919055313646,2,rt
97,-0.025012333362411612,2,rt
98,-0.034538556346041624,2,rt
99,-0.0282466346403365,2,rt
100,-0.027599452437493465,2,rt
1,-0.0004298753516521962,3,rt
2,-0.014238660013815657,3,rt
3,-0.024590967178478224,3,rt
4,-0.017166375367226372,3,rt
5,-0.010889520603569963,3,rt
6,-0.002137119911083932,3,rt
7,-0.013255041899155518,3,rt
8,-0.016303334683622907,3,rt
9,-0.006326801585880943,3,rt
10,-0.012278337888749713,3,rt
11,-0.025760294746982652,3,rt
12,-0.018295188118040016,3,rt
13,-0.030024469099797828,3,rt
14,-0.03146280653322296,3,rt
15,-0.019282669552460323,3,rt
16,-0.023041117469134807,3,rt
17,-0.007633118219131103,3,rt
18,-0.011451826915357715,3,rt
19,-0.025759812986650588,3,rt
20,-0.0241166512019772,3,rt
21,-0.006806959616035266,3,rt
22,0.0034212888881242944,3,rt
23,0.001979243065847064,3,rt
24,-0.0014777617314744996,3,rt
25,0.008252237511722408,3,rt
26,-0.014453505258461176,3,rt
27,-0.03298736450239036,3,rt
28,-0.03452019865356057,3,rt
29,-0.038235576714171306,3,rt
30,-0.02747997859931984,3,rt
31,-0.0348763870934365,3,rt
32,-0.03580018907758243,3,rt
33,-0.02097977673915663,3,rt
34,-0.03010212055401247,3,rt
35,-0.026335793069274735,3,rt
36,-0.017214566729090088,3,rt
37,-0.0209321100321741,3,rt
38,-0.02514648829697891,3,rt
39,-0.010285715467824136,3,rt
40,-0.002306263312961576,3,rt
41,0.0038545597817428593,3,rt
42,0.009835415358988145,3,rt
43,0.0127797225576071,3,rt
44,-0.0016390221446172405,3,rt
45,-0.0072213531196639235,3,rt
46,-0.011265480770180622,3,rt
47,-0.01068942115866848,3,rt
48,-0.020014808920926642,3,rt
49,-0.010420124346154523,3,rt
50,-0.014481123259729334,3,rt
51,-0.01358899055177866,3,rt
52,-0.015001879755456967,3,rt
53,-0.025629694710432527,3,rt
54,-0.01243424458940054,3,rt
55,-0.003207508516562471,3,rt
56,0.001786008822298282,3,rt
57,-0.003921057101977706,3,rt
58,-0.022981694663743737,3,rt
59,-0.03386172286837624,3,rt
60,-0.024819739134939563,3,rt
61,0.003431636300274779,3,rt
62,0.005488322451572417,3,rt
63,-0.005290558109612388,3,rt
64,-0.01227140391930857,3,rt
65,-0.0013624519728196501,3,rt
66,0.018661261041252077,3,rt
67,0.006564806176237413,3,rt
68,0.002383327902461382,3,rt
69,-0.0012353568900461643,3,rt
70,-0.0047492899931666065,3,rt
71,-0.0009320607771567272,3,rt
72,-0.008782823417086274,3,rt
73,-0.014576042831157713,3,rt
74,-0.004412467434273209,3,rt
75,-0.010809632887650824,3,rt
76,-0.02784761403717633,3,rt
77,-0.03736914732043646,3,rt
78,-0.031465884903662464,3,rt
79,-0.027038388436745924,3,rt
80,-0.041106366529942366,3,rt
81,-0.03909128047557892,3,rt
82,-0.0460082544027574,3,rt
83,-0.05444496382348517,3,rt
84,-0.05226230882459598,3,rt
85,-0.053450285802842355,3,rt
86,-0.05086027609441629,3,rt
87,-0.0434757417494125,3,rt
88,-0.04612369206360395,3,rt
89,-0.028188220845298855,3,rt
90,-0.03015766867452195,3,rt
91,-0.031684127362582505,3,rt
92,-0.028630765504338122,3,rt
93,-0.035245768057247544,3,rt
94,-0.03863199292318055,3,rt
95,-0.034105097225613175,3,rt
96,-0.02790299499131549,3,rt
97,-0.0074768001128632,3,rt
98,-0.009888152142119112,3,rt
99,0.00819660487975753,3,rt
100,0.013055466882637656,3,rt
1,0.002819067606856706,4,rt
2,0.002470325361198087,4,rt
3,0.009624935121579858,4,rt
4,0.009648168851393924,4,rt
5,0.015149316339318396,4,rt
6,0.001876916619156236,4,rt
7,0.0008510058089937465,4,rt
8,-0.00724155706355338,4,rt
9,-0.001440659789139008,4,rt
10,-0.015012264715179965,4,rt
11,0.007621450042250261,4,rt
12,0.004414921832343084,4,rt
13,0.01907766104478517,4,rt
14,0.030736705279426055,4,rt
15,0.047592858303753746,4,rt
16,0.034920320274346564,4,rt
17,0.027677868960280277,4,rt
18,0.025320853645174488,4,rt
19,0.027184561392205646,4,rt
20,0.01732118121516942,4,rt
21,0.014518417548870542,4,rt
22,0.0012937042868445651,4,rt
23,-0.0009913692249298254,4,rt
24,0.008140312756235904,4,rt
25,-0.003962050333402323,4,rt
26,-0.004814400435480214,4,rt
27,-0.0069882577042626815,4,rt
28,0.0007147823508206023,4,rt
29,-0.008107030538605377,4,rt
30,-0.012539120648628508,4,rt
31,-0.023161208711930233,4,rt
32,-0.027017589825996856,4,rt
33,-0.02975124580534362,4,rt
34,-0.015685361442429498,4,rt
35,-0.02018745045354615,4,rt
36,-0.014184307746413017,4,rt
37,-0.012826727590592663,4,rt
38,-0.023367635083692526,4,rt
39,-0.011541686208759342,4,rt
