variable,mean,median,sd,lower,upper,rhat,ess_bulk,t,days,t_approximation,iter,simulation,method,fitAttempts,TrueValue
ell,8.225432922,3.46759,9.609110973,0.18085475,31.8765,1.010689311,310.7854005,NA,NA,NA,1,Steyn,Abbott,2,NA
alpha,0.082299544,0.0653739,0.054598236,0.024739403,0.218311075,1.008462802,422.843093,NA,NA,NA,1,Steyn,Abbott,2,NA
rho,0.000135685,0.000131379,5.44E-05,4.24E-05,0.000263956,1.004661696,646.0800977,NA,NA,NA,1,Steyn,Abbott,2,NA
init_inc,-6.276429167,-6.3264,0.861042919,-7.843789,-4.45204775,1.001514409,652.5062976,NA,NA,NA,1,Steyn,Abbott,2,NA
init_growth,-0.026884055,-0.0275612,0.238657649,-0.490628,0.460267475,1.001149006,1082.418225,NA,NA,NA,1,Steyn,Abbott,2,NA
It,0.001111189,0.001105615,0.000129915,0.000869499,0.001373915,1.000671141,1086.159679,1,NA,NA,1,Steyn,Abbott,2,NA
It,0.00111727,0.001112525,0.000125938,0.000874424,0.00137222,1.002652394,1092.206667,2,NA,NA,1,Steyn,Abbott,2,NA
It,0.00112735,0.001125545,0.0001229,0.000896357,0.001376595,1.003304843,1105.543966,3,NA,NA,1,Steyn,Abbott,2,NA
It,0.001140989,0.001135495,0.000121425,0.000925164,0.001386962,1.003439567,1097.433307,4,NA,NA,1,Steyn,Abbott,2,NA
It,0.001157782,0.001152515,0.000121556,0.000942698,0.00141085,1.000744367,1122.084128,5,NA,NA,1,Steyn,Abbott,2,NA
It,0.001177552,0.001174065,0.000122898,0.000951674,0.001437814,1.00135803,1069.188621,6,NA,NA,1,Steyn,Abbott,2,NA
It,0.001200514,0.001200925,0.000125029,0.000976733,0.001455629,1.002168332,1067.182687,7,NA,NA,1,Steyn,Abbott,2,NA
It,0.001227364,0.001225485,0.000127749,0.00098962,0.001478011,1.003183888,1069.632695,8,NA,NA,1,Steyn,Abbott,2,NA
It,0.001259254,0.001252015,0.000130964,0.001015776,0.001519451,1.003874039,1051.368289,9,NA,NA,1,Steyn,Abbott,2,NA
It,0.001297684,0.00129014,0.000134488,0.001041439,0.001577289,1.004288607,1039.633899,10,NA,NA,1,Steyn,Abbott,2,NA
It,0.001344334,0.001336505,0.000138076,0.001085156,0.001623595,1.004129156,934.1201925,11,NA,NA,1,Steyn,Abbott,2,NA
It,0.001400869,0.00139765,0.000141637,0.001120591,0.001679206,1.00386409,885.0884118,12,NA,NA,1,Steyn,Abbott,2,NA
It,0.001468724,0.00146479,0.000145418,0.001180923,0.001758124,1.003075939,879.0660812,13,NA,NA,1,Steyn,Abbott,2,NA
It,0.001548872,0.001550225,0.000149942,0.001250957,0.001845711,1.002107484,913.3975942,14,NA,NA,1,Steyn,Abbott,2,NA
It,0.001641583,0.001642325,0.000155751,0.00133005,0.001948269,1.00265871,1066.555185,15,NA,NA,1,Steyn,Abbott,2,NA
It,0.001746226,0.00174424,0.000163125,0.001402428,0.002063802,1.003494897,1179.654171,16,NA,NA,1,Steyn,Abbott,2,NA
It,0.001861157,0.001856245,0.000171913,0.001513839,0.002213629,1.001457334,1213.645568,17,NA,NA,1,Steyn,Abbott,2,NA
It,0.001983758,0.001980905,0.000181447,0.001636103,0.002362538,0.999345366,1204.013463,18,NA,NA,1,Steyn,Abbott,2,NA
It,0.002110675,0.00210569,0.000190624,0.001758293,0.002500631,0.998584976,1168.858934,19,NA,NA,1,Steyn,Abbott,2,NA
It,0.002238249,0.00222588,0.000198321,0.001882989,0.002651492,0.997851912,1104.788094,20,NA,NA,1,Steyn,Abbott,2,NA
It,0.002363015,0.00234705,0.000204131,0.001997169,0.002786996,0.998574579,1028.075503,21,NA,NA,1,Steyn,Abbott,2,NA
It,0.002482135,0.002466065,0.000208918,0.002102088,0.002920797,0.998322254,991.2003867,22,NA,NA,1,Steyn,Abbott,2,NA
It,0.002593561,0.00258578,0.000214491,0.002208587,0.003036941,0.99867999,1016.63682,23,NA,NA,1,Steyn,Abbott,2,NA
It,0.002695911,0.002683965,0.000222298,0.002298343,0.003148147,0.998783263,1081.076956,24,NA,NA,1,Steyn,Abbott,2,NA
It,0.002788111,0.002769625,0.000232053,0.002377035,0.003252565,0.99932278,1097.655033,25,NA,NA,1,Steyn,Abbott,2,NA
It,0.002868982,0.00284182,0.000241581,0.002446151,0.003358651,0.999820203,1137.580635,26,NA,NA,1,Steyn,Abbott,2,NA
It,0.00293694,0.002904975,0.000248145,0.002518192,0.00345488,1.001032058,1042.354277,27,NA,NA,1,Steyn,Abbott,2,NA
It,0.002989885,0.0029703,0.000250157,0.002579917,0.00349982,1.001450632,978.6673885,28,NA,NA,1,Steyn,Abbott,2,NA
It,0.003025357,0.003004235,0.000248079,0.002605748,0.003544063,1.000986414,850.0401804,29,NA,NA,1,Steyn,Abbott,2,NA
It,0.003040901,0.003024135,0.000243925,0.002598225,0.003558001,1.001471489,760.4438138,30,NA,NA,1,Steyn,Abbott,2,NA
It,0.00303465,0.003022945,0.00023965,0.002593795,0.003541932,1.001979397,750.6619182,31,NA,NA,1,Steyn,Abbott,2,NA
It,0.003006018,0.00299609,0.000235729,0.002584069,0.003524397,1.001811613,888.9786134,32,NA,NA,1,Steyn,Abbott,2,NA
It,0.002956348,0.002948,0.000231364,0.002515482,0.003436644,1.00113237,1035.043185,33,NA,NA,1,Steyn,Abbott,2,NA
It,0.002889256,0.00287853,0.000226176,0.002441466,0.003321822,1.000275114,1166.802007,34,NA,NA,1,Steyn,Abbott,2,NA
It,0.002810435,0.00281011,0.000221521,0.002373103,0.003241009,0.999805843,1266.498974,35,NA,NA,1,Steyn,Abbott,2,NA
It,0.002726882,0.00273077,0.0002198,0.002290232,0.003141191,1.000185654,1113.762491,36,NA,NA,1,Steyn,Abbott,2,NA
It,0.002645779,0.002652775,0.000222227,0.002201489,0.00305009,1.001237807,927.3000908,37,NA,NA,1,Steyn,Abbott,2,NA
It,0.002573396,0.00257501,0.000227397,0.002112515,0.002991371,1.002119923,788.1677658,38,NA,NA,1,Steyn,Abbott,2,NA
It,0.002514317,0.00251878,0.000232124,0.002037592,0.00294731,1.002887968,722.6985497,39,NA,NA,1,Steyn,Abbott,2,NA
It,0.002471078,0.00247635,0.000233294,0.001998407,0.002906242,1.002656739,725.5174331,40,NA,NA,1,Steyn,Abbott,2,NA
It,0.002444123,0.00245104,0.000229182,0.001966257,0.002874076,1.001839643,770.3481474,41,NA,NA,1,Steyn,Abbott,2,NA
It,0.002431924,0.002440405,0.000220095,0.001983322,0.002853131,1.000854445,848.3061233,42,NA,NA,1,Steyn,Abbott,2,NA
It,0.002431145,0.00242941,0.000208758,0.002031413,0.002847056,0.999527384,941.5118935,43,NA,NA,1,Steyn,Abbott,2,NA
It,0.002436858,0.00242922,0.00020005,0.002062182,0.002859477,0.998680933,976.3739603,44,NA,NA,1,Steyn,Abbott,2,NA
It,0.002442897,0.0024367,0.000198707,0.002088706,0.002871387,1.003067015,1055.643148,45,NA,NA,1,Steyn,Abbott,2,NA
It,0.002442536,0.00242736,0.000205118,0.002103931,0.002914369,1.003660278,920.7368309,46,NA,NA,1,Steyn,Abbott,2,NA
It,0.002429553,0.00241443,0.000213893,0.002072978,0.002915583,1.002927584,846.4558069,47,NA,NA,1,Steyn,Abbott,2,NA
It,0.002399551,0.00237849,0.000217842,0.002049989,0.002859315,1.00217205,820.3390681,48,NA,NA,1,Steyn,Abbott,2,NA
It,0.002351064,0.00232466,0.00021288,0.002004662,0.00280858,1.00144863,842.9274942,49,NA,NA,1,Steyn,Abbott,2,NA
It,0.002285937,0.002265265,0.000200072,0.001958255,0.002730357,1.001385026,922.157081,50,NA,NA,1,Steyn,Abbott,2,NA
It,0.002208736,0.002199775,0.00018459,0.001906183,0.002624518,1.001288727,1072.126616,51,NA,NA,1,Steyn,Abbott,2,NA
It,0.002125448,0.002115175,0.000172524,0.001816297,0.002489429,1.000993392,1188.361071,52,NA,NA,1,Steyn,Abbott,2,NA
It,0.002042042,0.00203419,0.000167108,0.001727782,0.002404459,1.000649398,1187.453807,53,NA,NA,1,Steyn,Abbott,2,NA
It,0.001963383,0.001957085,0.000167152,0.00163634,0.002298188,1.002438036,1118.796624,54,NA,NA,1,Steyn,Abbott,2,NA
It,0.001892699,0.00189409,0.000169019,0.001553019,0.002222898,1.005125825,1049.217707,55,NA,NA,1,Steyn,Abbott,2,NA
It,0.001831495,0.001836455,0.000169549,0.001482539,0.002171072,1.002823237,1030.207146,56,NA,NA,1,Steyn,Abbott,2,NA
It,0.001779744,0.001784125,0.000167402,0.001449573,0.00210749,1.002538205,1066.579213,57,NA,NA,1,Steyn,Abbott,2,NA
It,0.001736168,0.00174274,0.000162943,0.001400031,0.002053546,1.001475441,1134.555842,58,NA,NA,1,Steyn,Abbott,2,NA
It,0.001698557,0.001699055,0.000157462,0.001355826,0.001992888,1.001222502,1183.788677,59,NA,NA,1,Steyn,Abbott,2,NA
It,0.001664126,0.00166244,0.000152214,0.001353499,0.001964583,1.000827781,1201.853821,60,NA,NA,1,Steyn,Abbott,2,NA
It,0.001629928,0.001625975,0.000147754,0.001343268,0.001952276,0.999816917,1172.744917,61,NA,NA,1,Steyn,Abbott,2,NA
It,0.001593329,0.00158875,0.000143954,0.001314407,0.001903036,0.999018929,1084.942969,62,NA,NA,1,Steyn,Abbott,2,NA
It,0.001552434,0.00154245,0.000140537,0.001301386,0.001861718,0.999587296,1009.106451,63,NA,NA,1,Steyn,Abbott,2,NA
It,0.001506357,0.00149873,0.000137502,0.001266207,0.00180885,1.001762738,969.4025114,64,NA,NA,1,Steyn,Abbott,2,NA
It,0.001455239,0.00145119,0.000135019,0.001215423,0.001744889,1.002614514,1036.31748,65,NA,NA,1,Steyn,Abbott,2,NA
It,0.00140004,0.00139117,0.000132995,0.001161604,0.001696349,0.999983518,1013.487733,66,NA,NA,1,Steyn,Abbott,2,NA
It,0.001342191,0.001335,0.000130885,0.001101747,0.001639308,1.002948754,1011.460878,67,NA,NA,1,Steyn,Abbott,2,NA
It,0.001283239,0.001270835,0.000128055,0.001049428,0.001567079,1.001245391,1039.226482,68,NA,NA,1,Steyn,Abbott,2,NA
It,0.001224569,0.00121747,0.00012428,0.000992569,0.001480849,1.002296869,1073.793209,69,NA,NA,1,Steyn,Abbott,2,NA
It,0.00116722,0.00116103,0.000119798,0.000946143,0.001433354,1.004118085,1150.785362,70,NA,NA,1,Steyn,Abbott,2,NA
It,0.001111824,0.001105305,0.000114957,0.000898825,0.001358523,1.002317432,1234.960982,71,NA,NA,1,Steyn,Abbott,2,NA
It,0.001058635,0.00105184,0.00010995,0.000841525,0.001278373,1.000398322,1288.711796,72,NA,NA,1,Steyn,Abbott,2,NA
It,0.001007647,0.00100389,0.000104902,0.000795476,0.001208166,0.999720746,1251.411047,73,NA,NA,1,Steyn,Abbott,2,NA
It,0.00095875,0.000956478,0.000100063,0.000756595,0.00116082,1.00147613,1204.015054,74,NA,NA,1,Steyn,Abbott,2,NA
It,0.000911877,0.000908067,9.58E-05,0.000723543,0.001109967,1.003192072,1202.740083,75,NA,NA,1,Steyn,Abbott,2,NA
It,0.000867102,0.000861343,9.25E-05,0.000685419,0.001047153,1.004156761,1137.317361,76,NA,NA,1,Steyn,Abbott,2,NA
It,0.000824673,0.000820762,9.02E-05,0.000645896,0.001002126,1.004751991,1093.870733,77,NA,NA,1,Steyn,Abbott,2,NA
It,0.000784988,0.000782558,8.86E-05,0.00061729,0.000966077,1.004117649,1185.268165,78,NA,NA,1,Steyn,Abbott,2,NA
It,0.000748533,0.000747839,8.74E-05,0.000581096,0.000934012,1.003709566,1345.933403,79,NA,NA,1,Steyn,Abbott,2,NA
It,0.000715809,0.000712306,8.61E-05,0.000544429,0.000890607,1.00326955,1526.913976,80,NA,NA,1,Steyn,Abbott,2,NA
It,0.000687267,0.000683628,8.46E-05,0.000518702,0.000862707,1.002588692,1453.054608,81,NA,NA,1,Steyn,Abbott,2,NA
It,0.000663257,0.000660976,8.30E-05,0.000505176,0.000839839,1.002133128,1328.526925,82,NA,NA,1,Steyn,Abbott,2,NA
It,0.000643984,0.000640978,8.16E-05,0.000487979,0.000814416,1.00173897,1195.652772,83,NA,NA,1,Steyn,Abbott,2,NA
It,0.000629482,0.000625874,8.06E-05,0.000472669,0.000793725,1.001399353,1012.577722,84,NA,NA,1,Steyn,Abbott,2,NA
It,0.000619605,0.00061672,8.00E-05,0.000466046,0.000786372,1.000381751,933.963982,85,NA,NA,1,Steyn,Abbott,2,NA
It,0.000614043,0.000611116,7.99E-05,0.000461824,0.000785623,0.999806592,952.3999009,86,NA,NA,1,Steyn,Abbott,2,NA
It,0.000612363,0.00060946,8.02E-05,0.000456303,0.000782872,0.999410514,934.2988301,87,NA,NA,1,Steyn,Abbott,2,NA
It,0.00061406,0.000607324,8.11E-05,0.000462112,0.000784445,0.999716392,946.6950984,88,NA,NA,1,Steyn,Abbott,2,NA
It,0.000618601,0.000613415,8.28E-05,0.000467234,0.000795259,1.000324125,971.2002648,89,NA,NA,1,Steyn,Abbott,2,NA
It,0.000625475,0.000620011,8.61E-05,0.000471778,0.000808781,1.00078299,1008.477886,90,NA,NA,1,Steyn,Abbott,2,NA
It,0.000634212,0.000629769,9.14E-05,0.000471119,0.000814856,1.001499308,1005.561724,91,NA,NA,1,Steyn,Abbott,2,NA
It,0.000644394,0.000638448,9.97E-05,0.00046869,0.000845678,1.003607333,1014.570479,92,NA,NA,1,Steyn,Abbott,2,NA
It,0.000655644,0.000645939,0.000111165,0.000462185,0.000870742,1.002645781,1020.997731,93,NA,NA,1,Steyn,Abbott,2,NA
It,0.000667624,0.000655047,0.000125971,0.000453441,0.000925012,1.00139583,1033.015362,94,NA,NA,1,Steyn,Abbott,2,NA
It,0.000680039,0.000663271,0.000143944,0.000437702,0.000983729,1.002266025,1061.547234,95,NA,NA,1,Steyn,Abbott,2,NA
It,0.000692664,0.000672439,0.000164945,0.000430752,0.001066613,1.002936403,1087.82199,96,NA,NA,1,Steyn,Abbott,2,NA
It,0.000705347,0.00067695,0.000188867,0.000418681,0.001138009,1.003672162,1095.36681,97,NA,NA,1,Steyn,Abbott,2,NA
It,0.000717991,0.00067725,0.000215452,0.000404862,0.001236739,1.004174959,1133.063005,98,NA,NA,1,Steyn,Abbott,2,NA
It,0.000730508,0.000679787,0.000244135,0.00039127,0.001339595,1.004634727,1167.024211,99,NA,NA,1,Steyn,Abbott,2,NA
It,0.000742781,0.000678886,0.000274137,0.000380125,0.001435313,1.004493302,1185.937377,100,NA,NA,1,Steyn,Abbott,2,NA
Pt,0.010736368,0.010689,0.000970643,0.009034152,0.012766173,1.00034792,1100.266257,1,NA,NA,1,Steyn,Abbott,2,0.010083285
Pt,0.010591812,0.0105399,0.000823109,0.009150147,0.01224097,1.000698927,1102.935195,2,NA,NA,1,Steyn,Abbott,2,0.010134913
Pt,0.010462023,0.01041625,0.000710694,0.009210877,0.011896018,1.000801356,1066.822919,3,NA,NA,1,Steyn,Abbott,2,0.010020311
Pt,0.01034967,0.0102965,0.000632753,0.009213249,0.01159657,1.003215222,998.7919591,4,NA,NA,1,Steyn,Abbott,2,0.010114883
Pt,0.01025694,0.0102308,0.000584758,0.009171238,0.011395633,1.004011557,929.8742486,5,NA,NA,1,Steyn,Abbott,2,0.010098962
Pt,0.010185761,0.0101746,0.000559191,0.009137559,0.011280175,0.999935745,913.0719546,6,NA,NA,1,Steyn,Abbott,2,0.010045268
Pt,0.010137444,0.0101337,0.000547917,0.00907562,0.01120479,0.998757073,896.0177099,7,NA,NA,1,Steyn,Abbott,2,0.010040157
Pt,0.01011296,0.0101044,0.000544492,0.00905167,0.011228105,0.998536207,895.1906459,8,NA,NA,1,Steyn,Abbott,2,0.010019931
