t,mean,lower,upper,variable,iter,simulation,method,fitAttempts,TrueValue
1,0.010413992,0.008443647,0.012607919,Pt,1,Steyn,Eales,1,0.010083285
2,0.010328219,0.00866365,0.012134958,Pt,1,Steyn,Eales,1,0.010134913
3,0.010251161,0.008801555,0.011845011,Pt,1,Steyn,Eales,1,0.010020311
4,0.010185744,0.008939209,0.011652386,Pt,1,Steyn,Eales,1,0.010114883
5,0.010134839,0.009019694,0.011466106,Pt,1,Steyn,Eales,1,0.010098962
6,0.010101256,0.009050281,0.01139354,Pt,1,Steyn,Eales,1,0.010045268
7,0.01008757,0.009070845,0.011277119,Pt,1,Steyn,Eales,1,0.010040157
8,0.010095453,0.009080764,0.011216563,Pt,1,Steyn,Eales,1,0.010019931
9,0.010126581,0.009092392,0.011221359,Pt,1,Steyn,Eales,1,0.010149948
10,0.010182754,0.009165089,0.01125495,Pt,1,Steyn,Eales,1,0.01026022
11,0.010265916,0.009248358,0.011332597,Pt,1,Steyn,Eales,1,0.010482069
12,0.010378505,0.00935948,0.011380065,Pt,1,Steyn,Eales,1,0.010679788
13,0.010523995,0.009518485,0.011506163,Pt,1,Steyn,Eales,1,0.010704962
14,0.010706336,0.009659458,0.011747132,Pt,1,Steyn,Eales,1,0.010991025
15,0.010929798,0.009867581,0.011986159,Pt,1,Steyn,Eales,1,0.01126421
16,0.01119909,0.010081605,0.012260054,Pt,1,Steyn,Eales,1,0.011589373
17,0.01151844,0.010408983,0.01260208,Pt,1,Steyn,Eales,1,0.011856383
18,0.011889688,0.010790934,0.012998621,Pt,1,Steyn,Eales,1,0.012113969
19,0.012314542,0.011187871,0.013454002,Pt,1,Steyn,Eales,1,0.012484971
20,0.012794845,0.011596478,0.013923051,Pt,1,Steyn,Eales,1,0.012807038
21,0.01333249,0.012115486,0.014483626,Pt,1,Steyn,Eales,1,0.013287048
22,0.013927927,0.012708119,0.015102337,Pt,1,Steyn,Eales,1,0.013957398
23,0.014577806,0.013360282,0.015758543,Pt,1,Steyn,Eales,1,0.014697473
24,0.015277161,0.013995785,0.016517575,Pt,1,Steyn,Eales,1,0.015670213
25,0.016019397,0.014682692,0.017338032,Pt,1,Steyn,Eales,1,0.016501571
26,0.016796007,0.015438863,0.018190766,Pt,1,Steyn,Eales,1,0.017490677
27,0.017597069,0.016175684,0.018922685,Pt,1,Steyn,Eales,1,0.018580889
28,0.018411809,0.017017635,0.019818861,Pt,1,Steyn,Eales,1,0.019830279
29,0.019227461,0.017740392,0.020749776,Pt,1,Steyn,Eales,1,0.021016292
30,0.020028915,0.018445039,0.021601827,Pt,1,Steyn,Eales,1,0.021882075
31,0.020798838,0.019148537,0.02239533,Pt,1,Steyn,Eales,1,0.023080303
32,0.021520591,0.019854764,0.023164753,Pt,1,Steyn,Eales,1,0.024315402
33,0.022180848,0.020516579,0.023866112,Pt,1,Steyn,Eales,1,0.025228908
34,0.022766254,0.021109871,0.024505709,Pt,1,Steyn,Eales,1,0.025667625
35,0.023263136,0.021653417,0.025054411,Pt,1,Steyn,Eales,1,0.025792218
36,0.023658026,0.02199687,0.025506775,Pt,1,Steyn,Eales,1,0.025897122
37,0.023944317,0.022293184,0.025707831,Pt,1,Steyn,Eales,1,0.026210677
38,0.024125952,0.022489038,0.025868926,Pt,1,Steyn,Eales,1,0.026086265
39,0.024209099,0.02255251,0.025923716,Pt,1,Steyn,Eales,1,0.026112763
40,0.024200945,0.022492913,0.025855487,Pt,1,Steyn,Eales,1,0.025931208
41,0.024109649,0.022378331,0.025744049,Pt,1,Steyn,Eales,1,0.025442224
42,0.02394959,0.022238167,0.02553329,Pt,1,Steyn,Eales,1,0.024919381
43,0.023742411,0.022040108,0.025317729,Pt,1,Steyn,Eales,1,0.02434426
44,0.023509563,0.021877944,0.025048301,Pt,1,Steyn,Eales,1,0.023636285
45,0.023271398,0.021631022,0.02482964,Pt,1,Steyn,Eales,1,0.022957031
46,0.023046824,0.021345694,0.024633823,Pt,1,Steyn,Eales,1,0.022228191
47,0.022841593,0.021152888,0.024467626,Pt,1,Steyn,Eales,1,0.021756774
48,0.02264722,0.021017069,0.02423225,Pt,1,Steyn,Eales,1,0.021481613
49,0.022454541,0.020883327,0.024054689,Pt,1,Steyn,Eales,1,0.021195798
50,0.022254293,0.020691795,0.023947262,Pt,1,Steyn,Eales,1,0.020905717
51,0.022037361,0.020457537,0.023630311,Pt,1,Steyn,Eales,1,0.020503721
52,0.021797282,0.020271096,0.023395024,Pt,1,Steyn,Eales,1,0.020412463
53,0.021530208,0.01993411,0.023197884,Pt,1,Steyn,Eales,1,0.020418496
54,0.021232428,0.019643573,0.022885414,Pt,1,Steyn,Eales,1,0.020317008
55,0.020900223,0.019294546,0.022521771,Pt,1,Steyn,Eales,1,0.020277127
56,0.020530475,0.018980614,0.022179942,Pt,1,Steyn,Eales,1,0.019984275
57,0.020126988,0.018577178,0.021699564,Pt,1,Steyn,Eales,1,0.019782074
58,0.019699078,0.018215055,0.021295911,Pt,1,Steyn,Eales,1,0.019446315
59,0.019255493,0.017794062,0.020837536,Pt,1,Steyn,Eales,1,0.019015744
60,0.018804029,0.017393803,0.020368772,Pt,1,Steyn,Eales,1,0.018609017
61,0.01835147,0.016955191,0.019872026,Pt,1,Steyn,Eales,1,0.018319167
62,0.017901318,0.016542248,0.019326599,Pt,1,Steyn,Eales,1,0.018164427
63,0.017454755,0.016130304,0.018803399,Pt,1,Steyn,Eales,1,0.017900546
64,0.017012646,0.015683679,0.018346011,Pt,1,Steyn,Eales,1,0.017539513
65,0.01657553,0.015259634,0.017875384,Pt,1,Steyn,Eales,1,0.017200861
66,0.016143645,0.014858572,0.017433267,Pt,1,Steyn,Eales,1,0.016715247
67,0.015715521,0.014458001,0.016929873,Pt,1,Steyn,Eales,1,0.016309121
68,0.015288673,0.014058309,0.01648857,Pt,1,Steyn,Eales,1,0.016027291
69,0.014860648,0.013601965,0.01604568,Pt,1,Steyn,Eales,1,0.015826737
70,0.014429019,0.013177068,0.015650606,Pt,1,Steyn,Eales,1,0.015387473
71,0.01399177,0.01282101,0.015173708,Pt,1,Steyn,Eales,1,0.015011047
72,0.013549121,0.012405548,0.014690048,Pt,1,Steyn,Eales,1,0.014455791
73,0.013102443,0.011918747,0.014231044,Pt,1,Steyn,Eales,1,0.013863175
74,0.012652894,0.011489458,0.013786944,Pt,1,Steyn,Eales,1,0.013323868
75,0.012201383,0.011082545,0.013319968,Pt,1,Steyn,Eales,1,0.012712038
76,0.011748892,0.010702818,0.012843505,Pt,1,Steyn,Eales,1,0.012058454
77,0.011297796,0.010305495,0.012332745,Pt,1,Steyn,Eales,1,0.011448415
78,0.010850919,0.009888708,0.011847347,Pt,1,Steyn,Eales,1,0.010995422
79,0.010410621,0.009467533,0.011397691,Pt,1,Steyn,Eales,1,0.010500425
80,0.009978776,0.00908727,0.010965538,Pt,1,Steyn,Eales,1,0.009965934
81,0.009557197,0.008701164,0.010526083,Pt,1,Steyn,Eales,1,0.009326939
82,0.009149449,0.008273615,0.010085996,Pt,1,Steyn,Eales,1,0.008762215
83,0.008759329,0.00791766,0.009690697,Pt,1,Steyn,Eales,1,0.008218465
84,0.008389813,0.007555298,0.009271938,Pt,1,Steyn,Eales,1,0.007624202
85,0.008043149,0.007224683,0.008893928,Pt,1,Steyn,Eales,1,0.007141124
86,0.007720949,0.006905308,0.008499794,Pt,1,Steyn,Eales,1,0.006759889
87,0.007423812,0.00661945,0.00815699,Pt,1,Steyn,Eales,1,0.006402798
88,0.00715187,0.00633042,0.007865534,Pt,1,Steyn,Eales,1,0.006174147
89,0.006905051,0.006107618,0.007641536,Pt,1,Steyn,Eales,1,0.005997209
90,0.006683139,0.005928077,0.007416397,Pt,1,Steyn,Eales,1,0.005816837
91,0.006485678,0.005730678,0.007215929,Pt,1,Steyn,Eales,1,0.005657253
92,0.00631113,0.005538825,0.007074892,Pt,1,Steyn,Eales,1,0.005502828
93,0.006157775,0.005383265,0.006904095,Pt,1,Steyn,Eales,1,0.005366064
94,0.006024072,0.005253097,0.006786183,Pt,1,Steyn,Eales,1,0.005314572
95,0.005908667,0.005117458,0.006717417,Pt,1,Steyn,Eales,1,0.005220477
96,0.005810241,0.005008862,0.006674824,Pt,1,Steyn,Eales,1,0.005115142
97,0.005726714,0.004820708,0.006718498,Pt,1,Steyn,Eales,1,0.004997322
98,0.005655953,0.00469706,0.006771274,Pt,1,Steyn,Eales,1,0.004896277
99,0.00559597,0.004545813,0.006908228,Pt,1,Steyn,Eales,1,0.004808466
100,0.005544893,0.004351523,0.006983726,Pt,1,Steyn,Eales,1,0.004711787
1,NA,NA,NA,rt,1,Steyn,Eales,1,0.00829405
2,-0.006873212,-0.046390652,0.033757426,rt,1,Steyn,Eales,1,0.005107071
3,-0.006512339,-0.041979713,0.029751754,rt,1,Steyn,Eales,1,-0.011372081
4,-0.005763469,-0.037784167,0.027500446,rt,1,Steyn,Eales,1,0.009393748
5,-0.004626513,-0.03293733,0.025118451,rt,1,Steyn,Eales,1,-0.001575279
6,-0.003101445,-0.028570196,0.023114935,rt,1,Steyn,Eales,1,-0.00533088
7,-0.001229352,-0.023429495,0.022298088,rt,1,Steyn,Eales,1,-0.000508926
8,0.000848584,-0.021829268,0.022202933,rt,1,Steyn,Eales,1,-0.002016545
9,0.003101859,-0.018946421,0.022347684,rt,1,Steyn,Eales,1,0.012892312
10,0.00553036,-0.015036601,0.023448789,rt,1,Steyn,Eales,1,0.010805741
11,0.008133929,-0.010092233,0.024139105,rt,1,Steyn,Eales,1,0.021391798
12,0.010924326,-0.006273001,0.026602879,rt,1,Steyn,Eales,1,0.018686882
13,0.013937149,-0.00449686,0.031340268,rt,1,Steyn,Eales,1,0.002354355
14,0.017178726,-0.002769073,0.034535942,rt,1,Steyn,Eales,1,0.026371733
15,0.020648713,0.002521474,0.036727771,rt,1,Steyn,Eales,1,0.024551376
16,0.024346323,0.008613278,0.039546277,rt,1,Steyn,Eales,1,0.0284581
17,0.028154059,0.012128621,0.044219631,rt,1,Steyn,Eales,1,0.022777824
18,0.031771338,0.015343693,0.048722272,rt,1,Steyn,Eales,1,0.02149285
