param,m,l,u,rhat,ess,model,simulation,iter
sigma,0.009865132094637089,0.004755543929653978,0.016467854826583403,1.0280065810940617,99.05152715648721,Steyn,Steyn,1
rho,0.000144819626569167,5.3460130826432844e-5,0.0002644802272656001,1.0374842361327796,106.14542968334233,Steyn,Steyn,1
sigma,0.009457540556140589,0.0030518193426506968,0.022627426841849207,1.0210097773323141,111.87190286351033,Steyn,Steyn,2
rho,0.00011207603402419561,2.5382431232944436e-5,0.00021967065516021182,1.0299642173100945,167.25253889597153,Steyn,Steyn,2
sigma,0.0050739663792966384,0.0014052409348609893,0.012272805458132696,1.0434523498375465,93.64020268222676,Steyn,Steyn,3
rho,0.00017338398724015658,6.499726202328889e-5,0.0003105867938975425,1.0247613868600036,103.78980039706595,Steyn,Steyn,3
sigma,0.010613528602044814,0.005519144174851075,0.020924338840874954,1.0361741938970987,105.40233053758602,Steyn,Steyn,4
rho,0.00025368421352996054,0.0001386350222785036,0.0004728295738205928,1.0093832817100847,98.79620918453621,Steyn,Steyn,4
sigma,0.00717216525484976,0.002622143846370801,0.017702819388756372,1.0265166373310302,166.1918237377902,Steyn,Steyn,5
rho,0.0003251900562282432,0.00019008562724409596,0.00048288227451723454,1.0369208736894404,104.98366720043835,Steyn,Steyn,5
sigma,0.01551679187997757,0.008605905572056248,0.02629287736664068,1.0277134633050333,106.86111479484278,Steyn,Steyn,6
rho,0.0002541878858165539,0.00013802471028420872,0.00039814559713392567,1.0127316976422582,113.08771587683441,Steyn,Steyn,6
sigma,0.012106832125065223,0.004605581149101593,0.0231073883188894,1.009158576489079,118.32263410913615,Steyn,Steyn,7
rho,0.0001435265054395153,5.493477979739198e-5,0.0002774557081848229,1.0273683760189147,123.6114147408432,Steyn,Steyn,7
sigma,0.008430740250242543,0.004656544414221447,0.014045785136748765,1.0226958875483396,161.58173662244056,Steyn,Steyn,8
rho,0.0003145142664302771,0.00018364231857924732,0.000511609245690077,1.0236003658121915,103.7676860573039,Steyn,Steyn,8
sigma,0.010419043784613106,0.005024663039001433,0.020486675721503745,1.004696066100146,169.7597036449835,Steyn,Steyn,9
rho,0.00015707111420955284,6.23338929877472e-5,0.0002943813948339577,1.01032103076526,130.19206975698302,Steyn,Steyn,9
sigma,0.00694856262485926,0.0032950311251671426,0.01232164475687987,1.0046449684635541,147.86870438994913,Steyn,Steyn,10
rho,0.0002441313104830205,0.0001245237250923535,0.000397650313576344,1.0120485638678915,107.85686404535147,Steyn,Steyn,10
sigma,0.025482555195967895,0.015219507548091309,0.03860522151012752,1.0106739826197397,145.47877078286206,Steyn,Abbott,1
rho,0.000231748061385569,0.00010553438592811906,0.0003693831814440178,1.0170127294053866,102.73001902381169,Steyn,Abbott,1
sigma,0.02414012866261766,0.012189131823131609,0.04658224359669863,1.0120232432390082,132.33605785324724,Steyn,Abbott,2
