t,mean,lower,upper,variable,model,simulation,iter
1,-0.006431889,-0.061757937,0.047309713,rt,Steyn,Steyn,1
2,-0.006264929,-0.053300032,0.040916936,rt,Steyn,Steyn,1
3,-0.005939612,-0.049373753,0.035789219,rt,Steyn,Steyn,1
4,-0.006150657,-0.041703565,0.028180014,rt,Steyn,Steyn,1
5,-0.005531683,-0.036431522,0.026711813,rt,Steyn,Steyn,1
6,-0.003246094,-0.035346406,0.026729084,rt,Steyn,Steyn,1
7,-0.000822296,-0.030019617,0.026763672,rt,Steyn,Steyn,1
8,0.002002964,-0.025699068,0.031187744,rt,Steyn,Steyn,1
9,0.005260127,-0.022476571,0.030484836,rt,Steyn,Steyn,1
10,0.007780269,-0.020292566,0.035113162,rt,Steyn,Steyn,1
11,0.009660745,-0.015857733,0.035143798,rt,Steyn,Steyn,1
12,0.011837697,-0.011973785,0.038206885,rt,Steyn,Steyn,1
13,0.013499682,-0.013448894,0.038067837,rt,Steyn,Steyn,1
14,0.01546305,-0.007455006,0.03862067,rt,Steyn,Steyn,1
15,0.018009326,-0.008519567,0.040436376,rt,Steyn,Steyn,1
16,0.021947494,-0.002868179,0.045457049,rt,Steyn,Steyn,1
17,0.026013905,0.001819395,0.049901165,rt,Steyn,Steyn,1
18,0.030623535,0.004718315,0.054033713,rt,Steyn,Steyn,1
19,0.034984603,0.01181117,0.057701354,rt,Steyn,Steyn,1
20,0.038778708,0.014804709,0.06607332,rt,Steyn,Steyn,1
21,0.042145699,0.018417783,0.06781361,rt,Steyn,Steyn,1
22,0.04579849,0.021239129,0.072760701,rt,Steyn,Steyn,1
23,0.047196364,0.024302654,0.07203242,rt,Steyn,Steyn,1
24,0.0479416,0.025554386,0.073160655,rt,Steyn,Steyn,1
25,0.048587027,0.02679018,0.073895552,rt,Steyn,Steyn,1
26,0.048790662,0.026182584,0.073771889,rt,Steyn,Steyn,1
27,0.047850942,0.026123933,0.073366488,rt,Steyn,Steyn,1
28,0.046356303,0.024922561,0.07288223,rt,Steyn,Steyn,1
29,0.044554969,0.023499296,0.071051012,rt,Steyn,Steyn,1
30,0.042184428,0.021265462,0.065858179,rt,Steyn,Steyn,1
31,0.038249624,0.01654615,0.062816088,rt,Steyn,Steyn,1
32,0.034281533,0.011888557,0.057257727,rt,Steyn,Steyn,1
33,0.029634347,0.006846456,0.053253788,rt,Steyn,Steyn,1
34,0.025507218,0.002108181,0.048172754,rt,Steyn,Steyn,1
35,0.021677428,0.000974035,0.043896291,rt,Steyn,Steyn,1
36,0.018815745,-0.002278189,0.042262292,rt,Steyn,Steyn,1
37,0.013696056,-0.008607433,0.037132468,rt,Steyn,Steyn,1
38,0.008085824,-0.015223335,0.029768795,rt,Steyn,Steyn,1
39,0.002506191,-0.022779472,0.024844375,rt,Steyn,Steyn,1
40,-0.002886648,-0.028003164,0.02013848,rt,Steyn,Steyn,1
41,-0.006358976,-0.030424485,0.014153256,rt,Steyn,Steyn,1
42,-0.009454048,-0.033850442,0.012021269,rt,Steyn,Steyn,1
43,-0.011934152,-0.038477753,0.00989387,rt,Steyn,Steyn,1
44,-0.012326896,-0.038269459,0.008940812,rt,Steyn,Steyn,1
45,-0.011589319,-0.033091063,0.009155816,rt,Steyn,Steyn,1
46,-0.010862076,-0.033965555,0.010877142,rt,Steyn,Steyn,1
47,-0.009344735,-0.032055528,0.012594345,rt,Steyn,Steyn,1
48,-0.007815863,-0.029125637,0.015485923,rt,Steyn,Steyn,1
49,-0.00593121,-0.026689171,0.02015155,rt,Steyn,Steyn,1
50,-0.005629974,-0.02728916,0.020641788,rt,Steyn,Steyn,1
51,-0.006879922,-0.025706884,0.020025844,rt,Steyn,Steyn,1
52,-0.009107343,-0.031296146,0.014875969,rt,Steyn,Steyn,1
53,-0.011173935,-0.032113725,0.013831617,rt,Steyn,Steyn,1
54,-0.014006543,-0.034502338,0.009337913,rt,Steyn,Steyn,1
55,-0.017080546,-0.03878226,0.004034381,rt,Steyn,Steyn,1
56,-0.019943401,-0.042459401,0.002845132,rt,Steyn,Steyn,1
57,-0.020826113,-0.043671327,0.000170851,rt,Steyn,Steyn,1
58,-0.022862565,-0.046548386,-0.001337643,rt,Steyn,Steyn,1
59,-0.023827139,-0.047632059,-0.000107772,rt,Steyn,Steyn,1
60,-0.024585729,-0.046892395,-0.001147962,rt,Steyn,Steyn,1
61,-0.024401706,-0.047148366,-0.001876494,rt,Steyn,Steyn,1
62,-0.024620828,-0.046785897,-0.002186321,rt,Steyn,Steyn,1
63,-0.025156907,-0.048305996,-0.002167008,rt,Steyn,Steyn,1
64,-0.026322006,-0.050990024,-0.002685835,rt,Steyn,Steyn,1
65,-0.0262569,-0.049401796,-0.004583827,rt,Steyn,Steyn,1
66,-0.02578701,-0.048396854,-0.002229531,rt,Steyn,Steyn,1
67,-0.026438096,-0.050380616,-0.002558538,rt,Steyn,Steyn,1
68,-0.026772694,-0.050254938,-0.001847762,rt,Steyn,Steyn,1
69,-0.026762894,-0.050340971,-0.002394529,rt,Steyn,Steyn,1
70,-0.027212026,-0.051700007,-0.003963461,rt,Steyn,Steyn,1
71,-0.028437862,-0.051330415,-0.004511835,rt,Steyn,Steyn,1
72,-0.030585548,-0.053305111,-0.006165204,rt,Steyn,Steyn,1
73,-0.032862318,-0.056136183,-0.00767865,rt,Steyn,Steyn,1
74,-0.034827638,-0.059281248,-0.009623674,rt,Steyn,Steyn,1
75,-0.036880261,-0.062875352,-0.012350183,rt,Steyn,Steyn,1
76,-0.038175203,-0.063591544,-0.014846026,rt,Steyn,Steyn,1
77,-0.039093834,-0.064688363,-0.016572769,rt,Steyn,Steyn,1
78,-0.039715804,-0.064221628,-0.015203677,rt,Steyn,Steyn,1
79,-0.040649145,-0.065981922,-0.015910735,rt,Steyn,Steyn,1
80,-0.041895333,-0.068661964,-0.017091353,rt,Steyn,Steyn,1
81,-0.043368556,-0.068278016,-0.019524346,rt,Steyn,Steyn,1
82,-0.044717163,-0.070953093,-0.021520384,rt,Steyn,Steyn,1
83,-0.045063081,-0.07175289,-0.021056252,rt,Steyn,Steyn,1
84,-0.044446501,-0.071630173,-0.020025059,rt,Steyn,Steyn,1
85,-0.043795307,-0.071543228,-0.018711855,rt,Steyn,Steyn,1
86,-0.041907322,-0.068815517,-0.016063046,rt,Steyn,Steyn,1
87,-0.039553547,-0.065907175,-0.014082419,rt,Steyn,Steyn,1
88,-0.037857999,-0.06390068,-0.012855092,rt,Steyn,Steyn,1
89,-0.035823558,-0.063959283,-0.010135697,rt,Steyn,Steyn,1
90,-0.03400069,-0.06205012,-0.008705216,rt,Steyn,Steyn,1
91,-0.031404295,-0.058383015,-0.006033443,rt,Steyn,Steyn,1
92,-0.028484502,-0.056599555,-0.000760403,rt,Steyn,Steyn,1
93,-0.02464859,-0.052565395,0.006195746,rt,Steyn,Steyn,1
94,-0.020830344,-0.050871657,0.010940273,rt,Steyn,Steyn,1
95,-0.017154429,-0.048367504,0.01844576,rt,Steyn,Steyn,1
96,-0.014531883,-0.048785043,0.022303502,rt,Steyn,Steyn,1
97,-0.012717089,-0.049980185,0.028431749,rt,Steyn,Steyn,1
98,-0.011043234,-0.051678241,0.034646139,rt,Steyn,Steyn,1
99,-0.009551494,-0.054017412,0.041332565,rt,Steyn,Steyn,1
100,-0.008769092,-0.057085081,0.047946645,rt,Steyn,Steyn,1
1,0.010327543,0.008610933,0.012175721,Pt,Steyn,Steyn,1
2,0.010249935,0.008785097,0.011753217,Pt,Steyn,Steyn,1
3,0.010188035,0.008849563,0.011588549,Pt,Steyn,Steyn,1
4,0.010125701,0.00882217,0.011366124,Pt,Steyn,Steyn,1
5,0.010070922,0.008910773,0.011189803,Pt,Steyn,Steyn,1
6,0.010045854,0.009038996,0.011111781,Pt,Steyn,Steyn,1
7,0.010031653,0.009087601,0.011112307,Pt,Steyn,Steyn,1
8,0.010052288,0.009140141,0.011151831,Pt,Steyn,Steyn,1
9,0.010108468,0.009138466,0.011172554,Pt,Steyn,Steyn,1
10,0.010186322,0.009229866,0.011253988,Pt,Steyn,Steyn,1
11,0.010287277,0.009183539,0.011426562,Pt,Steyn,Steyn,1
12,0.010414469,0.009332097,0.01166878,Pt,Steyn,Steyn,1
13,0.01055308,0.00952873,0.01179606,Pt,Steyn,Steyn,1
14,0.010719409,0.0096212,0.012009508,Pt,Steyn,Steyn,1
15,0.010919816,0.009833553,0.012256276,Pt,Steyn,Steyn,1
16,0.011157751,0.010025882,0.01254613,Pt,Steyn,Steyn,1
17,0.01145088,0.01028853,0.012807724,Pt,Steyn,Steyn,1
18,0.011804175,0.010564532,0.013284307,Pt,Steyn,Steyn,1
19,0.012215702,0.010982672,0.013600932,Pt,Steyn,Steyn,1
20,0.012696348,0.011432513,0.013969442,Pt,Steyn,Steyn,1
21,0.013238895,0.012063259,0.014476516,Pt,Steyn,Steyn,1
22,0.013857215,0.012654466,0.015154469,Pt,Steyn,Steyn,1
23,0.014526488,0.01330906,0.015900997,Pt,Steyn,Steyn,1
24,0.015238385,0.01398237,0.016633201,Pt,Steyn,Steyn,1
25,0.015988595,0.01473124,0.017289297,Pt,Steyn,Steyn,1
26,0.016790095,0.015485998,0.018049073,Pt,Steyn,Steyn,1
27,0.017603397,0.016279223,0.018869281,Pt,Steyn,Steyn,1
28,0.018435291,0.017020904,0.019798656,Pt,Steyn,Steyn,1
29,0.019276636,0.017891968,0.020709749,Pt,Steyn,Steyn,1
30,0.020106878,0.01861815,0.021596678,Pt,Steyn,Steyn,1
31,0.020887247,0.019174022,0.02250551,Pt,Steyn,Steyn,1
32,0.021617362,0.019833046,0.023458999,Pt,Steyn,Steyn,1
33,0.022270441,0.020570315,0.024133363,Pt,Steyn,Steyn,1
34,0.022844047,0.021049771,0.02471073,Pt,Steyn,Steyn,1
35,0.023342189,0.021627571,0.025296727,Pt,Steyn,Steyn,1
36,0.023777599,0.022054951,0.02570704,Pt,Steyn,Steyn,1
37,0.024105681,0.022320208,0.026007753,Pt,Steyn,Steyn,1
38,0.024305659,0.022621788,0.026166808,Pt,Steyn,Steyn,1
39,0.02436634,0.022628769,0.0262918,Pt,Steyn,Steyn,1
40,0.024305286,0.022550728,0.026191775,Pt,Steyn,Steyn,1
41,0.024160881,0.022306873,0.026027301,Pt,Steyn,Steyn,1
42,0.023952294,0.02200796,0.025982423,Pt,Steyn,Steyn,1
43,0.023685026,0.021710088,0.025698591,Pt,Steyn,Steyn,1
44,0.023397469,0.021449707,0.025370297,Pt,Steyn,Steyn,1
45,0.023126612,0.02132968,0.025179505,Pt,Steyn,Steyn,1
46,0.022879349,0.021088873,0.024830547,Pt,Steyn,Steyn,1
47,0.022665593,0.020890609,0.024524552,Pt,Steyn,Steyn,1
48,0.022491425,0.020747861,0.024263607,Pt,Steyn,Steyn,1
49,0.02233739,0.020608758,0.024133186,Pt,Steyn,Steyn,1
50,0.022193603,0.020496885,0.023894568,Pt,Steyn,Steyn,1
51,0.022031099,0.020306606,0.023773652,Pt,Steyn,Steyn,1
52,0.021822757,0.020154728,0.023472979,Pt,Steyn,Steyn,1
53,0.021577769,0.019995962,0.023296324,Pt,Steyn,Steyn,1
54,0.021276771,0.019732573,0.022958005,Pt,Steyn,Steyn,1
55,0.020923001,0.01938516,0.0225808,Pt,Steyn,Steyn,1
56,0.020515639,0.01901302,0.022068115,Pt,Steyn,Steyn,1
57,0.020092688,0.018603594,0.021589758,Pt,Steyn,Steyn,1
58,0.019637105,0.018110792,0.021131535,Pt,Steyn,Steyn,1
59,0.019177046,0.017626335,0.020665928,Pt,Steyn,Steyn,1
60,0.018712383,0.01712329,0.020170395,Pt,Steyn,Steyn,1
61,0.018260954,0.016791375,0.019617806,Pt,Steyn,Steyn,1
62,0.017813685,0.016382719,0.019165911,Pt,Steyn,Steyn,1
63,0.01736906,0.016008305,0.018777233,Pt,Steyn,Steyn,1
64,0.016915482,0.01553232,0.018298012,Pt,Steyn,Steyn,1
65,0.016474601,0.015082031,0.017860909,Pt,Steyn,Steyn,1
66,0.016056067,0.014686524,0.017436899,Pt,Steyn,Steyn,1
67,0.015641448,0.014362153,0.017046619,Pt,Steyn,Steyn,1
68,0.015231242,0.01399001,0.016612021,Pt,Steyn,Steyn,1
69,0.014832591,0.013572534,0.016173871,Pt,Steyn,Steyn,1
70,0.014436483,0.013154988,0.015749635,Pt,Steyn,Steyn,1
71,0.014031683,0.012757198,0.015353199,Pt,Steyn,Steyn,1
72,0.013607186,0.012405057,0.014952443,Pt,Steyn,Steyn,1
73,0.013166306,0.011994763,0.014454865,Pt,Steyn,Steyn,1
74,0.012714647,0.01159164,0.013955678,Pt,Steyn,Steyn,1
75,0.012256638,0.011145813,0.013432655,Pt,Steyn,Steyn,1
76,0.011799937,0.01074446,0.012977323,Pt,Steyn,Steyn,1
77,0.011349425,0.01032095,0.012513791,Pt,Steyn,Steyn,1
78,0.010908061,0.009909558,0.012043589,Pt,Steyn,Steyn,1
79,0.010474772,0.009472895,0.011572963,Pt,Steyn,Steyn,1
80,0.010046516,0.009057318,0.011092172,Pt,Steyn,Steyn,1
81,0.00962225,0.00863605,0.010650301,Pt,Steyn,Steyn,1
82,0.009203729,0.008211887,0.010208365,Pt,Steyn,Steyn,1
83,0.008799264,0.007845349,0.009752331,Pt,Steyn,Steyn,1
84,0.008418838,0.007486999,0.009337757,Pt,Steyn,Steyn,1
85,0.008060279,0.007127427,0.008969185,Pt,Steyn,Steyn,1
86,0.007731221,0.006844065,0.00863457,Pt,Steyn,Steyn,1
87,0.007432466,0.006569245,0.008304755,Pt,Steyn,Steyn,1
88,0.007156234,0.006303837,0.007992328,Pt,Steyn,Steyn,1
89,0.006904461,0.006077853,0.0077461,Pt,Steyn,Steyn,1
90,0.006674261,0.005858746,0.007504818,Pt,Steyn,Steyn,1
91,0.006467639,0.005659063,0.007266094,Pt,Steyn,Steyn,1
92,0.006285485,0.005506125,0.007090263,Pt,Steyn,Steyn,1
