"t","mean","lower","upper","variable","date"
1,-0.0499923302861771,-0.117013769222632,0.0055478174718433,"rt","2022-01-05"
2,-0.0498777496538333,-0.0987320527753636,-0.00259090050242005,"rt","2022-01-06"
3,-0.0486470523607395,-0.0892684346259078,-0.0111592585523544,"rt","2022-01-07"
4,-0.044378650659041,-0.0822745376004366,-0.0141290776827828,"rt","2022-01-08"
5,-0.0395642906673033,-0.0718105792434812,-0.00923348176166396,"rt","2022-01-09"
6,-0.0330801761536831,-0.0634244523528219,-0.00431365219829183,"rt","2022-01-10"
7,-0.0234225693957593,-0.0548463161730645,0.00636369644326441,"rt","2022-01-11"
8,-0.0152114879253724,-0.0444037548549639,0.0163288575890125,"rt","2022-01-12"
9,-0.010311114279995,-0.0382075964022656,0.0227180249634085,"rt","2022-01-13"
10,-0.00762666325090018,-0.0368358152196198,0.0266188410123976,"rt","2022-01-14"
11,-0.00767060708997181,-0.0370757553421772,0.0218880212946429,"rt","2022-01-15"
12,-0.00927143075257538,-0.038124139848665,0.0233541611907677,"rt","2022-01-16"
13,-0.00994061827325039,-0.0491316299214742,0.0226234797315801,"rt","2022-01-17"
14,-0.00821575920285194,-0.0491638334315106,0.0278950015160896,"rt","2022-01-18"
15,-0.0040016988933494,-0.0421569431312916,0.0375863986133163,"rt","2022-01-19"
16,0.000251955691527934,-0.0400781909158483,0.0447196976484748,"rt","2022-01-20"
17,0.00260812127427329,-0.0410909627931902,0.0522254112466785,"rt","2022-01-21"
18,0.0039565417370495,-0.0401212625552882,0.0534003423781868,"rt","2022-01-22"
19,0.00562964509308028,-0.0387319909052293,0.0554782087658044,"rt","2022-01-23"
20,0.0067483005835777,-0.0384103982320049,0.0598231351451604,"rt","2022-01-24"
21,0.00709106114305373,-0.0377321520476753,0.0583109856832276,"rt","2022-01-25"
22,0.00579236046614076,-0.0376457767001403,0.0535611762727506,"rt","2022-01-26"
23,0.00441459196693485,-0.0409774409305418,0.0520948443530796,"rt","2022-01-27"
24,0.00335244209415482,-0.0389577796701048,0.0521893343921434,"rt","2022-01-28"
25,0.00279931091888356,-0.0413360844014578,0.0432918908098027,"rt","2022-01-29"
26,0.00136074683317747,-0.0394359398923287,0.0440616017690416,"rt","2022-01-30"
27,-0.000264778431628728,-0.0367146562466712,0.0472398142733345,"rt","2022-01-31"
28,-0.00168156929660016,-0.0415680938149181,0.0468428562196121,"rt","2022-02-01"
29,-0.00410184052480559,-0.0430924463821211,0.0379891540226639,"rt","2022-02-02"
30,-0.00609704287971076,-0.0591462807649275,0.0354003347444014,"rt","2022-02-03"
31,-0.00815624224909425,-0.0529811782739882,0.0368840541227256,"rt","2022-02-04"
32,-0.0120446033058099,-0.0561579145812876,0.0293777482068336,"rt","2022-02-05"
33,-0.0148998986914028,-0.0672664099367842,0.0298897018363363,"rt","2022-02-06"
34,-0.0177521874541563,-0.0654539000691962,0.024075861550856,"rt","2022-02-07"
35,-0.0207676507477675,-0.0643180786376933,0.0222875864016405,"rt","2022-02-08"
36,-0.0257507081044227,-0.0713570658653445,0.0140275140716286,"rt","2022-02-09"
37,-0.0298263434560953,-0.0778948791201946,0.0126493022881728,"rt","2022-02-10"
38,-0.0308137050651688,-0.0712444318101782,0.00502948922678132,"rt","2022-02-11"
39,-0.032663445858139,-0.0743700327314159,-0.0026378900155915,"rt","2022-02-12"
40,-0.0333423166846426,-0.0730167788718557,-0.00379909547139447,"rt","2022-02-13"
41,-0.030672930535206,-0.0670321237245232,0.000527546282672224,"rt","2022-02-14"
42,-0.0248727025076072,-0.058131607359716,0.00639520790891397,"rt","2022-02-15"
43,-0.0212389812863968,-0.0519134942029004,0.00977266883572539,"rt","2022-02-16"
44,-0.0180753221699283,-0.0521160686680218,0.0183729175080676,"rt","2022-02-17"
45,-0.0168993764577749,-0.0448562661559497,0.015760274219412,"rt","2022-02-18"
46,-0.0143089096947654,-0.0455478807227269,0.01950956671921,"rt","2022-02-19"
47,-0.0115417030980398,-0.0417426300745918,0.0246561211588471,"rt","2022-02-20"
48,-0.0101305011436547,-0.0442494523688923,0.0264230309964205,"rt","2022-02-21"
49,-0.00822552398062308,-0.043914318061537,0.0243587276277325,"rt","2022-02-22"
50,-0.00363553196901516,-0.0423115678071299,0.0283848205620908,"rt","2022-02-23"
51,0.00230047586557039,-0.0342176852903248,0.0373968521144673,"rt","2022-02-24"
52,0.0102657693556921,-0.025655733342898,0.0449804893903791,"rt","2022-02-25"
53,0.0169797234089184,-0.0174539702505088,0.0504940182266518,"rt","2022-02-26"
54,0.024165653197719,-0.0098206759923684,0.0601395125700214,"rt","2022-02-27"
55,0.0300799605939097,-0.00352035831765982,0.0639602768197691,"rt","2022-02-28"
56,0.0362975951631807,-0.000192624202255409,0.0742670260170811,"rt","2022-03-01"
57,0.0427390125715641,0.00722524547203204,0.0814977406209754,"rt","2022-03-02"
58,0.0486757237867948,0.0174953960014547,0.0870090510607354,"rt","2022-03-03"
59,0.0537863200841899,0.0203888773298697,0.0918453633578687,"rt","2022-03-04"
60,0.0568936343398253,0.0253116888656383,0.0969181462713371,"rt","2022-03-05"
61,0.057243946941935,0.0217144959045121,0.0945676774602619,"rt","2022-03-06"
62,0.0568661625962318,0.0222899511231564,0.0940126881626415,"rt","2022-03-07"
63,0.0543154130672781,0.0174514445302093,0.0902652298230813,"rt","2022-03-08"
64,0.0504842252217325,0.0120812682816406,0.0848914618058974,"rt","2022-03-09"
65,0.0486312211188441,0.0115596640973117,0.0820932461366743,"rt","2022-03-10"
66,0.0489171021280076,0.0126158198585274,0.0820407124848982,"rt","2022-03-11"
67,0.0509261189034026,0.0187014834814692,0.0803388823897179,"rt","2022-03-12"
68,0.0521363642555345,0.0222656681657683,0.0841817860542649,"rt","2022-03-13"
69,0.0543478807379486,0.0256465186002173,0.0868786644617451,"rt","2022-03-14"
70,0.0552545247636467,0.0258946048070478,0.0890269120054491,"rt","2022-03-15"
71,0.0492543929651052,0.0214528584620197,0.0841577470123151,"rt","2022-03-16"
72,0.0355191422436777,0.00738534943680746,0.0630356338721069,"rt","2022-03-17"
73,0.0241803726654069,-0.00797014742652806,0.0505676356115733,"rt","2022-03-18"
74,0.0162954064566039,-0.0162601745458681,0.0433440447489666,"rt","2022-03-19"
75,0.0144755184563167,-0.0150540396267906,0.0409184407012885,"rt","2022-03-20"
76,0.0140458686080708,-0.0161160661780493,0.0413535597599292,"rt","2022-03-21"
77,0.0148998518045137,-0.0143355622178872,0.0429179058753998,"rt","2022-03-22"
78,0.0149848606603041,-0.0127863310585462,0.0444902586592401,"rt","2022-03-23"
79,0.0151766248180339,-0.013050704022565,0.0459007560042001,"rt","2022-03-24"
80,0.0150742213146702,-0.0129936561966084,0.0451130792418357,"rt","2022-03-25"
81,0.0133062712996309,-0.0152832968407682,0.0447137543110335,"rt","2022-03-26"
82,0.0102880605512974,-0.0195837800108621,0.042603210432945,"rt","2022-03-27"
83,0.00589551378078715,-0.0267624882130105,0.038481895104366,"rt","2022-03-28"
84,-0.000159085376431062,-0.0384852082951944,0.0358219950807391,"rt","2022-03-29"
85,-0.00703478934417462,-0.0569420213701657,0.0356350674743802,"rt","2022-03-30"
86,-0.00933119340350662,-0.0689282864006702,0.0405813338938582,"rt","2022-03-31"
1,0.0504651807415197,0.0448411964694407,0.0565047049047823,"Pt","2022-01-05"
2,0.0479196497940948,0.0435725834914804,0.0521352565011125,"Pt","2022-01-06"
3,0.045607051558344,0.0416434661390173,0.0492436395925455,"Pt","2022-01-07"
4,0.0436104346965679,0.0401459795025795,0.0468188353347602,"Pt","2022-01-08"
5,0.0419228378667846,0.0387124706736582,0.0450276787257994,"Pt","2022-01-09"
6,0.0406043633784976,0.0376315981520872,0.043720385482509,"Pt","2022-01-10"
7,0.0396899376938602,0.0366148659952767,0.0427647253463278,"Pt","2022-01-11"
8,0.0391092926303005,0.0359682134221214,0.042244689506288,"Pt","2022-01-12"
9,0.0387346676697622,0.0357426386605511,0.0421136480370791,"Pt","2022-01-13"
10,0.0384450270525147,0.0353799112776126,0.0418099525065136,"Pt","2022-01-14"
11,0.0381463777370757,0.0351213189950771,0.0414510837294616,"Pt","2022-01-15"
12,0.0377813418889863,0.0345352007596475,0.0410826341703588,"Pt","2022-01-16"
13,0.0373931572276455,0.0340666455722763,0.0405868423595166,"Pt","2022-01-17"
14,0.0370831343241508,0.0337445293938622,0.0405572918881975,"Pt","2022-01-18"
15,0.0369657269827651,0.0329272457246192,0.041156023541776,"Pt","2022-01-19"
16,0.0370511004842203,0.0324654585148069,0.0422139640816684,"Pt","2022-01-20"
17,0.0372606351551108,0.0321091614749777,0.0432321970674475,"Pt","2022-01-21"
18,0.0374960426137213,0.0315854803217571,0.0452653416215741,"Pt","2022-01-22"
19,0.0377766653329199,0.0304912818438686,0.0467638447232966,"Pt","2022-01-23"
