t,mean,lower,upper,variable,prior
1,0.0044821943804891655,-0.035333278078895525,0.0506422780082767,rt,Wald interval (default)
2,0.0050917197279929365,-0.03338534057816003,0.04634189132451386,rt,Wald interval (default)
3,0.005253812587964165,-0.029316731672136363,0.04059832723899194,rt,Wald interval (default)
4,0.005175234269460557,-0.025647161293866717,0.03885100874429506,rt,Wald interval (default)
5,0.004780301694420654,-0.026412967578256175,0.032202031126399605,rt,Wald interval (default)
6,0.006161034332731806,-0.0208139991858919,0.03166676032234384,rt,Wald interval (default)
7,0.00824486110042159,-0.01717210295398173,0.03100448648388982,rt,Wald interval (default)
8,0.010786739718059326,-0.013142585682839457,0.033102330784520136,rt,Wald interval (default)
9,0.013380973247558305,-0.009345632306727858,0.03583905364931491,rt,Wald interval (default)
10,0.017015115259876055,-0.004042296571569039,0.041187190526189424,rt,Wald interval (default)
11,0.020199079446001345,-0.00046952635235799354,0.04336764958450894,rt,Wald interval (default)
12,0.023035648993206276,0.0033425046260647934,0.048624188961797495,rt,Wald interval (default)
13,0.024774777051823127,0.0030775640116922545,0.048989103937978534,rt,Wald interval (default)
14,0.025118214275721525,0.00471589004080504,0.049542781447934905,rt,Wald interval (default)
15,0.025297971120430546,0.0032790768223860036,0.05065395767541296,rt,Wald interval (default)
16,0.02424271829609194,0.004942785904306563,0.04899511479777445,rt,Wald interval (default)
17,0.02191072540182155,0.002853356171945447,0.04582598522202014,rt,Wald interval (default)
18,0.019277625810558252,-0.0020286931201499944,0.04242190445542521,rt,Wald interval (default)
19,0.014898872065720175,-0.006916279620505106,0.0366679711957849,rt,Wald interval (default)
20,0.011761127093662603,-0.010993806044290778,0.03173963002490003,rt,Wald interval (default)
21,0.007969993527982326,-0.016666119630104524,0.028668108394754366,rt,Wald interval (default)
22,0.006391755542229125,-0.017739023542552093,0.028520645344633895,rt,Wald interval (default)
23,0.005673254944166902,-0.019386483778928997,0.025618350224797373,rt,Wald interval (default)
24,0.006101701559310358,-0.016128312192129977,0.025488204829011003,rt,Wald interval (default)
25,0.006236047379630433,-0.015390684327607245,0.02702612894963767,rt,Wald interval (default)
26,0.006883725472268459,-0.015415939209715521,0.029161402116824508,rt,Wald interval (default)
27,0.007196273173568823,-0.012906783578117035,0.02909807043007177,rt,Wald interval (default)
28,0.007573747667305174,-0.012531948714137467,0.02850755192974107,rt,Wald interval (default)
29,0.00769548367917338,-0.012335922236664357,0.02959963929469806,rt,Wald interval (default)
30,0.007314137232394595,-0.01222686624885172,0.033347296276480434,rt,Wald interval (default)
31,0.004613717529959115,-0.014931026511264357,0.029723984930054695,rt,Wald interval (default)
32,0.0009823090899476012,-0.018908922999615673,0.026683917741848282,rt,Wald interval (default)
33,-0.002784658483702469,-0.023760189965544923,0.019754454722470415,rt,Wald interval (default)
34,-0.00726409939149577,-0.02777651621958377,0.015559650709593972,rt,Wald interval (default)
35,-0.01257296662369544,-0.03332537955179921,0.00961568627647423,rt,Wald interval (default)
