t,mean,lower,upper,variable,prior
1,0.005789777324190516,-0.03847022640352724,0.049713409913807044,rt,"Uniform(-0.1, 0.1) (narrower)"
2,0.005662047679195148,-0.03171629451825228,0.04362301095532572,rt,"Uniform(-0.1, 0.1) (narrower)"
3,0.005213112631162353,-0.02787000451402962,0.03872631903495899,rt,"Uniform(-0.1, 0.1) (narrower)"
4,0.005002403918190688,-0.028050839837762388,0.03313985828638696,rt,"Uniform(-0.1, 0.1) (narrower)"
5,0.005204336942244305,-0.027250509216828825,0.030951956012923755,rt,"Uniform(-0.1, 0.1) (narrower)"
6,0.005802868597451022,-0.022323833527866647,0.031476127166825435,rt,"Uniform(-0.1, 0.1) (narrower)"
7,0.00790342374606405,-0.017495717449860247,0.03241951869636489,rt,"Uniform(-0.1, 0.1) (narrower)"
8,0.010686484175635405,-0.012338431036354031,0.03159560664635299,rt,"Uniform(-0.1, 0.1) (narrower)"
9,0.013622937264584509,-0.008937148791964592,0.03630808026532725,rt,"Uniform(-0.1, 0.1) (narrower)"
10,0.01748702836939947,-0.0027949120406698807,0.040867003884716153,rt,"Uniform(-0.1, 0.1) (narrower)"
11,0.020348062645508647,0.00040775311579115277,0.0436412185299634,rt,"Uniform(-0.1, 0.1) (narrower)"
12,0.022311329845743494,0.0026049624661354112,0.045899066503864036,rt,"Uniform(-0.1, 0.1) (narrower)"
13,0.023675156923106653,0.004022168522425968,0.04761170294772686,rt,"Uniform(-0.1, 0.1) (narrower)"
14,0.024096391404140667,0.0035800814024355507,0.04785673504203164,rt,"Uniform(-0.1, 0.1) (narrower)"
15,0.02430496898796494,0.0034466229277957403,0.048345860813919075,rt,"Uniform(-0.1, 0.1) (narrower)"
16,0.02333088755949896,0.0024818452163714744,0.04655539188420819,rt,"Uniform(-0.1, 0.1) (narrower)"
17,0.022406255878952706,0.003373227876626815,0.047088847511923035,rt,"Uniform(-0.1, 0.1) (narrower)"
18,0.01922709753439298,-0.0015808919761792178,0.040960351053391825,rt,"Uniform(-0.1, 0.1) (narrower)"
19,0.014689876796155592,-0.007752956356879528,0.03452245434519604,rt,"Uniform(-0.1, 0.1) (narrower)"
20,0.011390513412909323,-0.012194312336404363,0.03218307436665077,rt,"Uniform(-0.1, 0.1) (narrower)"
21,0.008295001768518918,-0.013220800075807969,0.02827327158089474,rt,"Uniform(-0.1, 0.1) (narrower)"
22,0.006299536061658328,-0.019252677476040994,0.025894786281700753,rt,"Uniform(-0.1, 0.1) (narrower)"
23,0.005960249542694703,-0.016966333382466434,0.026233069832693176,rt,"Uniform(-0.1, 0.1) (narrower)"
24,0.005877266721709798,-0.016976409893827715,0.025774970577238713,rt,"Uniform(-0.1, 0.1) (narrower)"
25,0.0067595514276366404,-0.013900383151697166,0.026709259634956236,rt,"Uniform(-0.1, 0.1) (narrower)"
26,0.007157082908790439,-0.012425118526153196,0.02619557916125496,rt,"Uniform(-0.1, 0.1) (narrower)"
27,0.00754662231352757,-0.012479481709879081,0.028413096755557164,rt,"Uniform(-0.1, 0.1) (narrower)"
28,0.007867415090576129,-0.012175608082802648,0.02979448040769582,rt,"Uniform(-0.1, 0.1) (narrower)"
29,0.007712501372855698,-0.01195597893398333,0.03027230436135403,rt,"Uniform(-0.1, 0.1) (narrower)"
30,0.00706959576985848,-0.012714654890280556,0.0293517108659058,rt,"Uniform(-0.1, 0.1) (narrower)"
31,0.00426326432843787,-0.015485278062669468,0.028372561148441673,rt,"Uniform(-0.1, 0.1) (narrower)"
32,0.000793604315805168,-0.019565498111058618,0.02366100111207704,rt,"Uniform(-0.1, 0.1) (narrower)"
33,-0.003408545646169615,-0.023359441842964596,0.019108570741500915,rt,"Uniform(-0.1, 0.1) (narrower)"
34,-0.00811833016297179,-0.028492832713505438,0.015292231662179972,rt,"Uniform(-0.1, 0.1) (narrower)"
35,-0.013390600759578987,-0.03428459441680938,0.008011586440721707,rt,"Uniform(-0.1, 0.1) (narrower)"
36,-0.01902247953754773,-0.039918792204742946,0.0011784108457843258,rt,"Uniform(-0.1, 0.1) (narrower)"
37,-0.023658162401182552,-0.04595250900559069,-0.0028048787598831475,rt,"Uniform(-0.1, 0.1) (narrower)"
38,-0.02723245548853122,-0.04833464817706743,-0.007132278305093415,rt,"Uniform(-0.1, 0.1) (narrower)"
39,-0.03204485632576887,-0.05684489047481856,-0.01211610125386977,rt,"Uniform(-0.1, 0.1) (narrower)"
40,-0.036609095560949906,-0.05993173048461191,-0.016625362215050246,rt,"Uniform(-0.1, 0.1) (narrower)"
41,-0.03977636617710264,-0.0640260109893569,-0.020723889398280657,rt,"Uniform(-0.1, 0.1) (narrower)"
42,-0.04236966401555548,-0.06870016787594657,-0.022188930320960115,rt,"Uniform(-0.1, 0.1) (narrower)"
43,-0.043184932468471424,-0.06725081673262567,-0.022196641259448154,rt,"Uniform(-0.1, 0.1) (narrower)"
44,-0.04294923358210518,-0.0664185556003325,-0.021957124935724805,rt,"Uniform(-0.1, 0.1) (narrower)"
45,-0.041842309822398976,-0.0653365413317274,-0.021520619595160384,rt,"Uniform(-0.1, 0.1) (narrower)"
46,-0.04014639253104105,-0.06492565747842742,-0.019334490996838354,rt,"Uniform(-0.1, 0.1) (narrower)"
47,-0.03817521092506636,-0.06022727590406001,-0.017119617642912144,rt,"Uniform(-0.1, 0.1) (narrower)"
48,-0.03451358806370896,-0.05618749454146186,-0.01209098755560763,rt,"Uniform(-0.1, 0.1) (narrower)"
49,-0.030749757970219598,-0.05198110163645387,-0.0071572831732911665,rt,"Uniform(-0.1, 0.1) (narrower)"
50,-0.027542381578741684,-0.047861365061366117,-0.002364234525942246,rt,"Uniform(-0.1, 0.1) (narrower)"
51,-0.025365330171254332,-0.04563740085432891,0.001743517716100167,rt,"Uniform(-0.1, 0.1) (narrower)"
52,-0.02425673383769303,-0.044403506722397124,-0.00010364243648696911,rt,"Uniform(-0.1, 0.1) (narrower)"
53,-0.02401555554931363,-0.045333170991017274,0.00044573030206296327,rt,"Uniform(-0.1, 0.1) (narrower)"
54,-0.023844104113332255,-0.04527876291172686,-0.0013025614395237445,rt,"Uniform(-0.1, 0.1) (narrower)"
55,-0.022656549896527826,-0.044547266821297365,0.0011023062604387079,rt,"Uniform(-0.1, 0.1) (narrower)"
56,-0.021381532883669552,-0.04430438446016277,0.003529225393197188,rt,"Uniform(-0.1, 0.1) (narrower)"
57,-0.020452427213830796,-0.04376242371258499,0.0031736370224168253,rt,"Uniform(-0.1, 0.1) (narrower)"
58,-0.019338914326749255,-0.041678928279107186,0.0037402036907570133,rt,"Uniform(-0.1, 0.1) (narrower)"
59,-0.018060963641501053,-0.04076863903857657,0.004540568140228428,rt,"Uniform(-0.1, 0.1) (narrower)"
60,-0.016766361291844577,-0.039646555353682576,0.005986106066407781,rt,"Uniform(-0.1, 0.1) (narrower)"
61,-0.01573419469750987,-0.0377997549785532,0.006505141788035582,rt,"Uniform(-0.1, 0.1) (narrower)"
62,-0.01513296755520661,-0.03942896167165986,0.006152488754621346,rt,"Uniform(-0.1, 0.1) (narrower)"
63,-0.013474044129541937,-0.0372227059186469,0.010834507101150678,rt,"Uniform(-0.1, 0.1) (narrower)"
64,-0.011166670193516297,-0.03499585673240373,0.011673565007983496,rt,"Uniform(-0.1, 0.1) (narrower)"
65,-0.009282828649832256,-0.03252584281583096,0.014286958041177016,rt,"Uniform(-0.1, 0.1) (narrower)"
66,-0.007334717851346616,-0.030750254101829418,0.015357042393844215,rt,"Uniform(-0.1, 0.1) (narrower)"
67,-0.005551354888091118,-0.029830967742787713,0.017170010644643997,rt,"Uniform(-0.1, 0.1) (narrower)"
68,-0.0038979251754287865,-0.026942712915541258,0.0188510048896236,rt,"Uniform(-0.1, 0.1) (narrower)"
69,-0.0021184610393551865,-0.025347407992544244,0.01946710665512651,rt,"Uniform(-0.1, 0.1) (narrower)"
70,-0.00030577074043968046,-0.02506773139793457,0.022528455515060313,rt,"Uniform(-0.1, 0.1) (narrower)"
71,0.0021320090451813303,-0.021365302163688826,0.02454531676925575,rt,"Uniform(-0.1, 0.1) (narrower)"
72,0.005744003039081358,-0.016509307547144268,0.02935877966166641,rt,"Uniform(-0.1, 0.1) (narrower)"
73,0.008531741924621057,-0.013536675378994764,0.03345547574916623,rt,"Uniform(-0.1, 0.1) (narrower)"
74,0.010190392230025613,-0.012203333868448121,0.033715781960454126,rt,"Uniform(-0.1, 0.1) (narrower)"
75,0.011525338813199105,-0.01087620512920981,0.03438716661142796,rt,"Uniform(-0.1, 0.1) (narrower)"
76,0.013093853677879972,-0.009333066230086827,0.036027695314127105,rt,"Uniform(-0.1, 0.1) (narrower)"
77,0.014808313427073746,-0.007464460683248797,0.03806500241180641,rt,"Uniform(-0.1, 0.1) (narrower)"
78,0.016946113899277533,-0.006437517693692117,0.04007044596369689,rt,"Uniform(-0.1, 0.1) (narrower)"
79,0.019576507396084186,-0.0034049221316154853,0.04233485752160482,rt,"Uniform(-0.1, 0.1) (narrower)"
80,0.022088702320478895,-0.0009450745965309294,0.045108305035177224,rt,"Uniform(-0.1, 0.1) (narrower)"
81,0.02431272119289064,0.0020940399138283153,0.04636643549096272,rt,"Uniform(-0.1, 0.1) (narrower)"
82,0.02666786223261843,0.004082579579237089,0.04863900110537726,rt,"Uniform(-0.1, 0.1) (narrower)"
83,0.028261396249481527,0.004412711464797289,0.05088655636287989,rt,"Uniform(-0.1, 0.1) (narrower)"
84,0.03027801630584099,0.006348112929756459,0.05295481212801738,rt,"Uniform(-0.1, 0.1) (narrower)"
85,0.03223438885588937,0.009534083621742306,0.053470830617396124,rt,"Uniform(-0.1, 0.1) (narrower)"
86,0.03512707403499893,0.013228724951954325,0.05672156948020464,rt,"Uniform(-0.1, 0.1) (narrower)"
87,0.038001640010377424,0.016112489333440113,0.05989487918429159,rt,"Uniform(-0.1, 0.1) (narrower)"
88,0.040528854372008184,0.01918481351982546,0.06306815874386103,rt,"Uniform(-0.1, 0.1) (narrower)"
89,0.043009572097349735,0.021899184131105223,0.06541597377380093,rt,"Uniform(-0.1, 0.1) (narrower)"
90,0.04494319306399275,0.023611973136369577,0.06814022857544194,rt,"Uniform(-0.1, 0.1) (narrower)"
91,0.04687071461679374,0.02546659638397724,0.070018467686491,rt,"Uniform(-0.1, 0.1) (narrower)"
92,0.04806187071983473,0.026720474175394172,0.07159891463965404,rt,"Uniform(-0.1, 0.1) (narrower)"
93,0.048485106831596424,0.02678715958719369,0.07148853931899196,rt,"Uniform(-0.1, 0.1) (narrower)"
94,0.048565189534983344,0.026216045960636387,0.07162185318811973,rt,"Uniform(-0.1, 0.1) (narrower)"
95,0.04861652053343607,0.025482433052565725,0.07171935490725889,rt,"Uniform(-0.1, 0.1) (narrower)"
96,0.04891734081184375,0.024824214795099518,0.07295642951064724,rt,"Uniform(-0.1, 0.1) (narrower)"
97,0.04892840849344792,0.02279215739334187,0.07476849528595077,rt,"Uniform(-0.1, 0.1) (narrower)"
98,0.049189254133165265,0.02052458646465631,0.07743360171926539,rt,"Uniform(-0.1, 0.1) (narrower)"
99,0.04900930241621641,0.016657744318621936,0.08136128507907615,rt,"Uniform(-0.1, 0.1) (narrower)"
100,0.04836220039141439,0.011128837613518143,0.0851036077301907,rt,"Uniform(-0.1, 0.1) (narrower)"
1,0.01053295714726574,0.009021196533740068,0.012109953738457737,Pt,"Uniform(-0.1, 0.1) (narrower)"
2,0.010585857078488846,0.009292286585968066,0.011899007377558377,Pt,"Uniform(-0.1, 0.1) (narrower)"
3,0.010638276682997874,0.00950023020441052,0.011768761861533706,Pt,"Uniform(-0.1, 0.1) (narrower)"
4,0.010688568195452127,0.009673164037532657,0.01171456287646013,Pt,"Uniform(-0.1, 0.1) (narrower)"
5,0.010737444892327856,0.009800529438170604,0.011686093376281492,Pt,"Uniform(-0.1, 0.1) (narrower)"
6,0.010793893397872567,0.00987335400737402,0.01174295336606499,Pt,"Uniform(-0.1, 0.1) (narrower)"
7,0.01087987394604068,0.009897362550347847,0.011858495875333008,Pt,"Uniform(-0.1, 0.1) (narrower)"
8,0.010995514188499514,0.010012904506965301,0.012008909740781204,Pt,"Uniform(-0.1, 0.1) (narrower)"
9,0.011143670990121377,0.010170748398869096,0.012148209324553546,Pt,"Uniform(-0.1, 0.1) (narrower)"
10,0.011340214640689199,0.010376517084270087,0.01231393810079589,Pt,"Uniform(-0.1, 0.1) (narrower)"
11,0.011576095793071162,0.010576572431485005,0.012577579547729622,Pt,"Uniform(-0.1, 0.1) (narrower)"
12,0.011840596268828874,0.010832554487392856,0.012762289417856619,Pt,"Uniform(-0.1, 0.1) (narrower)"
13,0.012125579985310133,0.011167057523617985,0.013069194925565995,Pt,"Uniform(-0.1, 0.1) (narrower)"
14,0.012419904100798703,0.011501926933260897,0.013383774241788604,Pt,"Uniform(-0.1, 0.1) (narrower)"
15,0.012724866129948536,0.011770347326582964,0.013748030858101746,Pt,"Uniform(-0.1, 0.1) (narrower)"
16,0.013026029909927243,0.01212432583382749,0.014111687530052942,Pt,"Uniform(-0.1, 0.1) (narrower)"
17,0.013321095478343425,0.012363730088872123,0.014457547299745917,Pt,"Uniform(-0.1, 0.1) (narrower)"
18,0.013578648805599756,0.01260355525236917,0.014725944272552846,Pt,"Uniform(-0.1, 0.1) (narrower)"
19,0.013782824430955683,0.012818924924286079,0.014910755487767591,Pt,"Uniform(-0.1, 0.1) (narrower)"
20,0.013939092844448024,0.01293559381046859,0.015052963237903548,Pt,"Uniform(-0.1, 0.1) (narrower)"
21,0.014053387566777828,0.013044115174607199,0.015170156225458496,Pt,"Uniform(-0.1, 0.1) (narrower)"
22,0.01413997149251448,0.01311634985731788,0.015207555555123027,Pt,"Uniform(-0.1, 0.1) (narrower)"
23,0.014225290225124542,0.013163925704712896,0.015278971705214929,Pt,"Uniform(-0.1, 0.1) (narrower)"
24,0.014310121163594041,0.01323282991028603,0.01535717179406846,Pt,"Uniform(-0.1, 0.1) (narrower)"
25,0.014408387611036829,0.013286382353002175,0.01541381534506715,Pt,"Uniform(-0.1, 0.1) (narrower)"
26,0.014510097718085521,0.013421054201382595,0.015558199885400893,Pt,"Uniform(-0.1, 0.1) (narrower)"
27,0.014616870804534256,0.013576116933424429,0.015663474355144362,Pt,"Uniform(-0.1, 0.1) (narrower)"
28,0.014733447159922934,0.013713384237913656,0.015779642857811794,Pt,"Uniform(-0.1, 0.1) (narrower)"
29,0.014843825784906192,0.013815868038415407,0.015894814848622898,Pt,"Uniform(-0.1, 0.1) (narrower)"
30,0.014947553972121217,0.013895229813558736,0.01596426171324791,Pt,"Uniform(-0.1, 0.1) (narrower)"
31,0.015013033650783752,0.013952119031725418,0.016023660141904112,Pt,"Uniform(-0.1, 0.1) (narrower)"
32,0.01502630322970605,0.014018799556473366,0.01610306838792645,Pt,"Uniform(-0.1, 0.1) (narrower)"
33,0.014975025103087704,0.013988859044475832,0.016097108449786686,Pt,"Uniform(-0.1, 0.1) (narrower)"
34,0.014852414475370005,0.013832023147408076,0.01604435308499624,Pt,"Uniform(-0.1, 0.1) (narrower)"
35,0.014654447888473799,0.013667584476667174,0.015856959679652213,Pt,"Uniform(-0.1, 0.1) (narrower)"
36,0.014374882773401128,0.013358139134448133,0.015479929523271716,Pt,"Uniform(-0.1, 0.1) (narrower)"
37,0.014037854309471387,0.013053197399193982,0.015141146348629321,Pt,"Uniform(-0.1, 0.1) (narrower)"
38,0.01365997294151372,0.012717251413191685,0.014722266150468838,Pt,"Uniform(-0.1, 0.1) (narrower)"
39,0.013231819769854096,0.012291242875329433,0.014284410442878844,Pt,"Uniform(-0.1, 0.1) (narrower)"
40,0.012755448525639299,0.011747765349915156,0.013776358893443873,Pt,"Uniform(-0.1, 0.1) (narrower)"
41,0.012257260644233402,0.011296113070576343,0.01324956270496704,Pt,"Uniform(-0.1, 0.1) (narrower)"
42,0.011746126058634423,0.010762150809670816,0.012707195778019613,Pt,"Uniform(-0.1, 0.1) (narrower)"
43,0.011251721345074229,0.010313810604096342,0.012174160768126038,Pt,"Uniform(-0.1, 0.1) (narrower)"
44,0.010779333417986195,0.009875849491665744,0.011671930572198544,Pt,"Uniform(-0.1, 0.1) (narrower)"
45,0.010337301602289094,0.009437925932099031,0.01121274452176846,Pt,"Uniform(-0.1, 0.1) (narrower)"
46,0.009932659405521078,0.00905848765201074,0.010801760677254784,Pt,"Uniform(-0.1, 0.1) (narrower)"
47,0.009558437175837698,0.008683180023574235,0.010410715444813621,Pt,"Uniform(-0.1, 0.1) (narrower)"
48,0.009234966661579455,0.008405211663842496,0.010063014221086748,Pt,"Uniform(-0.1, 0.1) (narrower)"
49,0.008956613179090918,0.008174470178898796,0.009742937245267919,Pt,"Uniform(-0.1, 0.1) (narrower)"
50,0.008714873719348197,0.007950755180803536,0.009469532949104131,Pt,"Uniform(-0.1, 0.1) (narrower)"
51,0.008497106212491407,0.007754551236888869,0.009221385072110002,Pt,"Uniform(-0.1, 0.1) (narrower)"
52,0.008293675782947776,0.007594484277820304,0.008971974315878489,Pt,"Uniform(-0.1, 0.1) (narrower)"
53,0.008097169785469328,0.007417268711379117,0.008796463251355604,Pt,"Uniform(-0.1, 0.1) (narrower)"
54,0.007906519840335961,0.007243957692470356,0.00860378654199544,Pt,"Uniform(-0.1, 0.1) (narrower)"
55,0.007730054111093971,0.007072360165886528,0.008413894983940799,Pt,"Uniform(-0.1, 0.1) (narrower)"
56,0.007566702492270051,0.006911171625779696,0.00824729444642677,Pt,"Uniform(-0.1, 0.1) (narrower)"
57,0.00741492778749614,0.0067541809010208545,0.008083440794682626,Pt,"Uniform(-0.1, 0.1) (narrower)"
58,0.0072742196596672385,0.00660466254621164,0.007947898449024056,Pt,"Uniform(-0.1, 0.1) (narrower)"
59,0.0071444432301533065,0.006479169784207547,0.007842284111421637,Pt,"Uniform(-0.1, 0.1) (narrower)"
60,0.007025874080167386,0.006371567316667834,0.0076997035331704405,Pt,"Uniform(-0.1, 0.1) (narrower)"
61,0.006916671908172386,0.006268509915320468,0.007606392031396926,Pt,"Uniform(-0.1, 0.1) (narrower)"
62,0.0068129909186019156,0.006185989975094331,0.007518332200338479,Pt,"Uniform(-0.1, 0.1) (narrower)"
63,0.0067211076193637795,0.006095595549780304,0.007430509813123249,Pt,"Uniform(-0.1, 0.1) (narrower)"
64,0.006645398770634997,0.006012110882239312,0.007307212045196531,Pt,"Uniform(-0.1, 0.1) (narrower)"
65,0.006583074418770699,0.00595114462882789,0.007248714327537889,Pt,"Uniform(-0.1, 0.1) (narrower)"
66,0.0065345027146766895,0.005902647880655541,0.007169080275403105,Pt,"Uniform(-0.1, 0.1) (narrower)"
