t,mean,lower,upper,variable,prior
1,0.005676924259269977,-0.04035366723927247,0.0502802892991967,rt,"Uniform(0, 0.2) (default)"
2,0.005716190648288546,-0.03535570701552899,0.044439110583705185,rt,"Uniform(0, 0.2) (default)"
3,0.005305522828486016,-0.03146678949068599,0.03793619159343783,rt,"Uniform(0, 0.2) (default)"
4,0.00507457282994286,-0.027736920566058948,0.03771692816563446,rt,"Uniform(0, 0.2) (default)"
5,0.005515861289363245,-0.024259659246513257,0.03362598114512839,rt,"Uniform(0, 0.2) (default)"
6,0.005986585211673282,-0.021109225926245805,0.03186858059601812,rt,"Uniform(0, 0.2) (default)"
7,0.007991553507477489,-0.019344313570125324,0.031635042117507034,rt,"Uniform(0, 0.2) (default)"
8,0.011031924767713345,-0.013183605148602867,0.03465508780647744,rt,"Uniform(0, 0.2) (default)"
9,0.014382904450921438,-0.008629352004034713,0.03826504950003565,rt,"Uniform(0, 0.2) (default)"
10,0.018273080718727838,-0.003416752245714926,0.04128958019734279,rt,"Uniform(0, 0.2) (default)"
11,0.020826148491491475,0.0005741248225519073,0.04410768678343594,rt,"Uniform(0, 0.2) (default)"
12,0.02336963788089657,0.002536326401562327,0.04773986325544912,rt,"Uniform(0, 0.2) (default)"
13,0.024478300206846687,0.0031169005559778433,0.04799246888177205,rt,"Uniform(0, 0.2) (default)"
14,0.024653917986935777,0.0038056413745930114,0.04982806471122289,rt,"Uniform(0, 0.2) (default)"
15,0.024410615764567347,0.004648903012247978,0.04681240071434723,rt,"Uniform(0, 0.2) (default)"
16,0.02384200656612649,0.0030279313132798996,0.04585151392020855,rt,"Uniform(0, 0.2) (default)"
17,0.02251254286029638,0.002568070540919728,0.044076911877523675,rt,"Uniform(0, 0.2) (default)"
18,0.0194102144742539,-0.00044951632697912136,0.04094866497596012,rt,"Uniform(0, 0.2) (default)"
19,0.015009225264588248,-0.005523640184038191,0.035726021853542456,rt,"Uniform(0, 0.2) (default)"
20,0.011186938218367066,-0.011846937171370257,0.0328877627755931,rt,"Uniform(0, 0.2) (default)"
21,0.007510131378142236,-0.014467189027138595,0.02752645299556663,rt,"Uniform(0, 0.2) (default)"
22,0.005881384195844709,-0.016642603021043298,0.026724072779101913,rt,"Uniform(0, 0.2) (default)"
23,0.005690960113598621,-0.01913423274777338,0.02685785672928369,rt,"Uniform(0, 0.2) (default)"
24,0.006212519853005369,-0.01396837880261567,0.02701169032806347,rt,"Uniform(0, 0.2) (default)"
25,0.006680393572092548,-0.01606067568490001,0.02743130430648224,rt,"Uniform(0, 0.2) (default)"
26,0.007253601698608024,-0.015334052477213079,0.028415074105392856,rt,"Uniform(0, 0.2) (default)"
27,0.007485815416300873,-0.01377118756088979,0.028675902081629172,rt,"Uniform(0, 0.2) (default)"
28,0.007904511263977594,-0.013130527336461376,0.029782883744507823,rt,"Uniform(0, 0.2) (default)"
29,0.007977301939814385,-0.012499129601354209,0.03107763972232989,rt,"Uniform(0, 0.2) (default)"
30,0.007280878805474042,-0.012584564764121575,0.030386960173355376,rt,"Uniform(0, 0.2) (default)"
31,0.005159657456261473,-0.014764880982435585,0.027761633887902266,rt,"Uniform(0, 0.2) (default)"
32,0.0013147014651038948,-0.018806584290331392,0.02349464485401912,rt,"Uniform(0, 0.2) (default)"
33,-0.0018245297451400212,-0.022669102055494994,0.020712648022086513,rt,"Uniform(0, 0.2) (default)"
34,-0.006580807399204154,-0.02770732107537984,0.017297448178866675,rt,"Uniform(0, 0.2) (default)"
35,-0.012261634874339665,-0.03525104594770369,0.009312750971377341,rt,"Uniform(0, 0.2) (default)"
36,-0.017844096411334765,-0.03994562440691336,0.0018852410060165078,rt,"Uniform(0, 0.2) (default)"
37,-0.022960419799895417,-0.04571420465773534,-0.001875209265139028,rt,"Uniform(0, 0.2) (default)"
38,-0.027748527143391308,-0.04940001405367595,-0.0066266985753263286,rt,"Uniform(0, 0.2) (default)"
39,-0.033081961608268436,-0.056970316372083565,-0.012213731857990781,rt,"Uniform(0, 0.2) (default)"
40,-0.037885190548814715,-0.06317131753636152,-0.01689800675000404,rt,"Uniform(0, 0.2) (default)"
41,-0.041147249210443645,-0.06556080722626456,-0.021189613818517774,rt,"Uniform(0, 0.2) (default)"
42,-0.04312779526129116,-0.06971584175374854,-0.022430761003101537,rt,"Uniform(0, 0.2) (default)"
43,-0.044500087485606674,-0.06805838921216077,-0.022970723866010616,rt,"Uniform(0, 0.2) (default)"
44,-0.04410233229748291,-0.06841660771135225,-0.024206913168089372,rt,"Uniform(0, 0.2) (default)"
45,-0.04224092132964586,-0.06690574878580138,-0.02034149828623136,rt,"Uniform(0, 0.2) (default)"
46,-0.040713265457288345,-0.06425780888177698,-0.017897117866535646,rt,"Uniform(0, 0.2) (default)"
47,-0.0384781294020592,-0.061173474573704874,-0.016156330111142855,rt,"Uniform(0, 0.2) (default)"
48,-0.034922674191406225,-0.05697763899254041,-0.01151920237448796,rt,"Uniform(0, 0.2) (default)"
49,-0.03055751210181778,-0.051823396290350245,-0.005434047268460493,rt,"Uniform(0, 0.2) (default)"
50,-0.02744829498936957,-0.04812319068004964,-0.002961367440635518,rt,"Uniform(0, 0.2) (default)"
51,-0.025087240046169128,-0.04626499787293823,-0.00045273893634673393,rt,"Uniform(0, 0.2) (default)"
52,-0.023941898692131335,-0.045405504961646484,0.0010378180852377503,rt,"Uniform(0, 0.2) (default)"
53,-0.023712901042840653,-0.04625581038825134,-0.00036620883955956003,rt,"Uniform(0, 0.2) (default)"
54,-0.023471330615593006,-0.04500614289801652,-0.0007053346830126039,rt,"Uniform(0, 0.2) (default)"
55,-0.022536510696146955,-0.04418018953636939,0.0009612960693237737,rt,"Uniform(0, 0.2) (default)"
56,-0.021472164135552224,-0.04510067549747999,0.002541768041697045,rt,"Uniform(0, 0.2) (default)"
57,-0.02032163874706969,-0.044622524349139985,0.004315796205995727,rt,"Uniform(0, 0.2) (default)"
58,-0.01915351661336827,-0.042504068575581325,0.005408041784573173,rt,"Uniform(0, 0.2) (default)"
59,-0.017839087616176648,-0.040974753008472004,0.005434472018154994,rt,"Uniform(0, 0.2) (default)"
60,-0.016434632365226222,-0.039882042914548915,0.006432675546746638,rt,"Uniform(0, 0.2) (default)"
61,-0.01525063403829067,-0.03981718780689514,0.008471334269578143,rt,"Uniform(0, 0.2) (default)"
62,-0.015103966226718498,-0.03992000574671714,0.00825835370134391,rt,"Uniform(0, 0.2) (default)"
63,-0.013198529546571167,-0.03694977980978434,0.010021427484218174,rt,"Uniform(0, 0.2) (default)"
64,-0.011299245189809681,-0.0347753877583813,0.012660334959553661,rt,"Uniform(0, 0.2) (default)"
65,-0.009437368840359743,-0.034181774127359316,0.014801120798981141,rt,"Uniform(0, 0.2) (default)"
