"t","mean","lower","upper","variable","date"
1,-0.0657884945850434,-0.258752942789258,0.160491027127177,"rt_WT","2020-12-30"
2,-0.071666153190273,-0.246661572063093,0.113501933117118,"rt_WT","2020-12-31"
3,-0.0717628242355603,-0.257682167491167,0.104614796180609,"rt_WT","2021-01-01"
4,-0.0708380943360745,-0.262499841155829,0.0989668606746335,"rt_WT","2021-01-02"
5,-0.0686537525674147,-0.217880370074917,0.112257407978395,"rt_WT","2021-01-03"
6,-0.0675365661194277,-0.203168279397652,0.0837486904258238,"rt_WT","2021-01-04"
7,-0.0691080503170303,-0.216671682446744,0.0727013528656487,"rt_WT","2021-01-05"
8,-0.0760855464036705,-0.222046129809195,0.0241928563724374,"rt_WT","2021-01-06"
9,-0.0783520367687028,-0.251100878040098,0.0248146552175696,"rt_WT","2021-01-07"
10,-0.0682512206550526,-0.188622602797662,0.0180415140524766,"rt_WT","2021-01-08"
11,-0.0441215077563076,-0.11752700608581,0.0659465652655463,"rt_WT","2021-01-09"
12,-0.0280499955173412,-0.106707540573109,0.127169180590509,"rt_WT","2021-01-10"
13,-0.0287872466885204,-0.10275389178642,0.138409450980166,"rt_WT","2021-01-11"
14,-0.0477626153434678,-0.138243396926353,0.0566770371995954,"rt_WT","2021-01-12"
15,-0.055685387654518,-0.152370944546452,0.0440173690757587,"rt_WT","2021-01-13"
16,-0.0564879482581219,-0.164092453272537,0.0528846745963484,"rt_WT","2021-01-14"
17,-0.0578053282156184,-0.14956053368058,0.0450564059466783,"rt_WT","2021-01-15"
18,-0.0632424183002414,-0.161608269789395,0.0493860441629852,"rt_WT","2021-01-16"
19,-0.0665822029965872,-0.182327863652964,0.0474719749876609,"rt_WT","2021-01-17"
20,-0.073128069042233,-0.202645865366561,0.0659074055686266,"rt_WT","2021-01-18"
21,-0.0833554520557018,-0.217633048620449,0.0141256239752765,"rt_WT","2021-01-19"
22,-0.0951403549304694,-0.274395415487303,0.0107701902817317,"rt_WT","2021-01-20"
23,-0.100261919501882,-0.33151545419596,0.01286259984135,"rt_WT","2021-01-21"
24,-0.10503059927561,-0.316216389214762,0.00507878770696542,"rt_WT","2021-01-22"
25,-0.103962871134246,-0.341099779961985,0.0103685524861688,"rt_WT","2021-01-23"
26,-0.105165402644873,-0.300124667068434,0.0188059724276486,"rt_WT","2021-01-24"
27,-0.103991060889683,-0.306562965659959,0.0182651083462889,"rt_WT","2021-01-25"
28,-0.102413184783501,-0.283495448697456,0.0294643776506618,"rt_WT","2021-01-26"
29,-0.101587709152702,-0.273175756524385,0.0388170466591441,"rt_WT","2021-01-27"
30,-0.100457250332558,-0.252638821123507,0.0189362999096471,"rt_WT","2021-01-28"
31,-0.0987149736201044,-0.241667620149583,0.0309090539557132,"rt_WT","2021-01-29"
32,-0.0994670762248787,-0.256771398789024,0.0186611648251113,"rt_WT","2021-01-30"
33,-0.096628555668255,-0.244182688124605,0.037420929592166,"rt_WT","2021-01-31"
34,-0.093623479214955,-0.237203512384671,0.0559781605336237,"rt_WT","2021-02-01"
35,-0.0903761355405743,-0.23360696447138,0.0559561480737069,"rt_WT","2021-02-02"
