"t","mean","lower","upper","variable","date"
1,0.00793085516850572,0.00607246974869609,0.0103344542887691,"Pt","2021-09-09"
2,0.00773281978083808,0.00624171199034584,0.00948868494391386,"Pt","2021-09-10"
3,0.00756291349865175,0.00641165918207467,0.00890130348575349,"Pt","2021-09-11"
4,0.00742520301773273,0.00646587626627782,0.00845740047525568,"Pt","2021-09-12"
5,0.00732395372922355,0.00649077989512161,0.0082040082969421,"Pt","2021-09-13"
6,0.00726370761758091,0.00652085628682723,0.00806056332000876,"Pt","2021-09-14"
7,0.00724711197756162,0.00653328575220883,0.00798901459469276,"Pt","2021-09-15"
8,0.00726891510349415,0.00657141351309514,0.00795432142487929,"Pt","2021-09-16"
9,0.00732281272152148,0.00660374208485735,0.00801606728419517,"Pt","2021-09-17"
10,0.00740265257012562,0.00667811898376791,0.00812672648740216,"Pt","2021-09-18"
11,0.00750206469191771,0.00675150679738062,0.00821970184851386,"Pt","2021-09-19"
12,0.00761574894434745,0.00684704054964955,0.00835314688414352,"Pt","2021-09-20"
13,0.00774206890991562,0.00693303082028537,0.00851422732230716,"Pt","2021-09-21"
14,0.00787987261145835,0.00703687936845774,0.00874580988518016,"Pt","2021-09-22"
15,0.00802753571799952,0.00714830888000122,0.00898904195173833,"Pt","2021-09-23"
16,0.00818310778330198,0.00725007713084181,0.0092128699731603,"Pt","2021-09-24"
17,0.00834687170594149,0.0072488806208667,0.00945273086033947,"Pt","2021-09-25"
18,0.00852484924233056,0.00724570823713952,0.0097429914822913,"Pt","2021-09-26"
19,0.00872401091012553,0.00725812536981674,0.0101781552660066,"Pt","2021-09-27"
20,0.00895100588818133,0.00723706991994562,0.0107145629957216,"Pt","2021-09-28"
21,0.00921229327609701,0.0071878134500486,0.0112860354029485,"Pt","2021-09-29"
22,0.00951238775747659,0.00720312027278196,0.0119743792436893,"Pt","2021-09-30"
23,0.00985065670645624,0.007207791337673,0.0126131388974986,"Pt","2021-10-01"
24,0.0102249648406173,0.00720458553042995,0.0133497000485947,"Pt","2021-10-02"
25,0.0106317070788411,0.007259559606243,0.0141792524956049,"Pt","2021-10-03"
