"variable","mean","median","sd","lower","upper","rhat","ess_bulk","t"
"lp__",-73344.4481111111,-73343.8,11.3754251244442,-73368.21,-73322.29,1.00475572692919,209.981047366023,NA
"a_raw",-4.85037703333333,-4.856005,0.247823830739278,-5.3304035,-4.34044,1.00569533811821,326.141429432125,1
"a_raw",-4.85667448888889,-4.86373,0.212950518313305,-5.2761825,-4.434859,1.01140052971535,329.855507127332,2
"a_raw",-0.0139460702111111,0.02123295,1.00676538500167,-1.98368225,1.9636645,1.00071418713744,1967.0990000799,3
"a_raw",-0.0128002832255555,0.00949238,0.938354100734255,-1.8316485,1.75320875,1.00478084956024,1096.22228541423,4
"a_raw",-0.0106845230222222,-0.01545475,1.04562637409599,-2.07770925,1.8978115,1.00232080916003,1843.70964741806,5
"a_raw",-0.0287263956477778,-0.03144665,0.95580913126504,-1.9289715,1.89714475,1.00476118735627,1665.33961243815,6
"a_raw",0.0240875649222222,0.0666006,1.08214686152416,-2.052957,2.100666,1.00376572103639,1521.48829156163,7
"a_raw",0.147315222486667,0.1783485,0.999500361036864,-1.69961725,2.028052,1.00184871127602,1701.91810234899,8
"a_raw",0.192123340025556,0.199354,1.06123177765428,-1.922604,2.2378615,1.01186784616105,1182.60085300211,9
"a_raw",0.191166905085556,0.216702,1.00987748376941,-1.8369235,2.0524615,1.00086902640015,1243.15876655752,10
"a_raw",0.2216693469,0.214864,0.97644324567554,-1.716242,2.138302,1.00260409732148,1899.52120233776,11
"a_raw",0.207405329034444,0.1985695,0.883014658902134,-1.42693375,1.90950675,1.00482514411223,1490.08080827947,12
"a_raw",0.194971976579222,0.194446,0.931549231916769,-1.57680875,1.917259,1.00434305126131,1653.71494727289,13
"a_raw",0.145544193552222,0.1593755,0.963920608801036,-1.85132275,2.08443925,1.00811739969008,1225.62194575436,14
"a_raw",0.147095413998889,0.150908,0.997440246159233,-1.739306,2.08828325,1.00321856931385,1581.96046762471,15
"a_raw",0.154452689777778,0.1662085,0.877597714763695,-1.50343875,1.891564,1.00554372748247,2120.54726932734,16
"a_raw",0.161072731067778,0.13916,0.9805188296633,-1.7297765,2.05240725,1.00470724974905,2080.66695565135,17
"a_raw",0.163558208422222,0.154983,1.02139874811745,-1.94724025,2.166691,1.00332435801111,1748.95208702321,18
"a_raw",0.185191850681111,0.18132,0.989873063065839,-1.7503855,2.171837,1.00137798803214,2138.28169279042,19
"a_raw",0.0911116258533333,0.06703265,0.974949695014274,-1.81227325,2.0531965,1.00054657652751,2489.9666675794,20
"a_raw",0.0989004014,0.114579,0.960802633378721,-1.8486185,2.07705175,1.00339125400083,2319.48117377481,21
"a_raw",0.110062249466667,0.0847025,0.980530144458202,-1.76206225,1.990894,1.00089847602298,1997.05366128532,22
"a_raw",0.216493830511111,0.2190155,1.02335038279089,-1.73235375,2.2915265,1.00547484171249,2021.1387187647,23
"a_raw",0.115218833777778,0.127582,0.964658400780644,-1.69244175,1.86702975,1.00375583640601,1680.12921702831,24
"a_raw",0.136868712431778,0.1551315,0.997757641423571,-1.901628,2.10352075,1.0063742494484,2373.78847682932,25
"a_raw",0.120001340498889,0.1504355,0.933823730410395,-1.739369,1.910167,1.00600052955618,2105.94316795466,26
"a_raw",0.0872296958166667,0.09243985,0.981214665773765,-1.73482175,1.95559575,1.00377757691634,1743.92087105957,27
"a_raw",0.0748467098022222,0.0979653,0.966314443909786,-1.9279665,1.96126425,1.00610227960032,2234.91510006501,28
"a_raw",0.0439501013,0.0362234,0.992188609250584,-1.94064075,1.92038675,0.999513643780762,2230.99905429518,29
"a_raw",-0.0222654050811112,-0.0234599,0.984538424983285,-1.91255825,1.8836985,1.00172910020172,1813.85135400362,30
"a_raw",-0.0263579810222222,-0.08648085,1.00166745677135,-1.9641195,1.92755425,1.00239831218509,1907.65597062332,31
"a_raw",-0.0785869971677778,-0.103474,0.953858800397295,-1.93911975,1.79523875,1.00491544067395,1689.57992222479,32
"a_raw",-0.0514388321222222,-0.0533236,0.986936238894236,-1.990575,1.92437775,1.00729192694815,2239.94505678113,33
"a_raw",-0.0743208391822223,-0.0583337,1.02273440876225,-2.17470325,2.0655465,1.00707172399202,1211.57322142361,34
"a_raw",-0.1338779878,-0.1248735,0.942802556335549,-1.96707775,1.6769205,1.01053969032617,1561.83012747852,35
"a_raw",-0.0937912740555555,-0.08920695,1.04731178985864,-2.00011525,1.9136845,1.00230456743599,2658.81825849539,36
"a_raw",-0.140455109394444,-0.1380535,0.984186737179596,-1.90681975,1.6947685,1.00366183233249,1575.70119952703,37
"a_raw",-0.124312349533333,-0.0878343,0.996078953747809,-2.084976,1.81255974999999,1.00328201570046,1542.92492610017,38
"a_raw",-0.182556014273333,-0.1530135,1.04260834397076,-2.1972385,1.89664525,1.00255498505061,2658.81825849539,39
"a_raw",-0.244464664163333,-0.2432575,0.953140743948192,-2.1388315,1.61006825,1.00512386744704,1233.63769983765,40
"a_raw",-0.220591918333333,-0.247344,0.93692402133137,-2.1075055,1.674666,1.00307071263826,2022.12248310955,41
"a_raw",-0.268475622144444,-0.267946,1.0597923600516,-2.3442425,1.732326,1.00068733115309,2343.64207168527,42
"a_raw",-0.316637806833333,-0.3320215,0.948277056082658,-2.15874825,1.64209375,1.00682656903901,1088.2953294786,43
"a_raw",-0.306788851144444,-0.311235,0.974178142122937,-2.24244075,1.5638275,1.01039075291953,1126.61413733796,44
"a_raw",-0.318615497026667,-0.362345,1.00412791440449,-2.2221665,1.7303075,1.00405870574431,1390.32522553744,45
"a_raw",-0.419107556288889,-0.4325395,0.973001226723689,-2.2765525,1.35992325,0.998385557142537,1963.28937165483,46
"a_raw",-0.522927649388889,-0.505875,0.955834089991527,-2.46022025,1.32966675,1.001131379444,1200.16524066717,47
"a_raw",-0.569026829355556,-0.5968515,0.928939046919616,-2.27058525,1.44861375,1.00279138657594,1063.04510998634,48
"a_raw",-0.617850999277778,-0.58489,0.91210071134651,-2.40962125,1.171744,0.999584984731851,2260.13855786547,49
"a_raw",-0.410747693111111,-0.4080545,0.911822552940294,-2.185608,1.2392795,1.00426651894209,2146.65807577914,50
"a_raw",-0.248703880291111,-0.210112,1.01307131977599,-2.34858975,1.75907025,1.00881356520597,2310.80574012427,51
"a_raw",-0.07865267267,-0.1037475,0.959345273395483,-1.9701065,1.703594,1.0058639648462,2418.15776542274,52
"a_raw",0.0249206909555556,-0.00985233,0.997499588047271,-1.80614075,1.95005575,1.02315299342907,2658.81825849539,53
"a_raw",0.133804618883333,0.120454,0.949766465465579,-1.62579525,2.0625145,1.00275854683074,1428.56647781596,54
"a_raw",0.170575359,0.150762,0.937715847417659,-1.680466,1.97369875,1.00324948574748,1844.9542582279,55
"a_raw",0.223596995177778,0.2342745,1.00962296922251,-1.60853,2.165537,1.00639301411203,1867.94919509448,56
"a_raw",0.346624105677778,0.345716,0.967470149588012,-1.597376,2.276323,1.0002012634502,2658.81825849539,57
"a_raw",0.350440156288889,0.373264,0.991153137179095,-1.63529475,2.35486775,1.0013528252556,1695.72018448037,58
"a_raw",0.304682720547778,0.3218585,0.915420682497496,-1.571675,2.14850775,1.00157418506631,2090.1049847108,59
"a_raw",0.177426102993333,0.142371,0.961262719920694,-1.590305,2.04374875,1.0099037666827,2155.99219745816,60
"a_raw",0.193747557192811,0.2033105,0.916789063001388,-1.48963425,1.9056195,1.00734771122673,2128.72082873608,61
"a_raw",0.142544423117333,0.125994,0.991012500173311,-1.73359125,2.15169075,0.999217528453616,2019.72299171908,62
"a_raw",0.154936036664444,0.1243035,0.996834385011711,-1.76546625,2.2232545,1.00129938402988,2342.70215354669,63
"a_raw",0.166340935184444,0.1984275,0.960402952585488,-1.68924575,2.02141825,1.00555948169933,2529.48601741432,64
"a_raw",0.114797784431111,0.0954719,1.03640487133818,-1.89679575,2.1752925,1.0020730511966,2438.05791890671,65
"a_raw",0.122867798535556,0.1354075,0.954230084058791,-1.642371,1.94599425,1.00069546185469,1392.2637476075,66
"a_raw",0.0756002021511111,0.06722195,0.969201416205443,-1.790281,1.9571405,1.00378082025051,1192.39687028648,67
"a_raw",0.111955496066667,0.07797785,1.00197818513954,-1.90011025,2.00469775,1.00312117065285,2311.23421711139,68
"a_raw",0.079849717,0.10571,0.914477440245805,-1.6608775,1.8116445,1.00943512975552,1596.73570527342,69
"a_raw",0.0849840680666667,0.05512385,1.04905751584169,-1.935873,2.20630025,1.00042014214827,1433.31030866709,70
"a_raw",0.0289004147555556,0.0605727,1.03125269268225,-1.90093875,2.005651,0.997127599932625,1626.23962748651,71
"a_raw",-0.00948763055344447,-0.0173796,0.959250689590518,-1.887622,1.95478925,1.00331612687701,2315.69638972314,72
"a_raw",0.0273698634833333,0.01453825,0.979143754874712,-1.8370165,1.95808225,1.00389774778369,1701.8900171297,73
"a_raw",-0.0176523338777778,-0.0264981,0.995484993269442,-1.9283645,1.82089975,1.00882129944671,1533.88468232195,74
"a_raw",-0.0463780202777778,-0.0379657,0.939507323884331,-1.9234125,1.840068,1.00642411558912,1577.40228959455,75
"a_raw",-0.0565986522888889,-0.0360793,0.986956844179198,-1.933556,1.8250675,0.998561114068479,1837.98976244446,76
"a_raw",-0.106856655354444,-0.1201185,0.961947353528773,-1.94547175,1.91814275,1.00518768764182,1583.05043771015,77
"a_raw",-0.0601219310666667,-0.06326805,0.902221981170655,-1.79808075,1.67088525,1.01734468363222,2423.55861457733,78
"a_raw",-0.125662968122222,-0.1446295,1.0044403847633,-2.08726375,1.915175,1.01361245350108,2530.32405834513,79
"a_raw",-0.110987486655556,-0.128227,0.985017722260238,-2.0341445,1.764643,1.00912188748074,1856.82221273471,80
"a_raw",-0.0559243573533334,-0.0273227,0.956542288746115,-1.91102725,1.822448,1.00562911264129,1968.50927811205,81
"a_raw",-0.0767506820777778,-0.106005,0.973987334863504,-1.98351325,1.784916,1.00004779096245,1285.86168226259,82
"a_raw",-0.0338535388222222,-0.0505534,0.948830234762653,-1.76047075,1.7651745,1.00952433509418,2658.81825849539,83
"a_raw",0.0177602065188889,0.01740675,1.01193028616342,-1.94178975,2.0290135,1.0099450161422,2140.14718561082,84
