"t","mean","lower","upper","variable","date"
1,0.0075775929415549,0.00577710906765433,0.0098607703045597,"Pt","2021-09-09"
2,0.00750255185082137,0.00596456572818864,0.00936363941416561,"Pt","2021-09-10"
3,0.00744053814918688,0.00611372501583254,0.00888790828920867,"Pt","2021-09-11"
4,0.00739400583667591,0.00628207888147817,0.0086169208698494,"Pt","2021-09-12"
5,0.00736530800004371,0.0064008797474287,0.00838187694925246,"Pt","2021-09-13"
6,0.00735671786717223,0.00651327469284446,0.00827481651401922,"Pt","2021-09-14"
7,0.00736986728733056,0.00658085233479849,0.00820324480166934,"Pt","2021-09-15"
8,0.00740404657441351,0.00663546498609296,0.00821920815706268,"Pt","2021-09-16"
9,0.00745831502265256,0.00666999976867924,0.00829912989467603,"Pt","2021-09-17"
10,0.00753182972359604,0.00669218768938597,0.00837792184454602,"Pt","2021-09-18"
11,0.00762376242105733,0.00676830766238299,0.00850208051028388,"Pt","2021-09-19"
12,0.00773352079698228,0.00686420543503932,0.00862379627492716,"Pt","2021-09-20"
13,0.00786104211060317,0.0069866505098617,0.00877580862435854,"Pt","2021-09-21"
14,0.0080063781905544,0.00707596841673485,0.00899551034207727,"Pt","2021-09-22"
15,0.00816944026274708,0.00718180680550585,0.00927760813511904,"Pt","2021-09-23"
16,0.0083499968609488,0.00727543099799339,0.00958604442768063,"Pt","2021-09-24"
17,0.00854857351760817,0.00732584975243537,0.00992438992856263,"Pt","2021-09-25"
18,0.00876771933085089,0.00737996426026548,0.0102763848633058,"Pt","2021-09-26"
19,0.00901036510427598,0.00742323203880379,0.0106939070159586,"Pt","2021-09-27"
20,0.00927938835015301,0.0074731208144668,0.0111899221973501,"Pt","2021-09-28"
21,0.00957770775410518,0.00751865806172046,0.0117001686807177,"Pt","2021-09-29"
22,0.00990732107221234,0.00766250841846997,0.0123176344996251,"Pt","2021-09-30"
23,0.0102674818709081,0.00781942575245886,0.0131246032031813,"Pt","2021-10-01"
