"t","mean","lower","upper","variable","date"
1,0.00430828519237722,0.000963116448810041,0.0105508277762093,"Pt","2020-05-01"
2,0.00406693650638637,0.00110230133988656,0.00911825202925789,"Pt","2020-05-02"
3,0.00385809198673355,0.00125201333878079,0.00794055185428521,"Pt","2020-05-03"
4,0.0036768038341058,0.00140209207611263,0.00696346004891798,"Pt","2020-05-04"
5,0.00351785169428967,0.00154883528161015,0.00618653157616919,"Pt","2020-05-05"
6,0.00337577467364249,0.00167638733598665,0.0055693565877152,"Pt","2020-05-06"
7,0.00324492561702209,0.00177697767397009,0.00507962436227393,"Pt","2020-05-07"
8,0.00311934827994549,0.00185485359116485,0.00467012824973611,"Pt","2020-05-08"
9,0.00299400293011103,0.00190125793822659,0.00432405672531018,"Pt","2020-05-09"
10,0.00286453769417455,0.00191539862923118,0.00402756997574805,"Pt","2020-05-10"
11,0.00272726338829975,0.00190221183789651,0.00374778186675431,"Pt","2020-05-11"
12,0.00258011663141363,0.00186324910943048,0.00346975060548467,"Pt","2020-05-12"
13,0.00242348499949664,0.00179905250872389,0.00319767730040271,"Pt","2020-05-13"
14,0.00225852585716516,0.00171430675869374,0.00292824336978547,"Pt","2020-05-14"
15,0.00208668432829266,0.0016164211743205,0.00266161685059876,"Pt","2020-05-15"
16,0.00190979846129139,0.00151057156111489,0.00239198141507891,"Pt","2020-05-16"
17,0.00173320925964646,0.0013992901852204,0.0021282355280407,"Pt","2020-05-17"
18,0.00156620818650755,0.00128400046541286,0.00189153999011247,"Pt","2020-05-18"
19,0.00141538970772896,0.00116381007804672,0.0016965153905632,"Pt","2020-05-19"
20,0.00128446360401727,0.00104592617082954,0.00154302295454911,"Pt","2020-05-20"
21,0.00117511951474609,0.000942166582665346,0.00142497073525823,"Pt","2020-05-21"
22,0.00108648535506835,0.00085557359206893,0.00133473816280563,"Pt","2020-05-22"
23,0.0010157186701336,0.000783066340780352,0.00126906203918911,"Pt","2020-05-23"
24,0.00096044236451936,0.000721075177612025,0.00122462374080848,"Pt","2020-05-24"
25,0.000918773110310772,0.00066943703711649,0.00119691093887903,"Pt","2020-05-25"
26,0.000889294476435475,0.000628563732696139,0.00118492899985008,"Pt","2020-05-26"
27,0.0008707691535014,0.000595345301794985,0.00118804532111621,"Pt","2020-05-27"
28,0.000862034028327758,0.00056740858750089,0.00120842048932658,"Pt","2020-05-28"
29,0.000862162126123594,0.000543591486131051,0.00124777807196755,"Pt","2020-05-29"
30,0.000870337371854493,0.000523591350709729,0.00130740676605398,"Pt","2020-05-30"
31,0.000885830038235127,0.000509675135034292,0.00138725476477417,"Pt","2020-05-31"
32,0.000908118956663342,0.000500246684812349,0.00148759665180371,"Pt","2020-06-01"
33,0.000936767174983209,0.000494155422635467,0.00160853086269208,"Pt","2020-06-02"
34,0.000971126381812711,0.000490896019112269,0.00174199588294584,"Pt","2020-06-03"
35,0.00101019461533164,0.000491785640243219,0.00189063620314871,"Pt","2020-06-04"
36,0.0010526625833199,0.000499006628605619,0.00204933791188229,"Pt","2020-06-05"
37,0.00109752234207428,0.000510629287349887,0.002209657804984,"Pt","2020-06-06"
38,0.00114394606009779,0.000527014274785347,0.00236859823039562,"Pt","2020-06-07"
39,0.00119075431093694,0.000547400234528331,0.00251239203203202,"Pt","2020-06-08"
40,0.00123629423853549,0.000570031041048006,0.00263361018937606,"Pt","2020-06-09"
41,0.00127857846582765,0.000596516996695228,0.0027244998534508,"Pt","2020-06-10"
42,0.00131580631054125,0.00062582294684497,0.00277743805014639,"Pt","2020-06-11"
43,0.00134628857142498,0.000655779819914181,0.00279339675435737,"Pt","2020-06-12"
44,0.00136817234727725,0.000686342758214539,0.00277201036827065,"Pt","2020-06-13"
45,0.00137948097034836,0.000719014361148137,0.00270954119311149,"Pt","2020-06-14"
46,0.00137854240646207,0.00074989117847504,0.00260041492463797,"Pt","2020-06-15"
47,0.00136504854057428,0.000777514599480769,0.00245549729953698,"Pt","2020-06-16"
48,0.00133927056684418,0.000799979685419561,0.00228540451031566,"Pt","2020-06-17"
49,0.00130138032848256,0.000814458362600755,0.00210060914644688,"Pt","2020-06-18"
50,0.00125145666724708,0.000821783329897574,0.00190762539156683,"Pt","2020-06-19"
51,0.00119033454522902,0.000820605389589202,0.00171383950145088,"Pt","2020-06-20"
52,0.00112187616666068,0.000811478422233054,0.00152758256605154,"Pt","2020-06-21"
53,0.00105032180249858,0.000793258665089398,0.00136205061509654,"Pt","2020-06-22"
54,0.00097900614187047,0.000765506467988514,0.00122571513677666,"Pt","2020-06-23"
55,0.000910356170932486,0.000729447527746198,0.00111431576696015,"Pt","2020-06-24"
56,0.000845988241332721,0.000686245579059145,0.00102372764229287,"Pt","2020-06-25"
57,0.00078667692451227,0.000638051814611962,0.000949710049660104,"Pt","2020-06-26"
58,0.000732855954816657,0.000587715007786884,0.000890345279967635,"Pt","2020-06-27"
59,0.00068472720068907,0.000539094230119342,0.000842805678953132,"Pt","2020-06-28"
60,0.000642345032994621,0.000495846043999552,0.000803468654505366,"Pt","2020-06-29"
61,0.00060548870702382,0.000456945674853732,0.000771494553553651,"Pt","2020-06-30"
62,0.000573281230769813,0.000419562886976933,0.000747848256778497,"Pt","2020-07-01"
63,0.000544818383482444,0.00038296738244509,0.000731813549266403,"Pt","2020-07-02"
64,0.000519226261497963,0.000347689643294483,0.000722224068318312,"Pt","2020-07-03"
65,0.000495674820267664,0.000315040702134967,0.000716306009575878,"Pt","2020-07-04"
66,0.000473667712699937,0.000285306441577565,0.000713093573107861,"Pt","2020-07-05"
67,0.000453246562480751,0.000257046608681446,0.0007121983180889,"Pt","2020-07-06"
68,0.000434423790033951,0.000231064546742164,0.000711915675853518,"Pt","2020-07-07"
69,0.000417079860653078,0.000207765994396569,0.000713219814304877,"Pt","2020-07-08"
70,0.000401009291512727,0.000188157208256065,0.000712569047497129,"Pt","2020-07-09"
71,0.000386046106555637,0.000171545388519336,0.000708254705630459,"Pt","2020-07-10"
72,0.000372100806553509,0.000157454932793069,0.000701257859473665,"Pt","2020-07-11"
