"t","mean","lower","upper","variable","date"
1,-0.0820900332870566,-0.274209225617103,0.14445709355848,"rt","2020-05-01"
2,-0.0855271896770556,-0.288298264774806,0.131313332086794,"rt","2020-05-02"
3,-0.0824505179708029,-0.262152352727746,0.12350773652614,"rt","2020-05-03"
4,-0.0834357688371374,-0.279331501468065,0.109917580921204,"rt","2020-05-04"
5,-0.0772037512240534,-0.243556269871608,0.11665750530326,"rt","2020-05-05"
6,-0.0741407953954145,-0.230048093697173,0.0893908520136517,"rt","2020-05-06"
7,-0.0694910474351603,-0.208852812124557,0.0771492985746834,"rt","2020-05-07"
8,-0.0643055554945196,-0.187716835094762,0.0768564980176829,"rt","2020-05-08"
9,-0.0533288252442272,-0.179266983968457,0.0787669259199195,"rt","2020-05-09"
10,-0.045607003303086,-0.160395733651152,0.0938346717181078,"rt","2020-05-10"
11,-0.0464304287499093,-0.150550757102183,0.0831958563475849,"rt","2020-05-11"
12,-0.0515934693539202,-0.148648727821641,0.0753374380012549,"rt","2020-05-12"
13,-0.0547013287540078,-0.147005268015901,0.0546176527883057,"rt","2020-05-13"
14,-0.0610452988999114,-0.152627532700384,0.0451604150040186,"rt","2020-05-14"
15,-0.0811776277967486,-0.183188536855631,0.0197577557804678,"rt","2020-05-15"
16,-0.0936663201650447,-0.200904379245012,0.00480096568345005,"rt","2020-05-16"
17,-0.113854353536689,-0.214426155072539,-0.0181981354044512,"rt","2020-05-17"
18,-0.131551819256723,-0.25388204607816,-0.0488014184554504,"rt","2020-05-18"
19,-0.129835608377587,-0.24194741432619,-0.0505317839869618,"rt","2020-05-19"
20,-0.1222457698543,-0.214741054979011,-0.043276371968627,"rt","2020-05-20"
21,-0.109433512745028,-0.202168346994778,-0.0301128695065454,"rt","2020-05-21"
22,-0.0946557239418086,-0.20030025256,-0.0117207719558299,"rt","2020-05-22"
23,-0.0717726699340818,-0.173452737452507,0.0139161134327014,"rt","2020-05-23"
24,-0.0466642178846345,-0.143423771453837,0.0495459750634386,"rt","2020-05-24"
25,-0.0311319897016067,-0.129456941725761,0.073569403125326,"rt","2020-05-25"
26,-0.0276785601456891,-0.122596144838912,0.0657570878341357,"rt","2020-05-26"
27,-0.0196317159176861,-0.123638128220901,0.0781638610776847,"rt","2020-05-27"
28,-0.00908477081366441,-0.122621263571892,0.0948960514232759,"rt","2020-05-28"
29,0.00422832592550153,-0.114310304223468,0.124573380753649,"rt","2020-05-29"
30,0.015486388281494,-0.111985911355841,0.144178429101096,"rt","2020-05-30"
31,0.0250841082215312,-0.0914812512596681,0.159666635893331,"rt","2020-05-31"
32,0.0324051779004306,-0.10276553025441,0.17122311521187,"rt","2020-06-01"
33,0.0361871979398538,-0.0956034060457429,0.167218874599127,"rt","2020-06-02"
34,0.0385632449968906,-0.0918697865683536,0.178408659156281,"rt","2020-06-03"
35,0.0413859690006366,-0.0911937028564241,0.179955911794192,"rt","2020-06-04"
36,0.0423333664517527,-0.0865435084756924,0.17641770395762,"rt","2020-06-05"
37,0.0421249333388385,-0.0836284443466462,0.170984388495852,"rt","2020-06-06"
38,0.0434867858718722,-0.07571575243862,0.179482838269948,"rt","2020-06-07"
39,0.040268597775888,-0.0716822222993238,0.166654025697265,"rt","2020-06-08"
40,0.0381374416654342,-0.0664405100913378,0.166842741713222,"rt","2020-06-09"
41,0.0343167288754046,-0.0862162265954166,0.16339764183825,"rt","2020-06-10"
42,0.0320309873087701,-0.0904899302459372,0.164110835736794,"rt","2020-06-11"
43,0.0254566170931531,-0.103700235251826,0.154434982555543,"rt","2020-06-12"
44,0.0214394629869471,-0.116778067254729,0.141708952927911,"rt","2020-06-13"
45,0.0158467971589942,-0.126936375516604,0.151705809963635,"rt","2020-06-14"
46,0.0127842505494479,-0.115585139427303,0.154935884327079,"rt","2020-06-15"
47,0.00617365955219586,-0.131427487242538,0.139407402963483,"rt","2020-06-16"
48,-0.0065421961492803,-0.160014025541236,0.132013027193384,"rt","2020-06-17"
49,-0.013911409154942,-0.145973094408827,0.119023662646839,"rt","2020-06-18"
50,-0.0229173520969434,-0.160175491874073,0.103972684421479,"rt","2020-06-19"
