"t","mean","lower","upper","variable","date"
1,-0.015523662858373,-0.104839731695899,0.0673859089202496,"rt","2020-12-30"
2,-0.0153593680200909,-0.0988742048444061,0.0694143740820714,"rt","2020-12-31"
3,-0.0166215402396381,-0.0909656401272847,0.0627714688332216,"rt","2021-01-01"
4,-0.0152466613067679,-0.0925353653304461,0.0627705372970463,"rt","2021-01-02"
5,-0.0140055627925556,-0.0891193224885652,0.0527861082310301,"rt","2021-01-03"
6,-0.0135310045975188,-0.0804057543067342,0.0595316568713934,"rt","2021-01-04"
7,-0.0128402364191819,-0.0943207398521543,0.0509232196816024,"rt","2021-01-05"
8,-0.0129221415819778,-0.0959400389175187,0.0429832420928803,"rt","2021-01-06"
9,-0.0100696944118689,-0.0854008844303873,0.0411572366594094,"rt","2021-01-07"
10,-0.00718608148811955,-0.0723122389224237,0.0398479356330871,"rt","2021-01-08"
11,-0.00410420360211719,-0.0653789695532222,0.0367575529791261,"rt","2021-01-09"
12,-0.00172133485863972,-0.058453252870702,0.0352587889220412,"rt","2021-01-10"
13,5.65616842896547e-05,-0.0449023809428943,0.0360553298436268,"rt","2021-01-11"
14,0.000842062488534771,-0.0344999039213334,0.0356216544179295,"rt","2021-01-12"
15,-0.000541174971419185,-0.0344270915016557,0.0333238986681825,"rt","2021-01-13"
16,-0.00275855312736711,-0.0359319170349696,0.0296056329455042,"rt","2021-01-14"
17,-0.00748186964117182,-0.039570050378355,0.0235431316707404,"rt","2021-01-15"
18,-0.0124901590471677,-0.0448468455590382,0.0183088761280627,"rt","2021-01-16"
19,-0.0171534728987908,-0.0544320816103313,0.0144288139816231,"rt","2021-01-17"
20,-0.0220147718221017,-0.0581042338173356,0.01083109457967,"rt","2021-01-18"
21,-0.0268481993778185,-0.0627125387497298,0.00459002305640949,"rt","2021-01-19"
22,-0.0309312384142241,-0.0684294235133783,0.00170897054609142,"rt","2021-01-20"
23,-0.0337389246157616,-0.0711434598864123,-0.000865629399349893,"rt","2021-01-21"
24,-0.0367228999346917,-0.0716845741257795,-0.00343702889216368,"rt","2021-01-22"
25,-0.039314329957837,-0.0742869759863909,-0.00530048788485531,"rt","2021-01-23"
26,-0.0418571524426956,-0.0760787294144417,-0.00866350578088674,"rt","2021-01-24"
27,-0.0437057680315578,-0.0759399776120484,-0.0116864003444788,"rt","2021-01-25"
28,-0.0461303330637575,-0.0844184744824512,-0.0154047135624568,"rt","2021-01-26"
29,-0.047228110759141,-0.0813852984448877,-0.014641508453395,"rt","2021-01-27"
30,-0.0480035184919275,-0.0840269909022146,-0.0140854061168627,"rt","2021-01-28"
31,-0.0487281415218217,-0.0831746000758407,-0.0154302912545355,"rt","2021-01-29"
32,-0.0492112838763837,-0.0836196134273619,-0.0172964596891656,"rt","2021-01-30"
33,-0.0504583789667765,-0.0872048103826263,-0.0205625930414328,"rt","2021-01-31"
34,-0.050054870561174,-0.0842335366272212,-0.0195241970758968,"rt","2021-02-01"
35,-0.0500328887694002,-0.0884346248069794,-0.0186975791370113,"rt","2021-02-02"
36,-0.0488767319241892,-0.0869298151326441,-0.0146975218811042,"rt","2021-02-03"
37,-0.0485249918551828,-0.0880998719025677,-0.00841036931844437,"rt","2021-02-04"
38,-0.0473795124490408,-0.0803007726135475,-0.00970795306338416,"rt","2021-02-05"
39,-0.0459328903294208,-0.0827983866645157,-0.00855899811027436,"rt","2021-02-06"
40,-0.04325806032669,-0.0762657583597817,-0.0066846705380734,"rt","2021-02-07"
41,-0.0407039681860846,-0.0726197177040857,-0.00255617689870991,"rt","2021-02-08"
42,-0.037747259170744,-0.0691559239155262,-0.00146813996312234,"rt","2021-02-09"
43,-0.0346065454307671,-0.0656775906109395,0.00588195503302741,"rt","2021-02-10"
44,-0.0323167838591462,-0.0627541047630811,0.00760552588253531,"rt","2021-02-11"
45,-0.0303729544840117,-0.0620579890586062,0.00775286720674854,"rt","2021-02-12"
46,-0.0294278900106943,-0.061415530638618,0.00762354946735912,"rt","2021-02-13"
